,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,-22000000.000,,,,58000000.000,,,,5000000.000,,,,2000000.000,,,,10000000.000,,,,69000000.000
NetCashProvidedByUsedInInvestingActivities,,,-28000000.000,,,,-27000000.000,,,,-83000000.000,,,,-36000000.000,,,,-30000000.000,,,,-25000000.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,-28000000.000,,,,-27000000.000,,,,-83000000.000,,,,-36000000.000,,,,-30000000.000,,,,-25000000.000
NetCashProvidedByUsedInOperatingActivities,,,16000000.000,,,,-33000000.000,,,,-102000000.000,,,,35000000.000,,,,-101000000.000,,,,-118000000.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,16000000.000,,,,-33000000.000,,,,-102000000.000,,,,35000000.000,,,,-101000000.000,,,,-118000000.000
NetIncomeLoss,63000000.000,39000000.000,-16000000.000,28000000.000,364000000.000,-52000000.000,-4000000.000,-28000000.000,-76000000.000,-525000000.000,-27000000.000,-27000000.000,-28000000.000,-66000000.000,-34000000.000,-2000000.000,7000000.000,-11000000.000,-44000000.000,150000000.000,-47000000.000,-97000000.000,-42000000.000
NotesAssumed1,,,,,,,,,,,,,,,,,,,,75000000.000,,,
OperatingIncomeLoss,128000000.000,101000000.000,44000000.000,92000000.000,51000000.000,15000000.000,45000000.000,49000000.000,58000000.000,-143000000.000,58000000.000,57000000.000,65000000.000,18000000.000,63000000.000,79000000.000,74000000.000,44000000.000,17000000.000,218000000.000,45000000.000,-36000000.000,55000000.000
OtherComprehensiveIncomeDefinedBenefitPlansAdjustmentNetOfTaxPeriodIncreaseDecrease,,,0.000,0.000,1000000.000,,,,,,,,,,,,,,,,,,
OtherComprehensiveIncomeDefinedBenefitPlansNetUnamortizedGainLossArisingDuringPeriodNetOfTax,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,,,,,
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationGainLossArisingDuringPeriodNetOfTax,,,,,,,,,,,,,,,,-13000000.000,24000000.000,,,25000000.000,,,
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,,,,,,,,,24000000.000,,,-4000000.000,-40000000.000,,-62000000.000,13000000.000,-24000000.000,-15000000.000,26000000.000,-25000000.000,7000000.000,-31000000.000,6000000.000
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationReclassificationAdjustmentFromAOCIRealizedUponSaleOrLiquidationNetOfTax,,,,,,,,,,,,,,,,0.000,,,,,,,
OtherComprehensiveIncomeLossNetOfTax,,,,,,,-13000000.000,-15000000.000,28000000.000,56000000.000,6000000.000,-2000000.000,-39000000.000,-103000000.000,-62000000.000,13000000.000,-24000000.000,-15000000.000,26000000.000,-26000000.000,7000000.000,-31000000.000,6000000.000
OtherComprehensiveIncomeLossNetOfTaxPeriodIncreaseDecrease,,,29000000.000,-43000000.000,19000000.000,,,,,,,,,,,,,,,,,,
OtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansAdjustmentBeforeReclassificationAdjustmentsNetOfTax,,,,,,,,,,,,,,,,0.000,0.000,,,1000000.000,,,
OtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansAdjustmentNetOfTax,,,,,,,-4000000.000,1000000.000,-4000000.000,,,-2000000.000,-1000000.000,,,0.000,0.000,,0.000,1000000.000,0.000,,0.000
OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIPensionAndOtherPostretirementBenefitPlansNetOfTax,,,,,,,,,,,,,,,,0.000,,,,,,,
OtherExpenses,,,,-3000000.000,-2000000.000,,-11000000.000,-15000000.000,-17000000.000,6000000.000,-14000000.000,-9000000.000,-29000000.000,16000000.000,-18000000.000,-11000000.000,-4000000.000,64000000.000,17000000.000,-17000000.000,16000000.000,57000000.000,9000000.000
OtherNoncashIncomeExpense,0.000,0.000,,,,,,,,,,,,,,,,,,,,,
OtherNonoperatingIncomeExpense,0.000,-5000000.000,-2000000.000,1000000.000,2000000.000,0.000,-5000000.000,2000000.000,2000000.000,-1000000.000,-2000000.000,-3000000.000,-18000000.000,-9000000.000,3000000.000,-2000000.000,0.000,2000000.000,-2000000.000,3000000.000,-2000000.000,-6000000.000,-4000000.000
OtherOperatingIncomeExpenseNet,18000000.000,-2000000.000,-11000000.000,2000000.000,-4000000.000,-1000000.000,3000000.000,-5000000.000,-2000000.000,3000000.000,-4000000.000,1000000.000,-4000000.000,15000000.000,-8000000.000,-2000000.000,-12000000.000,10000000.000,-3000000.000,-4000000.000,-7000000.000,27000000.000,6000000.000
PaymentsForRestructuring,,,,,,,,,,,,,,,-2000000.000,,,,-1000000.000,,,,
PaymentsOfDividendsCommonStock,,,1000000.000,,,,0.000,,,,0.000,,,,0.000,,,,0.000,,,,
PaymentsOfFinancingCosts,,,12000000.000,,,,34000000.000,,,,0.000,,,,,,,,,,,,22000000.000
PaymentsToAcquireBusinessesGross,,,,,,,,,,,,,,,0.000,,,,,,,,
PaymentsToAcquireBusinessesNetOfCashAcquired,,,,,,,,,,,52000000.000,,,,,,,,,,,,
PaymentsToAcquireHeldToMaturitySecurities,,,-4000000.000,,,,,,,,,,,,,,,,,,,,
PaymentsToAcquirePropertyPlantAndEquipment,,,30000000.000,,,,27000000.000,,,,34000000.000,,,,40000000.000,,,,27000000.000,,,,30000000.000
ProceedsFromContributionsFromParent,,,16000000.000,,,,0.000,,,,,,,,,,,,,,,,
ProceedsFromDivestitureOfBusinesses,,,0.000,,,,,,,,,,,,,,,,,,,,
ProceedsFromDivestitureOfBusinessesNetOfCashDivested,,,,,,,,,,,,,,,,,,,,61000000.000,,,
ProceedsFromIssuanceOfLongTermDebt,,,450000000.000,,,,1125000000.000,,,,0.000,,,,119000000.000,,,,126000000.000,,,,871000000.000
ProceedsFromRepaymentsOfShortTermDebt,,,-12000000.000,,,,1000000.000,,,,8000000.000,,,,-3000000.000,,,,-13000000.000,,,,11000000.000
ProceedsFromSaleOfPropertyPlantAndEquipment,,,,,,,,,,,,,,,,,,,,,,,4000000.000
ProfitLoss,,,,,,,,0.000,0.000,,0.000,0.000,0.000,-148000000.000,,,,,,,,,
RepaymentsOfLongTermDebt,,,463000000.000,,,,1034000000.000,,,,3000000.000,,,,114000000.000,,,,103000000.000,,,,791000000.000
RestructuringAndRelatedCostCostIncurredToDate,,,,,,,,,,,,,,,14000000.000,,,,,,,,
RestructuringAndRelatedCostExpectedCost,,,,,,,,,,,,,,,19000000.000,,,,,,,,
RestructuringCharges,,,15000000.000,3000000.000,11000000.000,-4000000.000,,,,,,,,,1000000.000,,2000000.000,,,10000000.000,,,
RestructuringReserveAcceleratedDepreciation,,,,,,,,,,,,,,,,,,,46000000.000,60000000.000,21000000.000,-256000000.000,0.000
RestructuringReservePeriodExpense,,,,1000000.000,7000000.000,,,,,,,,,,,,,,,,,,
RestructuringReservePeriodIncreaseDecrease,,,,,,,,,,,,,,,,,,,,,,,-14000000.000
Revenues,1438000000.000,1322000000.000,1236000000.000,1259000000.000,1177000000.000,1084000000.000,1192000000.000,1250000000.000,1249000000.000,1199000000.000,1293000000.000,1337000000.000,1347000000.000,1160000000.000,1079000000.000,1087000000.000,1065000000.000,909000000.000,909000000.000,952000000.000,819000000.000,758000000.000,870000000.000
RevenuesFromExternalCustomers,,,,1259000000.000,1177000000.000,,1192000000.000,,,,,,,,,,,,,,,,
SalesRevenueNet,1438000000.000,1322000000.000,1236000000.000,1259000000.000,1177000000.000,1084000000.000,1192000000.000,1250000000.000,1249000000.000,1199000000.000,1293000000.000,1337000000.000,1347000000.000,1160000000.000,1079000000.000,1087000000.000,1065000000.000,909000000.000,909000000.000,952000000.000,819000000.000,758000000.000,870000000.000
SellingGeneralAndAdministrativeExpense,87000000.000,82000000.000,85000000.000,79000000.000,74000000.000,84000000.000,92000000.000,89000000.000,93000000.000,88000000.000,96000000.000,95000000.000,84000000.000,86000000.000,82000000.000,76000000.000,71000000.000,77000000.000,84000000.000,82000000.000,69000000.000,93000000.000,77000000.000
ShareBasedCompensation,,,1000000.000,,,,,,,,,,,,,,,,,,,,
WriteOffOfDeferredDebtIssuanceCost,,,,,,,6000000.000,,,,,,,,,,,,,,,,3.000
