,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AdjustmentsRelatedToTaxWithholdingForShareBasedCompensation,,,,,2700000.000,,,,1100000.000,,,,
AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation,,,,,1100000.000,,,,,,,,
AllocatedShareBasedCompensationExpense,4000000.000,5800000.000,5800000.000,6800000.000,13900000.000,7700000.000,7300000.000,7200000.000,8000000.000,7400000.000,7400000.000,7500000.000,19400000.000
AmortizationOfDebtDiscountPremium,-400000.000,,,,-800000.000,,,,11700000.000,,,,6300000.000
AmortizationOfFinancingCosts,100000.000,,,,700000.000,,,,900000.000,,,,1000000.000
AmortizationOfIntangibleAssets,1700000.000,12000000.000,12400000.000,10400000.000,11500000.000,18200000.000,14600000.000,11700000.000,27500000.000,30000000.000,,,29500000.000
AssetImpairmentCharges,,,,,,,799200000.000,,873300000.000,0.000,,,7000000.000
AssetRetirementObligationAccretionExpense,200000.000,,,,100000.000,,,,100000.000,,,,200000.000
AssetRetirementObligationLiabilitiesIncurred,500000.000,,,,0.000,,,,,,,,
AssetRetirementObligationLiabilitiesSettled,,,,,3200000.000,,,,600000.000,,,,
AssetRetirementObligationRevisionOfEstimate,0.000,,,,-3900000.000,,,,-400000.000,,,,
BusinessAcquisitionEquityInterestsIssuedOrIssuableNumberOfSharesIssued,115495669.000,,,,,,,,,,,,
BusinessAcquisitionProFormaEarningsPerShareBasic,,,,,0.100,,,,,,,,
BusinessAcquisitionProFormaEarningsPerShareDiluted,,,,,0.100,,,,,,,,
BusinessAcquisitionsProFormaNetIncomeLoss,,,,,19500000.000,,,,,,,,
BusinessAcquisitionsProFormaRevenue,,,,,1058500000.000,,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,221200000.000,,,,41400000.000,,,,-12200000.000,,,,
CashDividendsPaidToParentCompanyByUnconsolidatedSubsidiaries,,,,,6800000.000,12400000.000,12200000.000,,9200000.000,5600000.000,,,
CashProvidedByUsedInFinancingActivitiesDiscontinuedOperations,-4400000.000,,,,0.000,,,,,,,,
