,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-09-30,2013-12-31
CashPeriodIncreaseDecrease,-41.000,,,,5428.000,,-48857.000,
CostsAndExpenses,4288.000,18387.000,4333.000,5493.000,10942.000,8490.000,106352.000,5144807.000
EarningsPerShareDiluted,0.000,-0.000,-0.000,0.000,-0.000,-0.000,-0.010,-0.190
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,,,,,0.340,,,
EquityMethodInvestmentSummarizedFinancialInformationIncomeLossFromContinuingOperationsBeforeExtraordinaryItems,,,,,,,,-257765.000
EquityMethodInvestmentSummarizedFinancialInformationNetIncomeLoss,,,,,,,,-258860.000
ExplorationExpense,,,,,,,29066.000,
GainLossOnInvestments,,,,,,,103591.000,
GeneralAndAdministrativeExpense,621.000,285.000,65.000,84.000,158.000,630.000,7036.000,6226.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,-4288.000,-18387.000,-4333.000,-5493.000,-10942.000,-8490.000,-209943.000,-5144807.000
IncomeLossFromEquityMethodInvestments,,,,,,,-103591.000,-59962.000
IncreaseDecreaseInAccountsPayable,378.000,,,,5540.000,,12597.000,
IncreaseDecreaseInAccountsPayableRelatedParties,10000.000,,,,4916.000,,,
IncreaseDecreaseInPrepaidExpense,-6131.000,,,,,,,
NetCashProvidedByUsedInFinancingActivities,,,,,5914.000,,44898.000,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,,,5914.000,,44898.000,
NetCashProvidedByUsedInOperatingActivities,-41.000,,,,-486.000,,-93755.000,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-41.000,,,,-486.000,,-93755.000,
NetIncomeLoss,-4288.000,-18387.000,-4333.000,-5493.000,-10942.000,-8490.000,-209943.000,-5144807.000
OperatingIncomeLoss,-4288.000,-18387.000,-4333.000,-5493.000,-10942.000,-8490.000,-106352.000,-5144807.000
ProfessionalFees,3667.000,18102.000,4268.000,5409.000,10784.000,7860.000,18795.000,75358.000
ShareBasedCompensation,,,,,,,,4986667.000
ValuationAllowanceDeferredTaxAssetChangeInAmount,,,,,,,71380.000,
WeightedAverageNumberOfDilutedSharesOutstanding,39142000.000,39142000.000,39142000.000,-78284000.000,39155110.000,36770734.000,26545473.000,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,,,,,,,26545473.000
