,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30
AccountsAndOtherReceivablesNetCurrent,,1123000.000,,,,1000.000,,,,,,,,,,
AccountsPayableCurrent,7257000.000,2707000.000,1005000.000,,,,,,,,,,,,,
AccountsReceivableNetCurrent,16524000.000,,8947000.000,8452000.000,8033000.000,,7687000.000,9818000.000,10567000.000,9867000.000,10863000.000,9792000.000,9269000.000,11124000.000,9450000.000,8659000.000
AccruedLiabilitiesCurrent,6984000.000,2739000.000,3909000.000,3910000.000,3102000.000,1415000.000,3892000.000,4002000.000,5039000.000,2300000.000,5098000.000,4797000.000,4094000.000,5506000.000,3613000.000,9910000.000
AssetRetirementObligation,,,,24794000.000,25233000.000,32048000.000,33655000.000,35163000.000,35581000.000,36326000.000,36872000.000,37436000.000,37989000.000,41604000.000,42132000.000,42711000.000
AssetRetirementObligationCurrent,333000.000,359000.000,365000.000,371000.000,376000.000,500000.000,423000.000,387000.000,333000.000,488000.000,495000.000,503000.000,510000.000,1065000.000,1079000.000,2153000.000
AssetRetirementObligationsNoncurrent,25159000.000,22780000.000,22976000.000,24423000.000,24857000.000,31548000.000,33232000.000,34776000.000,35248000.000,35838000.000,36377000.000,36933000.000,37479000.000,40539000.000,41053000.000,40558000.000
Assets,507855000.000,458066000.000,459920000.000,528221000.000,512127000.000,502486000.000,561236000.000,570758000.000,563174000.000,488350000.000,490418000.000,481045000.000,498733000.000,558954000.000,524788000.000,502863000.000
AssetsCurrent,45926000.000,31079000.000,35478000.000,36858000.000,32780000.000,26864000.000,64757000.000,33406000.000,30774000.000,25613000.000,29557000.000,28139000.000,43146000.000,68161000.000,63581000.000,51123000.000
CashAndCashEquivalentsAtCarryingValue,5716000.000,1513000.000,6803000.000,4656000.000,6301000.000,3467000.000,43209000.000,4892000.000,5301000.000,4417000.000,5158000.000,2871000.000,10751000.000,3576000.000,2740000.000,7681000.000
DebtWeightedAverageInterestRate,,,,,,,0.034,0.036,0.036,0.039,0.042,0.042,0.042,0.038,0.046,0.053
DeferredFinanceCostsNoncurrentNet,252000.000,1365000.000,1291000.000,1739000.000,1664000.000,1559000.000,1454000.000,1349000.000,1245000.000,1154000.000,1066000.000,1039000.000,1100000.000,2295000.000,2295000.000,2076000.000
DeferredTaxLiabilitiesNoncurrent,64000.000,35000.000,140000.000,140000.000,141000.000,120000.000,100000.000,114000.000,114000.000,44000.000,75000.000,83000.000,88000.000,99000.000,99000.000,
DerivativeInstrumentsAndHedges,22448000.000,16064000.000,18151000.000,,,,,,,,,,,,,
DerivativeInstrumentsAndHedgesNoncurrent,30327000.000,27015000.000,25957000.000,,,,,,,,,,,,,
DerivativeLiabilitiesCurrent,1109000.000,186000.000,890000.000,,,,,,,,,,,,,
DerivativeLiabilitiesNoncurrent,1157000.000,,314000.000,,,,,,,,,,,,,
DueFromAffiliateCurrent,,,665000.000,,2465000.000,,2800000.000,3469000.000,2293000.000,,4157000.000,5737000.000,5760000.000,5697000.000,6351000.000,1456000.000
DueToAffiliateCurrent,196000.000,536000.000,,583000.000,,1977000.000,,,,255000.000,,,,,,
EnergyMarketingContractLiabilitiesCurrent,,,,565000.000,1669000.000,1671000.000,3373000.000,1657000.000,2807000.000,2217000.000,2786000.000,5783000.000,510000.000,556000.000,866000.000,783000.000
EnergyMarketingContractLiabilitiesNoncurrent,,,,620000.000,1458000.000,874000.000,1189000.000,503000.000,147000.000,174000.000,11000.000,3643000.000,559000.000,232000.000,116000.000,94000.000
EnergyMarketingContractsAssetsCurrent,,,,23088000.000,15461000.000,15399000.000,10342000.000,14200000.000,11635000.000,9726000.000,8171000.000,8022000.000,14508000.000,45924000.000,43368000.000,32087000.000
EnergyMarketingContractsAssetsNoncurrent,,,,32057000.000,20155000.000,18815000.000,17377000.000,21454000.000,17491000.000,16746000.000,12563000.000,5569000.000,7722000.000,38540000.000,46454000.000,37159000.000
FutureNetCashFlowsRelatingToProvedOilAndGasReservesCashInflows,,,,,,,,,,,,,,1749346000.000,,
FutureNetCashFlowsRelatingToProvedOilAndGasReservesDevelopmentCosts,,,,,,,,,,,,,,117473000.000,,
FutureNetCashFlowsRelatingToProvedOilAndGasReservesIncomeTaxExpense,,,,,,,,,,,,,,1236000.000,,
FutureNetCashFlowsRelatingToProvedOilAndGasReservesNetCashFlows,,,,,,,,,,,,,,943540000.000,,
FutureNetCashFlowsRelatingToProvedOilAndGasReservesProductionCosts,,,,,,,,,,,,,,687097000.000,,
FutureNetCashFlowsRelatingToProvedOilAndGasReservesTenPercentAnnualDiscountForEstimatedTimingOfCashFlows,,,,,,,,,,,,,,501869000.000,,
GeneralPartnersCapitalAccount,,438000.000,436000.000,432000.000,406000.000,396000.000,381000.000,387000.000,376000.000,303000.000,295000.000,277000.000,290000.000,310000.000,-1540000.000,-9139000.000
GeneralPartnersCapitalAccountUnitsIssued,,22400.000,22400.000,22400.000,22400.000,22400.000,22400.000,22400.000,22400.000,22400.000,22400.000,22400.000,22400.000,22400.000,22400.000,22400.000
GeneralPartnersCapitalAccountUnitsOutstanding,,22400.000,22400.000,22400.000,22400.000,22400.000,22400.000,22400.000,22400.000,22400.000,22400.000,22400.000,22400.000,22400.000,22400.000,22400.000
HedgingAssetsNoncurrent,,,1106000.000,,,,,,,,,,,,,
HedgingLiabilitiesCurrent,480000.000,,302000.000,463000.000,669000.000,659000.000,605000.000,588000.000,650000.000,648000.000,933000.000,1304000.000,1781000.000,2327000.000,2750000.000,2781000.000
HedgingLiabilitiesNoncurrent,,,,1584000.000,3502000.000,3526000.000,3291000.000,473000.000,1629000.000,1554000.000,1362000.000,1915000.000,709000.000,817000.000,1340000.000,960000.000
InterestPayableCurrentAndNoncurrent,,,,300000.000,200000.000,200000.000,200000.000,200000.000,300000.000,200000.000,200000.000,200000.000,100000.000,200000.000,200000.000,200000.000
Liabilities,75163000.000,186563000.000,189712000.000,262183000.000,271155000.000,272651000.000,287351000.000,291523000.000,296220000.000,296092000.000,303828000.000,304076000.000,300237000.000,340317000.000,344717000.000,349881000.000
LiabilitiesAndStockholdersEquity,507855000.000,458066000.000,459920000.000,528221000.000,512127000.000,502486000.000,561236000.000,570758000.000,563174000.000,488350000.000,490418000.000,481045000.000,498733000.000,558954000.000,524788000.000,502863000.000
LiabilitiesCurrent,21448000.000,7948000.000,10482000.000,12616000.000,8197000.000,8583000.000,14539000.000,13657000.000,14082000.000,8482000.000,16003000.000,16502000.000,11402000.000,18630000.000,12109000.000,23269000.000
LiabilitiesNoncurrent,53715000.000,178615000.000,179230000.000,249567000.000,262958000.000,264068000.000,272812000.000,277866000.000,282138000.000,287610000.000,287825000.000,287574000.000,288835000.000,321687000.000,332608000.000,326612000.000
LongTermDebt,,,,222800000.000,233000000.000,228000000.000,235000000.000,242000000.000,245000000.000,250000000.000,250000000.000,245000000.000,250000000.000,280000000.000,290000000.000,285000000.000
LongTermLineOfCredit,27251000.000,155800000.000,155800000.000,172800000.000,183000000.000,178000000.000,185000000.000,192000000.000,195000000.000,200000000.000,200000000.000,195000000.000,200000000.000,230000000.000,240000000.000,235000000.000
OilAndGasPropertySuccessfulEffortMethodAccumulatedDepreciationDepletionAmortizationAndImpairment,,,,286745000.000,295112000.000,308569000.000,330794000.000,345005000.000,354527000.000,431837000.000,440373000.000,449054000.000,457732000.000,506368000.000,550942000.000,559893000.000
OilAndGasPropertySuccessfulEffortMethodAccumulatedDepreciationDepletionAndAmortization,391142000.000,245581000.000,255647000.000,,,308424000.000,,,,431636000.000,,,,506134000.000,,
OilAndGasPropertySuccessfulEffortMethodGross,822492000.000,644188000.000,651735000.000,744312000.000,752640000.000,763499000.000,,,,876384000.000,,,,956054000.000,,
OilAndGasPropertySuccessfulEffortMethodNet,431350000.000,398607000.000,396088000.000,457567000.000,457528000.000,455075000.000,,,,444748000.000,,,,449920000.000,,
PartnersCapital,432692000.000,271503000.000,270208000.000,266038000.000,240972000.000,229835000.000,273885000.000,279235000.000,266954000.000,192258000.000,186590000.000,176969000.000,198496000.000,218637000.000,180071000.000,152982000.000
PrepaidExpenseCurrent,1238000.000,578000.000,912000.000,662000.000,520000.000,748000.000,719000.000,1027000.000,978000.000,1603000.000,1208000.000,1717000.000,2858000.000,1840000.000,1672000.000,1240000.000
PropertyPlantAndEquipmentFairValueDisclosure,,,,,,,,,,,,,,,411200000.000,411300000.000
PropertyPlantAndEquipmentGross,,,,,,763817000.000,808442000.000,859554000.000,868191000.000,876674000.000,887605000.000,895352000.000,904497000.000,956326000.000,963400000.000,972398000.000
PropertyPlantAndEquipmentNet,,,,,,455248000.000,477648000.000,514549000.000,513664000.000,444837000.000,447232000.000,446298000.000,446765000.000,449958000.000,412458000.000,412505000.000
PropertyPlantAndEquipmentOther,,,,318000.000,318000.000,318000.000,318000.000,307000.000,290000.000,290000.000,290000.000,289000.000,271000.000,272000.000,272000.000,272000.000
ProvedOilAndGasPropertySuccessfulEffortMethod,,,,742424000.000,751104000.000,762261000.000,806860000.000,857983000.000,866643000.000,875126000.000,886072000.000,893825000.000,902988000.000,954819000.000,961907000.000,970906000.000
RelatedPartyTransactionDueFromToRelatedParty,,,,-583000.000,2465000.000,-1977000.000,2800000.000,3469000.000,2293000.000,-255000.000,4157000.000,5737000.000,5760000.000,5697000.000,6351000.000,1456000.000
SecuredLongTermDebt,,,,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardNumberOfSharesAuthorized,,,,1500000.000,1500000.000,1500000.000,1500000.000,1500000.000,1500000.000,1500000.000,1500000.000,1500000.000,1500000.000,1500000.000,1500000.000,1500000.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardNumberOfSharesAvailableForGrant,,,,1449126.000,1449126.000,1431258.000,1409061.000,1409061.000,1409061.000,1297666.000,1306780.000,1308345.000,1304300.000,1037555.000,1025013.000,1025013.000
StandardizedMeasureOfDiscountedFutureNetCashFlowsRelatingToProvedOilAndGasReserves,,,,,,325241000.000,,,,392557000.000,,,,441671000.000,,
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,432692000.000,271503000.000,270208000.000,266038000.000,240972000.000,229835000.000,273885000.000,279235000.000,266954000.000,192258000.000,186590000.000,176969000.000,198496000.000,218637000.000,180071000.000,152982000.000
UnprovedOilAndGasPropertySuccessfulEffortMethod,,,,1570000.000,1218000.000,1238000.000,1264000.000,1264000.000,1258000.000,1258000.000,1243000.000,1238000.000,1238000.000,1235000.000,1221000.000,1220000.000
