,2012-07-31,2013-01-31,2013-07-31,2014-01-31,2014-04-30,2014-07-31,2014-10-31,2015-01-31,2015-04-30,2015-07-31,2015-10-31,2016-01-31,2016-04-30,2016-07-31,2016-10-31,2017-01-31,2017-04-30
AmortizationOfIntangibleAssets,,,,,,,,,320108.000,365215.000,,,,,,,
CapitalizedComputerSoftwareAmortization,,,,,,,,,-320108.000,,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,,-3008.000,,,,58941.000,,,,1387.000,,,,-33582.000,
Communication,,,500.000,1548.000,128.000,,,492.000,1441.000,,,,,,,,
ComprehensiveIncomeNetOfTax,,,,,,,,,,,,-178330.000,-102292.000,-26169.000,-23571.000,-21782.000,-19464.000
EarningsPerShareBasicAndDiluted,0.010,0.000,0.010,0.010,0.000,0.000,0.010,0.010,0.010,-0.010,-0.200,-0.010,0.000,0.000,0.000,0.000,0.000
EffectOfExchangeRateOnCash,,,,5563.000,,,,,,,,,,,,,
EffectOfExchangeRateOnCashAndCashEquivalents,,,,5563.000,,,,,,,,4523.000,,,,5297.000,
ExplorationExpenseMining,7000.000,1000.000,9837.000,,,1843.000,,2573.000,,,,,,,,,
FeesAndCommissionsDepositorAccounts,-319.000,-76.000,312.000,127.000,296.000,86.000,-170.000,342.000,370.000,93.000,35.000,92.000,331.000,74.000,284.000,,
ForeignCurrencyTransactionGainLossBeforeTax,-422.000,,-134.000,334.000,-46.000,-15.000,129.000,-8225.000,926.000,4290.000,208.000,4257.000,-7636.000,2904.000,-5524.000,,
ForeignCurrencyTransactionGainLossRealized,,,,,,,,4315.000,,,,,,,,,
GainsLossesOnExtinguishmentOfDebt,,,,,,,,,,,,,,20611.000,,,
GeneralAndAdministrativeExpense,4122.000,2500.000,6006.000,3738.000,,,,1064.000,18527.000,778.000,0.000,,,28299.000,,17076.000,3129.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,-41379.000,-22796.000,-36935.000,-65481.000,-27758.000,,,,,,,,,,,,
IncreaseDecreaseInAccountsPayable,,,,,,,,5263.000,,,,2914.000,,,,-5980.000,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,,,28326.000,,,,,,,,,,,,,
IncreaseDecreaseInAccruedLiabilities,,,,,,,,-12332.000,,,,1456.000,,,,966.000,
IncreaseDecreaseInDueToRelatedParties,,,,3067.000,,,,-979.000,,,,90000.000,,,,,
IncreaseDecreaseInInterestPayableNet,,,,,,,,,,,,22.000,,,,,
IncreaseDecreaseInOtherReceivables,,,,-483.000,,,,-2006.000,,,,306.000,,,,-684.000,
IncreaseDecreaseInPrepaidExpense,,,,-1000.000,,,,,,,,1875.000,,,,-7429.000,
InterestExpense,,,,,,,,,,,,22.000,223.000,,,,
InterestIncomeExpenseNonoperatingNet,4293.000,,,,,,,,,,,,,,,,
LeaseAndRentalExpense,4736.000,5432.000,3917.000,2658.000,,790.000,,388.000,,339.000,,53.000,69.000,195.000,,,
NetCashProvidedByUsedInFinancingActivities,,,,27000.000,,,,100000.000,,,,10335.000,,,,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,,27000.000,,,,100000.000,,,,10335.000,,,,,
NetCashProvidedByUsedInOperatingActivities,,,,-35571.000,,,,-45374.000,,,,-13471.000,,,,-38879.000,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,,-35571.000,,,,-45374.000,,,,-13471.000,,,,-38879.000,
NetIncomeLoss,-37086.000,-22796.000,-36935.000,-65481.000,-27758.000,-17537.000,-22510.000,-47017.000,-414960.000,-395274.000,-3761807.000,-189211.000,-80730.000,-33124.000,-19176.000,-25752.000,-13493.000
