,2013-04-30,2013-07-31,2014-04-30,2014-07-31,2015-01-31,2015-04-30,2016-01-31,2016-04-30
AdditionsToNoncurrentAssets,224930.000,60093.000,170325.000,,,,,
AmortizationOfFinancingCosts,1209091.000,,259000.000,385000.000,127262.000,,5200.000,
AmortizationOfIntangibleAssets,71817.000,35000.000,32000.000,31000.000,30525.000,31000.000,31000.000,31000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,,,,-463432.000,,-501528.000,
CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,,,,,0.000,,,
ComprehensiveIncomeNetOfTax,-824616.000,-1089874.000,,,,,,
CostOfGoodsAndServicesSold,15326959.000,13268653.000,11125124.000,11585699.000,11051277.000,12111474.000,12292200.000,11893720.000
CostOfGoodsSold,4806359.000,6021154.000,3974004.000,5044082.000,3954772.000,5400916.000,5181525.000,4783881.000
DepreciationDepletionAndAmortization,793768.000,545144.000,513224.000,467199.000,402002.000,415045.000,411443.000,425275.000
DilutiveSecurities,,,,,,,,0.000
DiscontinuedOperationGainLossFromDisposalOfDiscontinuedOperationBeforeIncomeTax,,443304.000,,,,,,
DiscontinuedOperationIncomeLossFromDiscontinuedOperationDuringPhaseOutPeriodBeforeIncomeTax,,-85312.000,,,,,,
DiscontinuedOperationTaxEffectOfIncomeLossFromDiscontinuedOperationDuringPhaseOutPeriod,,-27149.000,,,,,,
DiscontinuedOperationTaxEffectOfIncomeLossFromDisposalOfDiscontinuedOperation,,168681.000,,,,,,
DisposalGroupIncludingDiscontinuedOperationInterestExpense,4000.000,167000.000,,,,,,
DisposalGroupIncludingDiscontinuedOperationRevenue,,2659759.000,,,,,,
EarningsPerShareBasicAndDiluted,-0.070,-0.100,-0.020,-0.050,-0.040,0.000,-0.020,-0.010
EffectiveIncomeTaxRateContinuingOperations,0.000,0.098,0.000,0.000,,0.000,0.000,0.000
FinitelivedIntangibleAssetsAcquired1,,,,,0.000,,,
GainLossOnDispositionOfAssets,,,,,0.000,,13375.000,
GoodwillAcquiredDuringPeriod,,,,,0.000,,,
GoodwillImpairmentLoss,,,0.000,0.000,0.000,,,
GrossProfit,6456743.000,4698636.000,3907156.000,3738834.000,3748983.000,4177634.000,3631172.000,3981050.000
ImpairmentOfIntangibleAssetsFinitelived,,,,,0.000,,,
IncomeLossFromContinuingOperations,-723189.000,-1306334.000,-248495.000,-587462.000,,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,-723189.000,-1447866.000,-248495.000,-587462.000,-467818.000,47897.000,-270372.000,-81250.000
IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,-0.060,-0.120,-0.020,-0.050,,,,
IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToReportingEntity,-101427.000,216460.000,0.000,0.000,,,,
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicAndDilutedShare,-0.010,0.020,0.000,0.000,,,,
IncomeTaxExpenseBenefit,,,,0.000,0.000,0.000,0.000,0.000
IncomeTaxExpenseBenefitContinuingOperations,0.000,-141532.000,0.000,,,,,
IncreaseDecreaseInAccountsPayable,,,,,711283.000,,232902.000,
IncreaseDecreaseInAccountsReceivable,,,,,-443871.000,,604181.000,
IncreaseDecreaseInAccruedLiabilities,,,,,71907.000,,93463.000,
IncreaseDecreaseInEmployeeRelatedLiabilities,,,,,-1633.000,,-87347.000,
IncreaseDecreaseInInventories,,,,,344616.000,,-35581.000,
IncreaseDecreaseInOtherCurrentAssets,,,,,252044.000,,166988.000,
