,2011-09-30
AllocatedShareBasedCompensationExpense,358990.000
CostOfGoodsAndServicesSold,7291172.000
DepreciationAndAmortization,26009.000
EarningsPerShareBasicAndDiluted,-0.240
GrossProfit,738630.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,-1008955.000
InterestExpense,31441.000
IssuanceOfStockAndWarrantsForServicesOrClaims,120480.000
NetIncomeLossAvailableToCommonStockholdersBasic,-1343328.000
NonoperatingIncomeExpense,-105790.000
OperatingExpenses,1641795.000
OperatingIncomeLoss,-903165.000
ProfitLoss,-1008955.000
Revenues,8029802.000
SalesRevenueNet,8029802.000
SellingGeneralAndAdministrativeExpense,1136316.000
