,2011-06-30,2011-09-30,2012-03-31,2012-09-30,2013-03-31,2013-06-30,2013-09-30
AmortizationOfDebtDiscountPremium,,,3194000.000,,3278000.000,,
AmortizationOfDeferredLoanOriginationFeesNet,,,,,475000.000,,
AmortizationOfIntangibleAssets,5000.000,5000.000,10000.000,9000.000,9000.000,9000.000,10000.000
AssetImpairmentCharges,,,74000.000,,,,
AssetManagementCosts,139000.000,138000.000,135000.000,115000.000,128000.000,127000.000,121000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,,-329000.000,,-212000.000,,
ComprehensiveIncomeNetOfTax,,,-1856000.000,-1843000.000,-2088000.000,-2246000.000,-2449000.000
CostOfPropertyRepairsAndMaintenance,120000.000,120000.000,56000.000,65000.000,75000.000,48000.000,70000.000
CostsAndExpenses,6200000.000,6075000.000,5887000.000,5328000.000,5917000.000,5822000.000,5711000.000
DebtInstrumentIncreaseDecreaseOtherNet,,,,,-345000.000,,
DeferredRevenueRevenueRecognized,,,,,85000.000,85000.000,85000.000
Depreciation,1012000.000,1012000.000,700000.000,625000.000,675000.000,644000.000,453000.000
DepreciationDepletionAndAmortization,,,710000.000,,684000.000,,
DiscontinuedOperationGainLossOnDisposalOfDiscontinuedOperationNetOfTax,,,356000.000,-170000.000,0.000,0.000,0.000
DisposalGroupIncludingDiscontinuedOperationOperatingExpense,,,,,0.000,0.000,0.000
DisposalGroupIncludingDiscontinuedOperationOperatingIncomeLoss,,,,,0.000,0.000,0.000
DisposalGroupIncludingDiscontinuedOperationRevenue,,,,,0.000,0.000,0.000
GainLossOnDispositionOfAssets,,,356000.000,,,,
GainLossOnSaleOfProperties,,,356000.000,,0.000,,
GeneralAndAdministrativeExpense,144000.000,78000.000,138000.000,54000.000,162000.000,182000.000,126000.000
ImpairmentOfLeasehold,,,,,0.000,,
IncomeLossFromContinuingOperations,,,-2233000.000,-1673000.000,-2088000.000,-2246000.000,-2474000.000
IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,,,-22.840,-17.110,-21.360,-22.980,-25.310
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicAndDilutedShare,,,3.640,-1.740,0.000,0.000,0.000
IncreaseDecreaseInAccountsPayableAndOtherOperatingLiabilities,,,95000.000,,-86000.000,,
IncreaseDecreaseInAccountsReceivable,,,159000.000,,96000.000,,
IncreaseDecreaseInAccountsReceivableAndOtherOperatingAssets,,,-148000.000,,,,
IncreaseDecreaseInDeferredRevenue,,,3979000.000,,-230000.000,,
IncreaseDecreaseInOtherOperatingAssets,,,,,-77000.000,,
IncreaseDecreaseInRestrictedCash,,,64000.000,,699000.000,,
IncreaseDecreaseInUnbilledReceivables,,,-2000.000,,61000.000,,
InterestExpense,3412000.000,3449000.000,3537000.000,3343000.000,3563000.000,3533000.000,3633000.000
InterestPaid,,,267000.000,,234000.000,,
InvestmentIncomeInterestAndDividend,23000.000,11000.000,10000.000,,5000.000,4000.000,1000.000
LeaseAndRentalExpense,195000.000,190000.000,187000.000,187000.000,193000.000,187000.000,303000.000
LimitedLiabilityCompanyLLCOrLimitedPartnershipLPManagingMemberOrGeneralPartnerOwnershipInterest,,,,,0.010,,
LimitedLiabilityCompanyLLCOrLimitedPartnershipLPMembersOrLimitedPartnersOwnershipInterest,,,,,0.990,,
MaintenanceCosts,361000.000,275000.000,356000.000,274000.000,436000.000,418000.000,288000.000
MarketableSecuritiesRealizedGainLoss,56000.000,12000.000,-1000.000,,0.000,0.000,0.000
NetCashProvidedByUsedInFinancingActivities,,,-5951000.000,,-752000.000,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,-5951000.000,,-752000.000,,
NetCashProvidedByUsedInInvestingActivities,,,-189000.000,,-938000.000,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,-189000.000,,-938000.000,,
NetCashProvidedByUsedInOperatingActivities,,,5811000.000,,1478000.000,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,5811000.000,,1478000.000,,
NetIncomeLoss,-2207000.000,-2153000.000,-1877000.000,-1843000.000,-2088000.000,-2246000.000,-2474000.000
NetIncomeLossPerOutstandingLimitedPartnershipUnit,,,,-18.850,,,
NetIncomeLossPerOutstandingLimitedPartnershipUnitBasicNetOfTax,,,,,,-22.980,-25.310
OperatingIncomeLoss,-2263000.000,-2165000.000,-2232000.000,-1673000.000,-2088000.000,-2246000.000,-2474000.000
OperatingLeasesIncomeStatementLeaseRevenue,3115000.000,3100000.000,2937000.000,2971000.000,3074000.000,2828000.000,2521000.000
OtherComprehensiveIncomeAvailableForSaleSecuritiesAdjustmentNetOfTaxPeriodIncreaseDecrease,-103000.000,-101000.000,21000.000,,,,
OtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax,,,,,0.000,0.000,25000.000
OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,,,,,,,25000.000
OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIForWritedownOfSecuritiesNetOfTax,,,,,,,0.000
OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodNetOfTax,,,,,,,25000.000
PaymentsForCapitalImprovements,,,277000.000,,239000.000,,
PaymentsForLeasingCostsCommissionsAndTenantImprovements,,,,,500000.000,,
PaymentsToAcquireMarketableSecurities,,,603000.000,,0.000,,
ProceedsFromRelatedPartyDebt,,,11000.000,,11000.000,,
ProceedsFromSaleMaturityAndCollectionsOfInvestments,,,755000.000,,0.000,,
RealEstateTaxExpense,812000.000,808000.000,694000.000,656000.000,676000.000,674000.000,707000.000
RepaymentsOfLongTermDebt,,,5962000.000,,1918000.000,,
Revenues,3937000.000,3910000.000,3655000.000,3655000.000,3829000.000,3576000.000,3237000.000
SalesRevenueNet,3937000.000,3910000.000,3655000.000,3655000.000,3829000.000,3576000.000,3237000.000
TenantReimbursements,799000.000,799000.000,708000.000,684000.000,750000.000,744000.000,715000.000
TransferMortgagePayable,,,274000.000,,0.000,,
WeightedAverageLimitedPartnershipUnitsOutstanding,97752.000,97752.000,97752.000,97752.000,97752.000,97752.000,97752.000
