,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31
CashAndCashEquivalentsPeriodIncreaseDecrease,,,-32000.000,,,,0.000
CostOfOtherPropertyOperatingExpense,4831000.000,4955000.000,4927000.000,5047000.000,5128000.000,4773000.000,4837000.000
CostOfPropertyRepairsAndMaintenance,2745000.000,2857000.000,2791000.000,2812000.000,2927000.000,2716000.000,2775000.000
Depreciation,8600000.000,8008000.000,8007000.000,7862000.000,7654000.000,7531000.000,7403000.000
DirectCostsOfHotels,15521000.000,16343000.000,15283000.000,16195000.000,16931000.000,15334000.000,15686000.000
DirectOperatingCostRoyaltyExpense,2606000.000,2769000.000,2413000.000,2805000.000,2980000.000,2416000.000,2461000.000
DiscontinuedOperationIncomeLossFromDiscontinuedOperationBeforeIncomeTax,156000.000,26000.000,0.000,0.000,0.000,0.000,
EarningsPerShareBasicAndDiluted,0.140,0.170,0.100,0.170,0.200,0.070,0.110
GeneralAndAdministrativeExpense,1455000.000,1275000.000,2397000.000,1849000.000,1806000.000,1568000.000,1604000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,12738000.000,15464000.000,9280000.000,15669000.000,18206000.000,6388000.000,9997000.000
IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,0.140,0.170,0.100,0.170,0.200,0.070,
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicAndDilutedShare,0.000,0.000,0.000,0.000,0.000,0.000,
IncomeTaxExpenseBenefit,,,,,,,95000.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,,863000.000,,,,1138000.000
IncreaseDecreaseInOtherOperatingAssets,,,-1104000.000,,,,-302000.000
IncreaseDecreaseInRestrictedCash,,,54000.000,,,,-241000.000
InterestIncomeExpenseNet,-1068000.000,-937000.000,-822000.000,-846000.000,-780000.000,-636000.000,-514000.000
NetCashProvidedByUsedInFinancingActivities,,,-9014000.000,,,,-9142000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,-9014000.000,,,,-9142000.000
NetCashProvidedByUsedInInvestingActivities,,,-3110000.000,,,,-6150000.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,-3110000.000,,,,-6150000.000
NetCashProvidedByUsedInOperatingActivities,,,12092000.000,,,,15292000.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,12092000.000,,,,15292000.000
NetIncomeLoss,12894000.000,15490000.000,9280000.000,15669000.000,18206000.000,6388000.000,9902000.000
NumberOfReportableSegments,,,,,,,1.000
OccupancyRevenue,57820000.000,61646000.000,53918000.000,62189000.000,66513000.000,53010000.000,54274000.000
OperatingExpenses,49978000.000,51229000.000,49801000.000,51708000.000,53547000.000,52749000.000,49663000.000
OperatingIncomeLoss,13806000.000,16401000.000,10102000.000,16515000.000,18986000.000,7024000.000,10511000.000
OtherGeneralExpense,1824000.000,1824000.000,1913000.000,1886000.000,1899000.000,2267000.000,1893000.000
OtherHotelOperatingRevenue,4140000.000,4160000.000,4072000.000,4148000.000,4121000.000,4496000.000,4007000.000
OtherNonrecurringExpense,,,,,,,669000.000
OwnedPropertyManagementCosts,2109000.000,2398000.000,1944000.000,2288000.000,2719000.000,1730000.000,1950000.000
PaymentsForCapitalImprovements,,,3056000.000,,,,6391000.000
PaymentsOfDividendsCommonStock,,,18026000.000,,,,0.000
ProceedsFromIssuanceOrSaleOfEquity,,,,,,,0.000
ProceedsFromRepaymentsOfLinesOfCredit,,,8850000.000,,,,-9000000.000
ProceedsFromRepaymentsOfSecuredDebt,,,-185000.000,,,,
RealEstateTaxesAndInsurance,3087000.000,2833000.000,3135000.000,3364000.000,3232000.000,3372000.000,3226000.000
ReimbursementRevenue,1824000.000,1824000.000,1913000.000,1886000.000,1899000.000,2267000.000,1893000.000
RepaymentsOfSecuredDebt,,,,,,,142000.000
Revenues,63784000.000,67630000.000,59903000.000,68223000.000,72533000.000,59773000.000,60174000.000
SalesRevenueNet,63784000.000,67630000.000,59903000.000,68223000.000,72533000.000,59773000.000,60174000.000
SellingAndMarketingExpense,4959000.000,5051000.000,4730000.000,5345000.000,5446000.000,4824000.000,4881000.000
UtilitiesCosts,2241000.000,2916000.000,2261000.000,2255000.000,2825000.000,2181000.000,2278000.000
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,,,91100000.000,91167000.000,,91227000.000
