,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31
AccretionExpense,0.000,0.000,,,
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,4010000.000,4287000.000,4305000.000,4707000.000,6653000.000
AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation,,,,661000.000,
AdjustmentsToAdditionalPaidInCapitalWarrantIssued,,960000.000,,,
AmortizationOfFinancingCosts,,1652000.000,1900000.000,2400000.000,5900000.000
AmortizationOfFinancingCostsAndDiscounts,76000.000,213000.000,452000.000,484000.000,4275000.000
AmortizationOfIntangibleAssets,,3350000.000,6500000.000,9100000.000,8500000.000
BusinessAcquisitionProFormaEarningsPerShareBasic,,,0.240,,
BusinessAcquisitionProFormaEarningsPerShareDiluted,,,0.230,,
BusinessAcquisitionsProFormaNetIncomeLoss,,,11034000.000,,
BusinessAcquisitionsProFormaRevenue,,,219913000.000,,
BusinessCombinationIntegrationRelatedCosts,,,,,436000.000
BusinessCombinationProFormaInformationRevenueOfAcquireeSinceAcquisitionDateActual,,,13228000.000,,
CapitalizedComputerSoftwareAdditions,,3000000.000,2900000.000,5400000.000,4600000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,4601000.000,-26054000.000,-6763000.000,33754000.000,-13154000.000
ComprehensiveIncomeNetOfTax,,,,,10746000.000
CostOfRevenue,67560000.000,80280000.000,88824000.000,102389000.000,99534000.000
CurrentFederalTaxExpenseBenefit,,18788000.000,14839000.000,6128000.000,-11202000.000
CurrentIncomeTaxExpenseBenefit,,20168000.000,15939000.000,6708000.000,-12702000.000
CurrentStateAndLocalTaxExpenseBenefit,,1380000.000,1100000.000,580000.000,-1500000.000
DeferredFederalIncomeTaxExpenseBenefit,,1992000.000,-6314000.000,2860000.000,-210000.000
DeferredIncomeTaxExpenseBenefit,-1678000.000,1856000.000,-6587000.000,2967000.000,255000.000
DeferredStateAndLocalIncomeTaxExpenseBenefit,,-136000.000,-273000.000,107000.000,-143000.000
Depreciation,,5462000.000,6654000.000,8010000.000,8800000.000
DepreciationDepletionAndAmortization,7021000.000,10250000.000,14620000.000,19072000.000,21618000.000
DilutiveSecurities,0.000,0.000,0.000,,
DiscontinuedOperationGainLossFromDisposalOfDiscontinuedOperationBeforeIncomeTax,,,,,58153000.000
DiscontinuedOperationIncomeLossFromDiscontinuedOperationDuringPhaseOutPeriodBeforeIncomeTax,,,,,2145000.000
DiscontinuedOperationIncomeLossFromDiscontinuedOperationNetOfTaxPerBasicShare,,,,,0.780
DiscontinuedOperationIncomeLossFromDiscontinuedOperationNetOfTaxPerDilutedShare,,,,,0.770
DiscontinuedOperationTaxEffectOfDiscontinuedOperation,,,,,23004000.000
DisposalGroupIncludingDiscontinuedOperationInterestExpense,,,,,1177000.000
EarningsPerShareBasic,0.580,0.680,0.300,0.320,0.230
EarningsPerShareDiluted,0.540,0.650,0.290,0.310,0.230
EffectOfExchangeRateOnCashAndCashEquivalents,,,,,-73000.000
EmployeeServiceShareBasedCompensationAllocationOfRecognizedPeriodCostsCapitalizedAmount,,,161000.000,100000.000,200000.000
EquityMethodInvestmentRealizedGainLossOnDisposal,,,,300000.000,
ExcessTaxBenefitFromShareBasedCompensationFinancingActivities,8793000.000,4655000.000,1514000.000,49000.000,14000.000
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetGainLossIncludedInEarnings1,,,0.000,0.000,
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetIssues,,,3300000.000,136000.000,
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetSettlements,,,-136000.000,-136000.000,
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisLiabilityGainLossIncludedInEarnings,,-7250000.000,-5750000.000,,
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisLiabilityPurchases,,13000000.000,0.000,,
GainLossOnDispositionOfAssets,428000.000,-44000.000,-28000.000,-118000.000,-149000.000
GainLossOnSaleOfBusiness,,,,,58153000.000
