,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31
AccountsPayableCurrent,5312.000,4428.000,4951.000,20557.000,4773.000,2110.000,2522.000,2930.000,23660.000,815.000,2173.000
AccountsReceivableNetCurrent,48800.000,52688.000,39117.000,27449.000,44785.000,9247.000,21527.000,49477.000,33775.000,14668.000,47450.000
AssetRetirementObligation,,,,,,,223265.000,227037.000,163781.000,166659.000,169591.000
AssetRetirementObligationsNoncurrent,159313.000,161698.000,208823.000,212339.000,215917.000,219559.000,223265.000,160955.000,163781.000,166659.000,169591.000
Assets,2999892.000,2946190.000,2642611.000,2585226.000,2479957.000,2339156.000,1183476.000,1114573.000,1145836.000,888269.000,686173.000
AssetsCurrent,202268.000,238742.000,261727.000,284166.000,273710.000,204345.000,236328.000,189998.000,487960.000,244501.000,247096.000
AssetsHeldForSalePropertyPlantAndEquipment,,,,,,,,272904.000,,,
AssetsNoncurrent,2797624.000,2707448.000,2380884.000,2301060.000,,,,,,,
CapitalizedCostsAccumulatedDepreciationDepletionAmortizationAndValuationAllowanceForRelatingToOilAndGasProducingActivities,,,,,,,2270162.000,,,,901203.000
CapitalizedCostsOilAndGasProducingActivitiesGross,,,,,,,3167657.000,,,,1285597.000
CapitalizedCostsOilAndGasProducingActivitiesNet,,,,,,,897495.000,,,,384394.000
CashAndCashEquivalentsAtCarryingValue,10288.000,10292.000,10261.000,10230.000,10199.000,10168.000,10137.000,10106.000,445394.000,210242.000,180746.000
DerivativeAssetsCurrent,128882.000,157389.000,201175.000,228513.000,198935.000,174870.000,180165.000,112556.000,0.000,0.000,0.000
DerivativeAssetsLiabilitiesAtFairValueNet,,,,,,,,,,0.000,
DerivativeAssetsNoncurrent,151393.000,146327.000,157086.000,133697.000,84369.000,37678.000,0.000,,,,
DerivativeInstrumentsInHedgesAtFairValueNet,,,,,0.000,0.000,,0.000,,,
DerivativeLiabilitiesCurrent,103136.000,90930.000,87900.000,84972.000,85387.000,83173.000,81917.000,60403.000,0.000,0.000,0.000
DerivativeLiabilitiesNoncurrent,108958.000,95980.000,77860.000,58001.000,39128.000,19597.000,0.000,,,,
DueToAffiliateCurrent,111048.000,119427.000,98359.000,96000.000,58735.000,46925.000,67520.000,61704.000,28988.000,70332.000,31843.000
GeneralPartnersCapitalAccount,568129.000,561514.000,500410.000,491068.000,484441.000,463586.000,232462.000,224231.000,257351.000,201572.000,167993.000
InventoryNet,14298.000,18373.000,11174.000,17974.000,19791.000,10060.000,24499.000,17859.000,8791.000,19591.000,18900.000
Liabilities,487767.000,472463.000,477893.000,471869.000,403940.000,371364.000,375224.000,352074.000,216429.000,237806.000,203607.000
LiabilitiesAndStockholdersEquity,2999892.000,2946190.000,2642611.000,2585226.000,2479957.000,2339156.000,1183476.000,1114573.000,1145836.000,888269.000,686173.000
LiabilitiesCurrent,219496.000,214785.000,191210.000,201529.000,148895.000,132208.000,151959.000,125037.000,52648.000,71147.000,34016.000
LiabilitiesOfAssetsHeldForSale,,,,,,,,66082.000,,,
LimitedPartnersCapitalAccount,1943996.000,1912213.000,1664308.000,1622289.000,1591576.000,1504206.000,575790.000,538268.000,672056.000,448891.000,314573.000
LimitedPartnersCapitalAccountUnitsIssued,559.020,559.020,559.020,559.020,559.020,559.020,559.020,559.020,559.020,559.020,559.020
LimitedPartnersCapitalAccountUnitsOutstanding,559.020,559.020,559.020,559.020,559.020,559.020,559.020,559.020,559.020,559.020,559.020
OilAndGasPropertySuccessfulEffortMethodAccumulatedDepreciationDepletionAndAmortization,6152100.000,6241810.000,5592847.000,5651855.000,5701559.000,5728222.000,2270162.000,1595371.000,1608131.000,1623486.000,901203.000
OilAndGasPropertySuccessfulEffortMethodGross,8759967.000,8762649.000,7774445.000,7775101.000,7777402.000,7777402.000,3167657.000,2196032.000,2213790.000,2213790.000,1285597.000
OilAndGasPropertySuccessfulEffortMethodNet,2607867.000,2520839.000,2181598.000,2123246.000,2075843.000,2049180.000,897495.000,600661.000,605659.000,590304.000,384394.000
OtherAssetsNoncurrent,38364.000,40282.000,42200.000,44117.000,46035.000,47953.000,49653.000,51010.000,52217.000,53464.000,54683.000
PartnersCapital,2512125.000,2473727.000,2164718.000,2113357.000,2076017.000,1967792.000,808252.000,762499.000,929407.000,650463.000,482566.000
RelatedPartyTransactionDueFromToRelatedParty,,,,,-58735.000,-46925.000,-67520.000,-61704.000,-28988.000,-70332.000,-31843.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,2512125.000,2473727.000,2164718.000,2113357.000,2076017.000,1967792.000,808252.000,762499.000,929407.000,650463.000,482566.000
