,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30
AccountsPayableCurrent,1154000.000,813000.000,804000.000,1353000.000,838000.000,787000.000,741000.000,782000.000,541000.000,571000.000,510000.000,582000.000,523000.000
AccountsReceivableBilledForLongTermContractsOrPrograms,,,,,,,-502000.000,,,,0.000,,
AccountsReceivableNetCurrent,5397000.000,3929000.000,4941000.000,3686000.000,3980000.000,3766000.000,5372000.000,4067000.000,4186000.000,4130000.000,2981000.000,3267000.000,2402000.000
AccruedIncomeTaxes,9000.000,35000.000,30000.000,0.000,0.000,8000.000,2000.000,4000.000,23000.000,9000.000,25000.000,34000.000,13000.000
AccruedLiabilitiesCurrent,963000.000,1139000.000,1435000.000,1104000.000,1148000.000,1117000.000,1294000.000,1129000.000,1241000.000,1149000.000,1149000.000,1004000.000,1075000.000
AccruedProfessionalFeesCurrent,,,,,,,,,,,190000.000,,
AccruedRentCurrent,,,,,,,,,,,149000.000,,
AccruedVacationCurrent,,,,,,,,,,,313000.000,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,,,3296000.000,,,,3759000.000,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-5000.000,-27000.000,-18000.000,-3000.000,-1000.000,3000.000,-3000.000,1000.000,3000.000,1000.000,-5000.000,-3000.000,1000.000
AdditionalPaidInCapitalCommonStock,22443000.000,22481000.000,22515000.000,22567000.000,22668000.000,22712000.000,22726000.000,22741000.000,22769000.000,22797000.000,22824000.000,22850000.000,22877000.000
AllowanceForDoubtfulAccountsReceivableCurrent,145000.000,145000.000,145000.000,145000.000,145000.000,145000.000,145000.000,145000.000,145000.000,145000.000,145000.000,145000.000,145000.000
Assets,25850000.000,24661000.000,25411000.000,24463000.000,25419000.000,24867000.000,24976000.000,23941000.000,23491000.000,22893000.000,19731000.000,18685000.000,18364000.000
AssetsCurrent,21298000.000,19904000.000,20876000.000,20274000.000,21216000.000,20277000.000,21078000.000,20200000.000,19483000.000,18915000.000,17853000.000,17016000.000,16732000.000
AvailableForSaleSecuritiesCurrent,256000.000,226000.000,228000.000,256000.000,,,,,,,,,
AvailableForSaleSecuritiesDebtMaturitiesAfterFiveThroughTenYearsAmortizedCost,,,,,,,,,,,153000.000,,
AvailableForSaleSecuritiesDebtMaturitiesAfterTenYearsAmortizedCost,,,,,,,,,,,97000.000,,
AvailableForSaleSecuritiesDebtMaturitiesAmortizedCost,,,,,,,257000.000,,,,250000.000,,
AvailableForSaleSecuritiesDebtMaturitiesWithinOneYearAmortizedCost,,,,,,,101000.000,,,,,,
CashAndCashEquivalentsAtCarryingValue,47000.000,1917000.000,1709000.000,450000.000,1165000.000,829000.000,610000.000,1179000.000,847000.000,1593000.000,2562000.000,1464000.000,2672000.000
CommonStockCapitalSharesReservedForFutureIssuance,,,,,66000.000,74000.000,136000.000,6000.000,0.000,0.000,0.000,,
CommonStockParOrStatedValuePerShare,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100
CommonStockSharesAuthorized,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000
CommonStockSharesIssued,5102000.000,5102000.000,5102000.000,5102000.000,5102000.000,5102000.000,5102000.000,5232000.000,5232000.000,5232000.000,5232000.000,5232000.000,5223000.000
CommonStockSharesOutstanding,4733000.000,4733000.000,4733000.000,4638000.000,4638000.000,4538000.000,4515000.000,4630000.000,4552000.000,4552000.000,4521000.000,4494000.000,4485000.000
CommonStockValue,510000.000,510000.000,510000.000,510000.000,510000.000,510000.000,510000.000,523000.000,523000.000,523000.000,523000.000,523000.000,522000.000
ContractualObligation,,,,,,,702000.000,596000.000,484000.000,54000.000,40000.000,,
CostsInExcessOfBillingsOnUncompletedContractsOrProgramsExpectedToBeCollectedWithinOneYear,958000.000,0.000,0.000,,43000.000,903000.000,875000.000,884000.000,999000.000,0.000,0.000,,
CustomerAdvancesCurrent,67000.000,63000.000,15000.000,26000.000,15000.000,90000.000,88000.000,17000.000,27000.000,140000.000,17000.000,298000.000,177000.000
DeferredRevenueCurrent,85000.000,85000.000,,,,,,,,,,,
DeferredRevenueNoncurrent,43000.000,22000.000,0.000,,,,,,,,,,
DeferredTaxAssetsDeferredIncome,,,,,,,0.000,,,,,,
DeferredTaxAssetsGross,,,,,,,6059000.000,,,,6354000.000,,
DeferredTaxAssetsLiabilitiesNet,,,,,,,2253000.000,,,,0.000,,
DeferredTaxAssetsNetCurrent,608000.000,379000.000,527000.000,942000.000,985000.000,575000.000,447000.000,647000.000,320000.000,331000.000,0.000,,
DeferredTaxAssetsNetNoncurrent,1645000.000,1886000.000,1734000.000,1309000.000,1265000.000,1674000.000,1806000.000,1603000.000,1929000.000,1918000.000,0.000,,
DeferredTaxAssetsOperatingLossCarryforwards,,,,,,,2211000.000,,,,2755000.000,,
DeferredTaxAssetsOperatingLossCarryforwardsDomestic,,,,,,,5000000.000,,,,7000000.000,,
DeferredTaxAssetsOperatingLossCarryforwardsStateAndLocal,,,,,,,6000000.000,,,,6000000.000,,
DeferredTaxAssetsTaxCreditCarryforwardsAlternativeMinimumTax,,,,,,,573000.000,,,,573000.000,,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsShareBasedCompensationCost,,,,,,,4000.000,,,,26000.000,,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsAccruedLiabilities,,,,,,,406000.000,,,,183000.000,,
DeferredTaxAssetsValuationAllowance,,,,,,,3806000.000,,,,6354000.000,,
DeferredTaxLiabilitiesPropertyPlantAndEquipment,,,,,,,7000.000,,,,-12000.000,,
EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognizedStockOptions,,,,,4000.000,3000.000,,,,,,,
Goodwill,1688000.000,1688000.000,1688000.000,1688000.000,1688000.000,1688000.000,868000.000,868000.000,868000.000,868000.000,868000.000,868000.000,868000.000
GoodwillGross,,,,,9798000.000,9798000.000,9798000.000,9798000.000,9798000.000,9798000.000,9798000.000,9798000.000,868000.000
GoodwillImpairedAccumulatedImpairmentLoss,,,,,-8110000.000,-8110000.000,8930000.000,8930000.000,8930000.000,8930000.000,8930000.000,8930000.000,0.000
