,2011-06-30,2011-09-30
AccountsPayableCurrent,47725.000,75236.000
AccountsPayableRelatedPartiesCurrent,6863.000,13.000
AdditionalPaidInCapitalCommonStock,465977.000,555462.000
Assets,649781.000,696295.000
AssetsCurrent,14481.000,60995.000
CashAndCashEquivalentsAtCarryingValue,14481.000,13058.000
CommonStockParOrStatedValuePerShare,0.100,0.100
CommonStockSharesAuthorized,100000000.000,100000000.000
CommonStockSharesIssued,21008753.000,24518753.000
CommonStockValue,2100876.000,2451876.000
ConvertibleNotesPayableCurrent,79000.000,
DividendsPayableCurrent,73252.000,79552.000
EmployeeRelatedLiabilitiesCurrent,67200.000,129100.000
InterestPayableCurrent,29626.000,45236.000
InventoryRealEstateOther,635300.000,635300.000
LiabilitiesAndStockholdersEquity,649781.000,696295.000
LiabilitiesCurrent,450134.000,481171.000
NotesPayable,72500.000,72500.000
PreferredStockParOrStatedValuePerShare,1000.000,1000.000
PreferredStockSharesAuthorized,5000000.000,5000000.000
PreferredStockSharesIssued,210.000,210.000
PreferredStockValueOutstanding,210000.000,210000.000
PrepaidExpenseAndOtherAssetsCurrent,,47937.000
RetainedEarningsAccumulatedDeficit,-2577206.000,-3002214.000
StockholdersEquity,199647.000,215124.000
TaxesPayableCurrent,73968.000,79534.000
