,2014-10-31,2015-01-31,2015-04-30,2015-07-31,2015-10-31,2016-01-31,2016-04-30,2016-07-31,2016-10-31,2017-01-31,2017-04-30
AccountsPayableAndAccruedLiabilitiesCurrent,7871000.000,14035000.000,8218000.000,9210000.000,14059000.000,23205000.000,18696000.000,18149000.000,16164000.000,16636000.000,12371000.000
AccountsReceivableNetCurrent,220000.000,1291000.000,1639000.000,663000.000,529000.000,1458000.000,4772000.000,1896000.000,1184000.000,3303000.000,5083000.000
AccumulatedAmortizationDeferredFinanceCosts,,,191000.000,203000.000,216000.000,289000.000,482000.000,643000.000,854000.000,1192000.000,1615000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,83457000.000,,,,93430000.000,,,,106085000.000
AdditionalPaidInCapitalCommonStock,385000.000,82538000.000,82538000.000,82538000.000,82538000.000,82538000.000,82728000.000,82775000.000,82803000.000,86322000.000,86372000.000
Assets,216455000.000,240007000.000,241540000.000,247438000.000,260652000.000,315542000.000,313963000.000,306419000.000,309637000.000,323002000.000,320537000.000
AssetsCurrent,37618000.000,57549000.000,60490000.000,64138000.000,73495000.000,82262000.000,77769000.000,71984000.000,77064000.000,54187000.000,54850000.000
BridgeLoan,,,,,,,,,5500000.000,,
CapitalLeaseObligations,2414000.000,2307000.000,1990000.000,5694000.000,5409000.000,6781000.000,6116000.000,5790000.000,5508000.000,5080000.000,4493000.000
CapitalLeaseObligationsCurrent,768000.000,640000.000,496000.000,1289000.000,1317000.000,1809000.000,1697000.000,1688000.000,1715000.000,1752000.000,1785000.000
CapitalLeaseObligationsNoncurrent,1646000.000,1667000.000,1494000.000,4405000.000,4092000.000,4972000.000,4419000.000,4102000.000,3793000.000,3328000.000,2708000.000
CapitalLeasedAssetsGross,,,2804000.000,,,,7668000.000,,,,7753000.000
CapitalLeasesFutureMinimumPaymentsDue,2882000.000,2522000.000,2387000.000,6908000.000,6489000.000,7865000.000,7100000.000,6672000.000,6237000.000,5701000.000,5012000.000
