,2011-07-02,2011-10-01,2012-03-31,2012-06-30,2012-09-29,2012-12-29
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,12000.000,11000.000,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,252000.000,,,
ComprehensiveIncomeNetOfTax,,,1608000.000,1190000.000,1632000.000,1122000.000
CostOfRevenue,18249000.000,17964000.000,19673000.000,21298000.000,21641000.000,22961000.000
CurrentIncomeTaxExpenseBenefit,,,,761000.000,927000.000,
DeferredIncomeTaxExpenseBenefit,,,,-18000.000,-18000.000,
DeferredIncomeTaxesAndTaxCredits,,,-18000.000,,,
DefinedBenefitPlanAmortizationOfGainsLosses,,,,-34000.000,-35000.000,
DefinedBenefitPlanContributionsByEmployer,,,,56.000,56000.000,
DefinedBenefitPlanExpectedReturnOnPlanAssets,,,,71000.000,70000.000,
DefinedBenefitPlanInterestCost,,,,75000.000,74000.000,
DefinedBenefitPlanNetPeriodicBenefitCost,,,,43000.000,44000.000,
DefinedBenefitPlanServiceCost,,,,5000.000,5000.000,
DepreciationDepletionAndAmortization,,,784000.000,,,
EarningsPerShareBasic,0.200,0.200,0.250,0.280,0.320,0.280
EarningsPerShareDiluted,0.190,0.190,0.230,0.260,0.290,0.260
EffectiveIncomeTaxRateContinuingOperations,,,,0.340,0.353,
ExcessTaxBenefitFromShareBasedCompensationFinancingActivities,,,25000.000,,,
ExcessTaxBenefitFromShareBasedCompensationOperatingActivities,,,-25000.000,,,
GainLossOnDispositionOfProperty,,,-5000.000,,,
GrossProfit,3631000.000,3877000.000,4357000.000,5246000.000,5814000.000,5478000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,1458000.000,1509000.000,1901000.000,2185000.000,2573000.000,2404000.000
IncomeTaxExpenseBenefit,481000.000,497000.000,646000.000,743000.000,909000.000,894000.000
IncomeTaxesPaid,,,424000.000,,,
IncreaseDecreaseInOperatingCapital,,,-2226000.000,,,
IncrementalCommonSharesAttributableToCallOptionsAndWarrants,,,,474000.000,491000.000,
InterestExpense,273000.000,252000.000,208000.000,299000.000,401000.000,309000.000
InterestPaid,,,213000.000,,,
NetCashProvidedByUsedInFinancingActivities,,,4099000.000,,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,4099000.000,,,
NetCashProvidedByUsedInInvestingActivities,,,-3747000.000,,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,-3747000.000,,,
NetCashProvidedByUsedInOperatingActivities,,,-100000.000,,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,-100000.000,,,
NetIncomeLoss,977000.000,1012000.000,1255000.000,1442000.000,1664000.000,1510000.000
OperatingIncomeLoss,1728000.000,1761000.000,,2484000.000,2974000.000,
OperatingLeasesRentExpenseNet,,,,,136000.000,
OtherComprehensiveIncomeDerivativesQualifyingAsHedgesNetOfTaxPortionAttributableToParent,,,,,-43000.000,
OtherComprehensiveIncomeLossNetOfTax,,,,,-32000.000,
OtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansAdjustmentNetOfTax,,,,,11000.000,
OtherNonoperatingIncome,3000.000,,2109000.000,2484000.000,2974000.000,-7439000.000
PaymentsToAcquirePropertyPlantAndEquipment,,,3758000.000,,,
ProceedsFromIssuanceOfLongTermDebt,,,-637000.000,,,
ProceedsFromRepaymentsOfShortTermDebt,,,4573000.000,,,
ProceedsFromSaleOfPropertyPlantAndEquipment,,,11000.000,,,
ProceedsFromStockOptionsExercised,,,138000.000,,,
ProvisionForDoubtfulAccounts,,,27000.000,,,
Revenues,21880000.000,21841000.000,24030000.000,26544000.000,27455000.000,28439000.000
SalesRevenueNet,21880000.000,21841000.000,24030000.000,26544000.000,27455000.000,28439000.000
SellingGeneralAndAdministrativeExpense,1903000.000,2116000.000,2248000.000,2762000.000,2840000.000,2893000.000
ShareBasedCompensation,,,108000.000,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedDividendRate,,,,0.000,0.000,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodGross,,,,11573.000,2376.000,
StockIssuedDuringPeriodSharesAcquisitions,,,,150523.000,,
StockIssuedDuringPeriodSharesStockOptionsExercised,,,,6800.000,2335.000,
WeightedAverageNumberOfDilutedSharesOutstanding,,,,5604000.000,5740000.000,
WeightedAverageNumberOfSharesOutstandingBasic,,,,5130000.000,5249000.000,
