,2015-06-30,2015-09-30,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AllocatedShareBasedCompensationExpense,831000.000,1427000.000,5519000.000,3641000.000,4177000.000,3979000.000,4279000.000
AmortizationOfIntangibleAssets,300000.000,300000.000,600000.000,600000.000,800000.000,400000.000,500000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,21169248.000,4633255.000,6459862.000,6300712.000,5888763.000,-12657566.000,7972333.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,,,,,,-2486000.000
CashPeriodIncreaseDecrease,,,-3045000.000,,,,
ComprehensiveIncomeNetOfTax,,,,,,,-10565000.000
CostOfRevenue,6727000.000,7063000.000,8712000.000,9293000.000,10038000.000,11682000.000,12264000.000
CostOfServices,3976000.000,4054000.000,4433000.000,4848000.000,4822000.000,6070000.000,5676000.000
CostOfServicesMaintenanceCosts,1412000.000,1505000.000,1681000.000,1758000.000,1801000.000,1865000.000,1878000.000
Depreciation,1000000.000,1100000.000,1100000.000,1100000.000,1200000.000,900000.000,1100000.000
DepreciationDepletionAndAmortization,,,1711000.000,,,,1624000.000
EarningsPerShareBasic,,-0.790,,,,,
EarningsPerShareBasicAndDiluted,-2.590,,-0.380,-0.330,-0.250,-0.230,-0.250
EarningsPerShareDiluted,,-0.790,,,,,
EffectOfExchangeRateOnCashAndCashEquivalents,,,,,,,-76000.000
EffectOfExchangeRateOnCashContinuingOperations,,,151000.000,,,,
ForeignCurrencyTransactionGainLossBeforeTax,,,223000.000,,,,-44000.000
GeneralAndAdministrativeExpense,5048000.000,5537000.000,6593000.000,6644000.000,7605000.000,7440000.000,7248000.000
GrossProfit,19063000.000,21249000.000,26084000.000,27975000.000,30301000.000,33352000.000,32981000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,-9147000.000,-11614000.000,-15438000.000,-13303000.000,-10124000.000,-10162000.000,-10416000.000
IncomeTaxExpenseBenefit,97000.000,211000.000,142000.000,149000.000,70000.000,-388000.000,129000.000
IncomeTaxesPaidNet,,,274000.000,,,,65000.000
IncreaseDecreaseInAccountsPayable,,,-500000.000,,,,-244000.000
IncreaseDecreaseInAccountsReceivable,,,-14048000.000,,,,-15182000.000
IncreaseDecreaseInAccruedLiabilities,,,-7427000.000,,,,-7216000.000
IncreaseDecreaseInDeferredRevenue,,,1540000.000,,,,-1416000.000
IncreaseDecreaseInOtherOperatingLiabilities,,,-166000.000,,,,-266000.000
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,,,716000.000,,,,-1466000.000
InterestIncomeExpenseNonoperatingNet,-737000.000,-1067000.000,-15000.000,26000.000,44000.000,76000.000,169000.000
InterestPaid,,,1000.000,,,,0.000
MaintenanceRevenue,6253000.000,7002000.000,8381000.000,8962000.000,9694000.000,10366000.000,10802000.000
NetCashProvidedByUsedInFinancingActivities,,,-512000.000,,,,2105000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,-512000.000,,,,2105000.000
NetCashProvidedByUsedInInvestingActivities,,,-1092000.000,,,,-7836000.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,-1092000.000,,,,-7836000.000
NetCashProvidedByUsedInOperatingActivities,,,-1592000.000,,,,3321000.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,-1592000.000,,,,3321000.000
NetIncomeLoss,-9244000.000,-11825000.000,-15580000.000,-13452000.000,-10194000.000,-9774000.000,-10545000.000
NetIncomeLossAvailableToCommonStockholdersBasic,,-25986000.000,-15580000.000,-13452000.000,-10194000.000,-9774000.000,
NetIncomeLossAvailableToCommonStockholdersDiluted,,-25986000.000,,,,,
