,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
ConcentrationRiskCreditRiskFinancialInstrumentMaximumExposure,,,,,,10585354.000,,,,9035112.000,,,,9949923.000,,,,16287060.000,,,,10239709.000
CustodyFees,6940.000,8194.000,15879.000,279.000,8228.000,7558.000,7555.000,6816.000,6885.000,7553.000,9471.000,6414.000,6482.000,6375.000,7219.000,6897.000,6802.000,6018.000,6814.000,7252.000,7410.000,7653.000
ForeignCurrencyTransactionGainLossRealized,26017.000,21476.000,43244.000,-56192.000,4679.000,-59809.000,-84052.000,28726.000,36533.000,-34099.000,16148.000,59041.000,1.000,-126034.000,-54000.000,-140043.000,13233.000,-7327.000,71630.000,-23465.000,-209735.000,-36929.000
ForeignCurrencyTransactionGainLossUnrealized,-48275.000,4994.000,1371.000,15079.000,-17391.000,-9752.000,28925.000,8399.000,-23032.000,1730.000,-4278.000,-77769.000,-42550.000,93652.000,-10054.000,16388.000,-18419.000,102097.000,-124687.000,87609.000,-135725.000,137191.000
GeneralAndAdministrativeExpense,101000.000,96437.000,97631.000,95751.000,91339.000,91170.000,86612.000,78565.000,76371.000,73084.000,75580.000,76792.000,80223.000,85105.000,84287.000,85107.000,84096.000,92092.000,95758.000,102246.000,99268.000,70000.000
IncomeLossAttributableToParent,,,,,,,,,,,,,,,,7696568.000,,13094422.000,9905657.000,1764283.000,-4913858.000,6385186.000
InvestmentIncomeInterest,81197.000,54045.000,49866.000,47958.000,63401.000,64674.000,61641.000,45606.000,39871.000,33366.000,33479.000,33278.000,32884.000,36961.000,58284.000,78120.000,101600.000,108323.000,131166.000,188925.000,215421.000,231970.000
NetIncomeLoss,457407.000,-10488831.000,302251.000,47464.000,1118146.000,3588042.000,-13145986.000,-1466598.000,2209704.000,2098529.000,10018991.000,3304499.000,4382982.000,8368527.000,-10783340.000,,,,,,,
NetIncomeLossAllocatedToGeneralPartners,,,,,,,,,,,,,,,-574949.000,253277.000,,1241159.000,981955.000,115246.000,-584627.000,621420.000
NetIncomeLossAllocatedToLimitedPartners,,,,,,,,,,,,,,,-10208391.000,7443291.000,,11853263.000,8923702.000,1649037.000,-4329231.000,5763766.000
OperatingExpenses,971168.000,1005339.000,1076748.000,1035311.000,1031619.000,1030001.000,1018256.000,888763.000,843174.000,790692.000,781582.000,783802.000,801189.000,866643.000,880784.000,888302.000,877486.000,949367.000,992357.000,1058034.000,1052986.000,1039584.000
PartnersCapitalAccountContributions,,6374000.000,,,,1123000.000,,,,480000.000,,,,7494094.000,,,,4016235.000,,,,2335261.000
PartnersCapitalAccountRedemptions,,2141907.000,,,,4313897.000,,,,3798435.000,,,,2766083.000,,,,2623484.000,,,,1920073.000
TradingActivityGainsAndLossesNet,,,1256289.000,1055206.000,,4628009.000,-12136552.000,-673337.000,3024290.000,2889612.000,10783898.000,4084402.000,5296250.000,9781163.000,,,,,,,,
TradingGainsLosses,,,,,,,,,,,,,,,-9906129.000,8604322.000,,13719081.000,10768411.000,2613588.000,-3635121.000,7141851.000
UnrealizedGainLossOnDerivatives,-3576572.000,-3789872.000,-2092277.000,1012071.000,3967051.000,-857588.000,977125.000,-1972923.000,3220787.000,-1271600.000,1948923.000,-2516356.000,-39902.000,1670831.000,-2383884.000,917848.000,1490903.000,1554770.000,2137219.000,-2779777.000,-160740.000,-673724.000
