,2011-07-30,2011-10-29,2012-01-28,2012-04-28,2012-07-28,2012-10-27,2013-02-02,2013-05-04,2013-08-03,2013-11-02,2014-02-01,2014-05-03,2014-08-02,2014-11-01,2015-01-31,2015-05-02,2015-08-01,2015-10-31
AccountsPayableCurrent,230884000.000,238599000.000,243712000.000,261834000.000,246522000.000,258222000.000,244696000.000,245193000.000,226684000.000,253818000.000,256031000.000,247756000.000,219423000.000,217066000.000,227132000.000,230211000.000,216826000.000,219903000.000
AccountsReceivableNetCurrent,21731000.000,23524000.000,25792000.000,22542000.000,27962000.000,25225000.000,23897000.000,25215000.000,25386000.000,24942000.000,25152000.000,27385000.000,27908000.000,31622000.000,31013000.000,29101000.000,29762000.000,31743000.000
AccruedLiabilitiesCurrent,206627000.000,221976000.000,221705000.000,228675000.000,218548000.000,218167000.000,232277000.000,229452000.000,231580000.000,225249000.000,237403000.000,226667000.000,224399000.000,209524000.000,226176000.000,208794000.000,210689000.000,198535000.000
AccruedLiabilitiesForUnredeeemedGiftCards,,,,,,,0.000,,,,0.000,,,,0.000,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,1149556000.000,1158656000.000,1162909000.000,1183000.000,1197253000.000,1214802000.000,1227121000.000,1245488000.000,1254126000.000,1257988000.000,1251797000.000,1264412000.000,1276588000.000,1287150000.000
AccumulatedOtherComprehensiveIncomeLossCumulativeChangesInNetGainLossFromCashFlowHedgesEffectNetOfTax,,,,,-6023000.000,-1415000.000,-980000.000,,,,,,,,,,,
AccumulatedOtherComprehensiveIncomeLossDefinedBenefitPensionAndOtherPostretirementPlansNetOfTax,,,,,8988000.000,8635000.000,,,,,,,,,,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-15870000.000,-14727000.000,-17649000.000,-16275000.000,-15011000.000,-10050000.000,-980000.000,-867000.000,711000.000,339000.000,379000.000,341000.000,213000.000,43000.000,-391000.000,-245000.000,-294000.000,-519000.000
AdditionalPaidInCapitalCommonStock,295934000.000,295813000.000,296462000.000,295411000.000,295536000.000,295086000.000,295679000.000,295059000.000,295882000.000,296578000.000,297009000.000,297002000.000,297924000.000,297313000.000,298299000.000,297563000.000,296750000.000,297560000.000
AllowanceForDoubtfulAccountsReceivableCurrent,1191000.000,1257000.000,1303000.000,1289000.000,1247000.000,1424000.000,1302000.000,1230000.000,1211000.000,1310000.000,1320000.000,1486000.000,2102000.000,1616000.000,1604000.000,1680000.000,1719000.000,1887000.000
AssetRetirementObligation,,,,,,,5963000.000,,,,6243000.000,,,,5924000.000,,,
Assets,1580604000.000,1611108000.000,1633779000.000,1668533000.000,1686475000.000,1603777000.000,1603949000.000,1595928000.000,1583329000.000,1589247000.000,1605481000.000,1592951000.000,1580732000.000,1572401000.000,1541741000.000,1520728000.000,1507180000.000,1492355000.000
AssetsCurrent,738590000.000,773615000.000,784545000.000,832569000.000,879454000.000,802773000.000,813637000.000,817662000.000,817998000.000,815191000.000,825637000.000,817246000.000,806011000.000,806910000.000,812600000.000,803714000.000,803025000.000,797481000.000
