,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-06-30,2013-09-30,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccrualForEnvironmentalLossContingenciesProvisionForNewLosses,0.000,,0.000,0.000,,,,,-500000.000,0.000,,,,,,,,,,
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,,2700000.000,,,,,,2100000.000,,,,2300000.000,,,,,,,,
AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation,,,,,,,,,,,,2700000.000,,,,,,,,
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,5900000.000,7400000.000,5100000.000,4400000.000,-11600000.000,2400000.000,2400000.000,3600000.000,4100000.000,3800000.000,-9000000.000,5200000.000,5100000.000,4700000.000,-10100000.000,2600000.000,2600000.000,2200000.000,-4800000.000,600000.000
AssetImpairmentCharges,62000000.000,,,,,,,,,,,,,,,,,,,
BusinessAcquisitionEquityInterestsIssuedOrIssuableNumberOfSharesIssued,,,,,,,0.114,0.114,,,,,,,,,,,,
BusinessCombinationAcquisitionRelatedCosts,,,,,,-35900000.000,0.000,,0.000,0.000,,,,,,,,,,
BusinessCombinationStepAcquisitionEquityInterestInAcquireeFairValue1,,,,,,,95900000.000,,,,,,,,,,,,,
BusinessCombinationStepAcquisitionEquityInterestInAcquireeRemeasurementGain,,,,,,35900000.000,0.000,,,,,,,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,26100000.000,-59500000.000,146600000.000,63400000.000,70400000.000,70200000.000,38800000.000,-105100000.000,3000000.000,25200000.000,-47200000.000,-64400000.000,12700000.000,-33300000.000,-13000000.000,-30500000.000,70600000.000,84900000.000,99600000.000,-9800000.000
