,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2016-03-31,2016-06-30
CashAndCashEquivalentsPeriodIncreaseDecrease,,,0.000,,,165075.000,,,,-404582.000,,,,3501.000,-9981857.000,
ComprehensiveIncomeNetOfTax,,,,,,-646055.000,,,,,,,,,-4963684.000,-912538.000
CostOfGoodsSold,,,,,,,,,,,-28736.000,0.000,,0.000,208081.000,
DeferredIncomeTaxExpenseBenefit,,,,,,-42687.000,,,,,,,,,,
Depreciation,,,,,,,,,,,,,,,416689.000,
DepreciationAndAmortization,2543.000,2542.000,2542.000,2543.000,2542.000,168793.000,,,,79723.000,,,,87724.000,416689.000,
EarningsPerShareBasicAndDiluted,,-0.010,,,,,,,,,,,,,-0.020,-0.010
EffectOfExchangeRateOnCashAndCashEquivalents,,,,,,0.000,,,,0.000,,,,93435.000,,
ForeignCurrencyTransactionGainBeforeTax,,,,,,0.000,,,,,,,,,,
ForeignCurrencyTransactionGainLossBeforeTax,,,,,,,0.000,0.000,,0.000,0.000,0.000,,,,
GainLossOnDispositionOfAssets,,,0.000,,,,,,,,,,,,,
GainLossOnSaleOfInvestments,,,,,,0.000,,,,0.000,,,,,,
GainLossOnSaleOfOtherAssets,-0.000,,0.000,,,,,,,,,,,,,
GainsLossesOnExtinguishmentOfDebt,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,
GainsLossesOnSalesOfAssets,-0.000,-0.000,-0.000,-0.000,-0.000,,,,,,,,,,,
GeneralAndAdministrativeExpense,13038.000,4983.000,8341.000,26279.000,17461.000,388375.000,286146.000,986796.000,1452134.000,647271.000,637764.000,4105578.000,2042991.000,784443.000,799015.000,1143324.000
GrossProfit,,,,,,,,,,,23464.000,0.000,,,49153.000,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,,,,,,-688742.000,-708150.000,-1604366.000,-2130880.000,-1083137.000,-1137125.000,-4126314.000,-2243121.000,-829836.000,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,,,,,,,,,,,,,,,-4963684.000,-912538.000
IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,-0.010,,-0.010,-0.010,-0.010,-0.010,-0.010,-0.010,-0.020,-0.010,-0.010,-0.030,-0.020,-0.010,,
IncomeTaxExpenseBenefit,,,,,,-42687.000,0.000,0.000,42687.000,0.000,0.000,0.000,0.000,0.000,,
IncomeTaxesPaid,,,0.000,,,0.000,,,,0.000,,,,0.000,0.000,
IncreaseDecreaseInAccountsPayable,,,3873.000,,,,,,,,,,,,,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,,,,,23048.000,,,,399513.000,,,,37502.000,687070.000,
IncreaseDecreaseInAccountsPayableRelatedParties,,,3821.000,,,,,,,,,,,,,
IncreaseDecreaseInAccountsReceivable,,,,,,,,,,,,,,,229397.000,
IncreaseDecreaseInAccruedLiabilities,,,0.000,,,,,,,,,,,,,
IncreaseDecreaseInBookOverdrafts,,,-108.000,,,,,,,,,,,,,
IncreaseDecreaseInInventories,,,,,,-3340.000,,,,-3166.000,,,,0.000,-5098.000,
IncreaseDecreaseInNotesReceivables,,,,,,45464.000,,,,62500.000,,,,0.000,,
IncreaseDecreaseInOtherCurrentAssets,,,,,,,,,,1521.000,,,,0.000,,
IncreaseDecreaseInPrepaidExpense,,,,,,-1125.000,,,,18763.000,,,,-37534.000,172057.000,
IncreaseDecreaseInSecurityDeposits,,,,,,0.000,,,,0.000,,,,-87730.000,12069.000,
InterestAndOtherIncome,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.000,9.000,0.000,46609.000,
InterestExpense,0.000,0.000,-221.000,-215.000,-215.000,-18205.000,-27033.000,-34299.000,-32613.000,-29589.000,-29918.000,-20740.000,,-29589.000,,18756.000
InterestPaid,,,0.000,,,0.000,,,,0.000,,,,0.000,0.000,
InventoryWriteDown,,,,,,,,,,,,,,,351382.000,
InvestmentIncomeInterest,,,,,,,,,,,,,,,,55021.000
IssuanceOfStockAndWarrantsForServicesOrClaims,,,,,,,,,,,,,,,137948.000,
LossOnSaleOfInvestments,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,
MarketingExpense,,,,,,,,,,,,,,,,26912.000
NetCashProvidedByUsedInFinancingActivities,,,976.000,,,750000.000,,,,150000.000,,,,730550.000,100000.000,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,976.000,,,750000.000,,,,150000.000,,,,730550.000,100000.000,
NetCashProvidedByUsedInInvestingActivities,,,0.000,,,-129023.000,,,,-30299.000,,,,-93360.000,-6302837.000,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,0.000,,,-129023.000,,,,-30299.000,,,,-93360.000,-6302837.000,
NetCashProvidedByUsedInOperatingActivities,,,-976.000,,,-455902.000,,,,-524283.000,,,,-727124.000,-3779020.000,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,-976.000,,,-455902.000,,,,-524283.000,,,,-727124.000,-3779020.000,
NetIncomeLoss,-15581.000,-7525.000,-11104.000,-29037.000,-20218.000,-646055.000,-708150.000,-1604366.000,-2173567.000,-1083137.000,-1137125.000,-4126314.000,-2243121.000,-829836.000,,
NetIncomeLossAttributableToNoncontrollingInterest,,,379.000,380.000,380.000,,,,,,,,,,,
NetIncomeLossAvailableToCommonStockholdersBasic,,,-10725.000,-28657.000,-19838.000,,,,,,,,,,,
NondebtorReorganizationItemsNetGainLossOnSettlementOfOtherClaims,,0.000,0.000,,,,,,,,,,,,,
NonoperatingIncomeExpense,,,,,,,,,,,,,,,46609.000,2018247.000
OperatingExpenses,15581.000,7525.000,10883.000,28822.000,20003.000,670537.000,681117.000,1570067.000,,1053548.000,1130671.000,4105578.000,2193442.000,800247.000,5059446.000,2930785.000
OperatingIncomeLoss,-15581.000,-7525.000,-10883.000,-28822.000,-20003.000,-670537.000,-681117.000,-1570067.000,-2098267.000,-1053548.000,-1107207.000,-4105578.000,-2193442.000,-800247.000,-5010293.000,-2930785.000
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,,,,,,0.000,0.000,0.000,0.000,0.000,27500.000,0.000,-537724.000,93435.000,,
OtherComprehensiveIncomeLossTax,,,,,,,-708150.000,-1604366.000,,-1083137.000,-1109625.000,-4126314.000,,-736401.000,,
OtherIncome,,,,,,,,,,,,,,,,1981982.000
OtherOperatingIncomeExpenseNet,0.000,0.000,-221.000,-215.000,-215.000,-18205.000,-27033.000,-34299.000,-32613.000,-29589.000,-29918.000,-20736.000,-49679.000,-29589.000,,
PaymentsForLegalSettlements,,,,,,,,,,0.000,,,,,,
PaymentsForProceedsFromDepositOnLoan,,,,,,,,,,0.000,,,,,,
PaymentsToAcquireIntangibleAssets,,,-0.000,,,,,,,,,,,,,
PaymentsToAcquireInvestments,,,,,,0.000,,,,0.000,,,,-75.000,,
PaymentsToAcquireMachineryAndEquipment,,,-0.000,,,,,,,,,,,,,
PaymentsToAcquirePropertyPlantAndEquipment,,,,,,-129023.000,,,,30299.000,,,,0.000,506432.000,
ProceedsFromContributedCapital,,,,,,0.000,,,,,,,,,,
ProceedsFromConvertibleDebt,,,,,,750000.000,,,,0.000,,,,,,
ProceedsFromIssuanceOfCommonStock,,,0.000,,,0.000,,,,0.000,,,,730550.000,100000.000,
ProceedsFromIssuanceOfPrivatePlacement,,,,,,,,,,150000.000,,,,0.000,,
ProceedsFromPaymentsForLongTermLoansForRelatedParties,,,,,,,,,,,,,,-93435.000,-5796405.000,
ProceedsFromRelatedPartyDebt,,,,,,0.000,,,,0.000,,,,,,
ProceedsFromRepaymentsOfRelatedPartyDebt,,,976.000,,,,,,,,,,,,,
ProceedsFromSaleOfLongtermInvestments,,,,,,0.000,,,,0.000,,,,,,
ProceedsFromSaleOfMachineryAndEquipment,,,0.000,,,,,,,,,,,,,
ProfitLoss,,,,,,,,,,,,,,,-4963684.000,-912538.000
ProvisionForDoubtfulAccounts,,,,,,,,,,,,,,,0.000,
RelatedPartyTransactionRate,,,,,,,,,,0.060,,,,0.060,,
RepaymentsOfRelatedPartyDebt,,,,,,0.000,,,,0.000,,,,,,
ResearchAndDevelopmentExpense,0.000,0.000,0.000,0.000,0.000,282162.000,394971.000,583271.000,646133.000,406277.000,492907.000,0.000,150451.000,15804.000,3461274.000,1760549.000
Revenues,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,52200.000,0.000,0.000,0.000,257234.000,
SalesRevenueNet,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,52200.000,0.000,0.000,0.000,257234.000,
SellingAndMarketingExpense,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,799157.000,
StockIssued,,,0.000,,,,,,,,,,,,,
StockIssued1,,,,,,0.000,,,,,,,,,,
StockIssuedDuringPeriodValueIssuedForServices,,,,,,0.000,,,,0.000,,,,,,
StockIssuedDuringPeriodValueShareBasedCompensation,,,,,,,,,,,,,,102750.000,,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,,,,,,100000000.000,113888888.000,,107272221.000,108019474.000,128409269.000,-218482875.000,162012499.000,272245703.000,272451382.000
WeightedAverageNumberOfSharesOutstandingBasic,3368458.000,3368458.000,2557560.000,2807846.000,2869560.000,100000000.000,,,,,,,,,,
