,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30
AllocatedShareBasedCompensationExpense,,,,0.000,255360.000,,249600.000,0.000,77430.000,74503.000,42805.000,96556.000,73355.000,87927.000,127800.000,37376.000,11273.000,87415.000,75945.000,0.000
AssetRetirementObligationAccretionExpense,,,5286.000,,,,5488.000,,,,5760.000,,,,6046.000,,,,6416.000,
AvailableForSaleSecuritiesChangeInNetUnrealizedHoldingGainLossNetOfTax,,,,,,,-5985.000,,,,-7941.000,,,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,,,,,,,,,,,,,,,,,-809804.000,
ComprehensiveIncomeNetOfTax,,,,-2354613.000,-2691374.000,,-2153063.000,-1827773.000,-1788059.000,-1617541.000,-1551652.000,-1821373.000,-1511832.000,-1577078.000,-1513033.000,-1234704.000,-1044409.000,952941.000,-1011836.000,-1214879.000
Depreciation,254007.000,251018.000,244396.000,246992.000,242469.000,238298.000,234903.000,232745.000,232746.000,232645.000,206701.000,206091.000,201749.000,146389.000,27837.000,15565.000,13938.000,12652.000,33304.000,12460.000
DerivativeInstrumentsGainLossRecognizedInIncomeNet,370023.000,126345.000,336920.000,21057.000,,,0.000,0.000,0.000,,,,,,,,,,,
DividendsPreferredStock,,,,,,,,,,,,,-36565.000,,,,,,,
EarningsPerShareBasicAndDiluted,-0.060,-0.100,-0.050,-0.080,-0.090,-0.060,-0.070,-0.060,-0.060,-0.060,-0.050,-0.060,-0.050,-0.060,-0.050,-0.040,-0.040,0.030,-0.030,-0.040
EmployeeServiceShareBasedCompensationCashReceivedFromExerciseOfStockOptions,,,,,,,0.000,,,,128250.000,177750.000,,,0.000,,,,30000.000,
GainLossOnDispositionOfAssets1,,,,,,,,,,,,11900.000,110700.000,,,,,,,
GeneralAndAdministrativeExpense,1004392.000,1719572.000,778890.000,958884.000,839656.000,642272.000,975401.000,758453.000,561647.000,589320.000,591635.000,700228.000,544983.000,567814.000,551902.000,509478.000,401529.000,370292.000,450257.000,365047.000
IncreaseDecreaseInAccountsPayable,,,-24609.000,,,,-71566.000,,,,94014.000,,,,131220.000,,,,44657.000,
IncreaseDecreaseInAccruedInterestReceivableNet,,,-5701.000,,,,-3790.000,,,,-5911.000,,,,-3406.000,,,,-4053.000,
IncreaseDecreaseInEmployeeRelatedLiabilities,,,24096.000,,,,81283.000,,,,8856.000,,,,15440.000,,,,19795.000,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,,,-35518.000,,,,-30597.000,,,,-35389.000,,,,-46385.000,,,,-45651.000,
InterestIncomeExpenseNonoperatingNet,39545.000,34397.000,19305.000,15309.000,13127.000,10363.000,7567.000,6110.000,5495.000,4891.000,3725.000,2481.000,2912.000,2738.000,2108.000,1553.000,-10316.000,1409.000,574.000,-7492.000
