,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30
AdditionsToNoncurrentAssets,,,,3154000.000,3909000.000,,4103000.000,4109000.000,,,,,
AdjustmentsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,,,,,,,,,,,6919000.000,,
AmortizationOfFinancingCostsAndDiscounts,,,675000.000,,,,870000.000,,,,870000.000,,
CapitalExpendituresIncurredButNotYetPaid,,,,,,,,,,,119000.000,,
CapitalLeaseObligationsIncurred,,,,,,,476000.000,,,,2310000.000,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,-12398000.000,,,,-3431000.000,,,,2466000.000,,
CostOfServices,300723000.000,298075000.000,298890000.000,301342000.000,296202000.000,298060000.000,294376000.000,295168000.000,305518000.000,309506000.000,317598000.000,326834000.000,333809000.000
CostsAndExpenses,,,,376570000.000,368340000.000,,368256000.000,372461000.000,385010000.000,387183000.000,405268000.000,411607000.000,418205000.000
DeferredIncomeTaxExpenseBenefit,,,1100000.000,,,,,,,,,,
DeferredIncomeTaxesAndTaxCredits,,,,,,,1964000.000,,,,-2944000.000,,
DepreciationDepletionAndAmortization,,,6645000.000,,,,8195000.000,8531000.000,8809000.000,8860000.000,8955000.000,,
EffectOfExchangeRateOnCashAndCashEquivalents,,,64000.000,,,,-66000.000,,,,-88000.000,,
EffectiveIncomeTaxRateContinuingOperations,,,,0.403,0.403,,0.108,0.364,0.325,-0.500,0.426,0.411,0.410
GainLossOnDispositionOfAssets,,,-35000.000,,,,-102000.000,,,,-38000.000,,
GainsLossesOnExtinguishmentOfDebt,,,,-7129000.000,,,,,,,,-659000.000,
GeneralAndAdministrativeExpense,59588000.000,55548000.000,60285000.000,58764000.000,57364000.000,57425000.000,58770000.000,61049000.000,59018000.000,59848000.000,59710000.000,55496000.000,60498000.000
GoodwillAcquiredDuringPeriod,,,,,,,7000.000,,,,186000.000,,
GoodwillOtherChanges,,,,,,,132000.000,,,,45000.000,,
GrossProfit,98369000.000,98192000.000,98452000.000,98560000.000,100636000.000,106967000.000,95078000.000,101065000.000,104416000.000,111506000.000,103885000.000,104600000.000,103998000.000
