,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30
AccountsPayableCurrent,5021000.000,5646000.000,10681000.000,15441000.000,14407000.000,7831000.000,6408000.000,10113000.000,7711000.000,6279000.000,6605000.000,5619000.000,5368000.000,4931000.000,3463000.000,3752000.000,3923000.000,3486000.000,2152000.000,1895000.000,1726000.000,1677000.000
AccountsPayableRelatedPartiesCurrent,,,,,,,,,,,,,,,,,192100.000,251700.000,,,,
AccountsReceivableNetCurrent,20168000.000,28409000.000,17191000.000,17493000.000,13837000.000,9906000.000,13344000.000,10540000.000,11274000.000,11621000.000,11456000.000,10303000.000,10071000.000,10900000.000,10019000.000,6126000.000,5023000.000,4199000.000,1669000.000,2095000.000,3452000.000,3151000.000
AccountsReceivableRelatedParties,,,,,,,,,,,,,,,,,453800.000,190600.000,,,,
AccrualForEnvironmentalLossContingencies,,,,,,,25000.000,,,,,,,,,,,,,,,
AccruedBonusesCurrent,229000.000,,,,,,,,,,,,,,,,,,,,,
AccruedIncomeTaxesCurrent,3365000.000,,,,,,,,,,,18000.000,36000.000,19000.000,27000.000,22000.000,22000.000,0.000,0.000,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,,,24256000.000,,,,26502000.000,,,,28868000.000,,,,25649000.000,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-311000.000,-338000.000,-290000.000,-247000.000,-230000.000,-188000.000,-150000.000,-112000.000,-79000.000,-53000.000,-71000.000,-32000.000,-24000.000,-12000.000,-10000.000,-20000.000,-16000.000,-19000.000,0.000,,,
AdditionalPaidInCapitalCommonStock,18282000.000,18282000.000,18131000.000,18131000.000,18210000.000,18245000.000,18281000.000,18317000.000,18149000.000,18149000.000,18649000.000,18708000.000,21410000.000,21410000.000,23249000.000,23368000.000,23443000.000,23605000.000,23555000.000,23691000.000,23891000.000,23888000.000
AllowanceForDoubtfulAccountsReceivableCurrent,100000.000,100000.000,100000.000,100000.000,100000.000,100000.000,100000.000,100000.000,100000.000,100000.000,100000.000,100000.000,100000.000,100000.000,100000.000,100000.000,100000.000,100000.000,35000.000,35000.000,35000.000,35000.000
Assets,98934000.000,96040000.000,80970000.000,84225000.000,82747000.000,69572000.000,63323000.000,64399000.000,61236000.000,58014000.000,44032000.000,39905000.000,44112000.000,44738000.000,37790000.000,30455000.000,27440000.000,24799000.000,19434000.000,19583000.000,21912000.000,20579000.000
AssetsCurrent,57834000.000,56739000.000,42754000.000,46809000.000,45543000.000,32874000.000,33847000.000,35508000.000,32827000.000,30303000.000,21939000.000,18514000.000,23230000.000,24515000.000,18820000.000,12513000.000,11555000.000,9605000.000,5103000.000,5591000.000,7282000.000,6676000.000
BankOverdrafts,,,,,,,,,,,,1037000.000,0.000,621000.000,79000.000,44000.000,0.000,0.000,0.000,,140000.000,41000.000
CapitalLeaseObligationsCurrent,,,,,,,,,,,,,,,,,,,,,91000.000,144000.000
CapitalLeaseObligationsNoncurrent,,,,,,,,,,,,,,,,,,,,,1185000.000,1118000.000
CapitalLeasesFutureMinimumPaymentsDue,,,,,,,,,,,,,,,,,,,,,1614000.000,1572000.000
CapitalLeasesFutureMinimumPaymentsDueInRollingYearFive,,,,,,,,,,,,,,,,,,,,,282000.000,188000.000
CapitalLeasesFutureMinimumPaymentsDueInRollingYearFour,,,,,,,,,,,,,,,,,,,,,375000.000,375000.000
CapitalLeasesFutureMinimumPaymentsDueInRollingYearThree,,,,,,,,,,,,,,,,,,,,,375000.000,376000.000
CapitalLeasesFutureMinimumPaymentsDueInRollingYearTwo,,,,,,,,,,,,,,,,,,,,,375000.000,375000.000
CapitalLeasesFutureMinimumPaymentsNextRollingTwelveMonths,,,,,,,,,,,,,,,,,,,,,207000.000,258000.000
CapitalLeasesLessorBalanceSheetNetInvestmentInSalesTypeLeasesCurrent,37000.000,38000.000,40000.000,31000.000,21000.000,0.000,0.000,,,,,,,,,,,,,,,
CapitalLeasesLessorBalanceSheetNetInvestmentInSalesTypeLeasesNoncurrent,21000.000,11000.000,,,,,,,,,,,,,,,,,,,,
CashAndCashEquivalentsAtCarryingValue,2084000.000,3037000.000,2267000.000,1747000.000,2575000.000,1535000.000,1926000.000,1438000.000,1472000.000,1457000.000,1589000.000,1240000.000,741000.000,1026000.000,1059000.000,402000.000,591000.000,550000.000,642000.000,428000.000,415000.000,492000.000
CommonStockParOrStatedValuePerShare,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003
CommonStockSharesAuthorized,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,20000000.000,20000000.000,20000000.000,20000000.000,20000000.000,20000000.000,20000000.000,20000000.000,20000000.000,20000000.000,20000000.000,20000000.000,20000000.000
CommonStockSharesIssued,7192500.000,7192500.000,7192479.000,7192479.000,7192479.000,7192479.000,7192479.000,7192479.000,7192479.000,7192479.000,7192479.000,7192479.000,8049622.000,8049622.000,8049622.000,8049622.000,8049622.000,8049622.000,8049622.000,8049622.000,8068971.000,8097979.000
CommonStockSharesOutstanding,6940517.000,6940517.000,6940517.000,6940517.000,6944267.000,6944267.000,6944267.000,6944267.000,7069267.000,7069267.000,7069267.000,7069267.000,7956410.000,7956410.000,7956410.000,7964606.000,7964606.000,8018932.000,8018932.000,8018932.000,8038281.000,8067289.000
CommonStockValue,24000.000,24000.000,24000.000,24000.000,24000.000,24000.000,24000.000,24000.000,24000.000,24000.000,24000.000,24000.000,27000.000,27000.000,27000.000,27000.000,27000.000,27000.000,27000.000,27000.000,27000.000,27000.000
DebtInstrumentCarryingAmount,,,,,,,,22591000.000,22500000.000,22302000.000,,14946000.000,16779000.000,16847000.000,,11067000.000,8823000.000,7664000.000,,3171000.000,,
DeferredIncomeTaxLiabilities,,,,,,,3144000.000,,,,2735000.000,,,,2131000.000,,,,1459000.000,,,
DeferredTaxAssetsGross,,,,,,,8452000.000,,,,11746000.000,,,,14177000.000,,,,14221000.000,,,
DeferredTaxAssetsHedgingTransactions,,,,,,,100000.000,,,,30000.000,,,,4000.000,,,,0.000,,,
DeferredTaxAssetsInventory,,,,,,,210000.000,,,,120000.000,,,,83000.000,,,,63000.000,,,
DeferredTaxAssetsLiabilitiesNet,,,,,,,1146000.000,,,,97000.000,,,,97000.000,,,,97000.000,,,
DeferredTaxAssetsNet,,,,,,,1146000.000,,,,97000.000,,,,97000.000,,,,,,,
DeferredTaxAssetsNetCurrent,942000.000,511000.000,411000.000,324000.000,368000.000,389000.000,276000.000,654000.000,55000.000,350000.000,0.000,,,,,,,,,,,
DeferredTaxAssetsNetNoncurrent,,,,,,,870000.000,1024000.000,1464000.000,1535000.000,97000.000,97000.000,97000.000,97000.000,97000.000,97000.000,97000.000,97000.000,97000.000,97000.000,62000.000,27000.000
DeferredTaxAssetsOperatingLossCarryforwardsDomestic,,,,,,,,,,,2413000.000,,,,3920000.000,,,,4176000.000,,,
DeferredTaxAssetsOperatingLossCarryforwardsStateAndLocal,,,,,,,599000.000,,,,1521000.000,,,,1659000.000,,,,1758000.000,,,
DeferredTaxAssetsOther,,,,,,,35000.000,,,,11000.000,,,,11000.000,,,,11000.000,,,
DeferredTaxAssetsPropertyPlantAndEquipment,,,,,,,12000.000,,,,10000.000,,,,13000.000,,,,13000.000,,,
DeferredTaxAssetsTaxCreditCarryforwardsOther,,,,,,,4659000.000,,,,4617000.000,,,,4604000.000,,,,4598000.000,,,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsShareBasedCompensationCost,,,,,,,,,,,62000.000,,,,1084000.000,,,,1147000.000,,,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsAllowanceForDoubtfulAccounts,,,,,,,43000.000,,,,43000.000,,,,41000.000,,,,14000.000,,,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsLossReserves,,,,,,,11000.000,,,,0.000,,,,223000.000,,,,77000.000,,,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsReserves,,,,,,,0.000,,,,,,,,,,,,78000.000,,,
DeferredTaxAssetsValuationAllowance,,,,,,,4162000.000,,,,8914000.000,,,,11949000.000,,,,12665000.000,,,
DeferredTaxLiabilitiesNoncurrent,3402000.000,3390000.000,3406000.000,2810000.000,1984000.000,2191000.000,0.000,,,,,,,,,,,,,,,
DepositsAssetsNoncurrent,2184000.000,626000.000,107000.000,274000.000,274000.000,333000.000,121000.000,386000.000,303000.000,184000.000,170000.000,73000.000,327000.000,336000.000,,238000.000,251000.000,166000.000,,293000.000,,
DerivativeFairValueOfDerivativeLiability,579000.000,558000.000,484000.000,434000.000,371000.000,314000.000,250000.000,187000.000,131000.000,89000.000,71000.000,32000.000,24000.000,12000.000,10000.000,20000.000,16000.000,19000.000,0.000,,,
DisposalGroupIncludingDiscontinuedOperationAssetsNoncurrent,,,,,,,,,,,,,,,,,,,0.000,,,
DueFromEmployeesCurrent,9000.000,5000.000,6000.000,5000.000,5000.000,5000.000,5000.000,2000.000,6000.000,4000.000,4000.000,0.000,0.000,0.000,,0.000,,,,,,
DueFromRelatedPartiesCurrent,,,,,,,,,,,,,,,,,,,208000.000,63000.000,144000.000,57000.000
DueToRelatedPartiesCurrent,,,,,,,,,,,,,,,,,1834000.000,1805000.000,,343000.000,491000.000,670000.000
DueToRelatedPartiesNoncurrent,,,,,,,,,,,,,,,,,,,,1504000.000,1504000.000,1504000.000
FiniteLivedIntangibleAssetsAccumulatedAmortization,,,,,1500000.000,1687000.000,1875000.000,1892000.000,2064000.000,2236000.000,,,,,,,,,,,,
FiniteLivedIntangibleAssetsAmortizationExpenseAfterYearFive,,,,,1680000.000,1680000.000,1200000.000,1200000.000,1200000.000,,,,,,,,,,,,,
FiniteLivedIntangibleAssetsAmortizationExpenseRemainderOfFiscalYear,,,,,750000.000,750000.000,750000.000,698000.000,698000.000,641000.000,,,,,,,,,,,,
FiniteLivedIntangibleAssetsAmortizationExpenseYearFive,,,,,480000.000,480000.000,480000.000,480000.000,480000.000,,,,,,,,,,,,,
FiniteLivedIntangibleAssetsAmortizationExpenseYearFour,,,,,615000.000,615000.000,480000.000,480000.000,480000.000,,,,,,,,,,,,,
FiniteLivedIntangibleAssetsAmortizationExpenseYearThree,,,,,750000.000,750000.000,615000.000,584000.000,584000.000,,,,,,,,,,,,,
FiniteLivedIntangibleAssetsAmortizationExpenseYearTwo,,,,,750000.000,750000.000,750000.000,688000.000,688000.000,0.000,,,,,,,,,,,,
FiniteLivedIntangibleAssetsGross,,,,,6150000.000,6150000.000,6150000.000,5840000.000,5840000.000,5840000.000,,,,,,,,,,,,
FiniteLivedIntangibleAssetsNet,,,,,4650000.000,4463000.000,4275000.000,3948000.000,3776000.000,3604000.000,0.000,0.000,0.000,0.000,,,,,,,,
Goodwill,6840000.000,6840000.000,6840000.000,6840000.000,6840000.000,6840000.000,0.000,,,,0.000,,,,,,,,,,,
HedgingLiabilitiesCurrent,,,,,,21000.000,,,,,,,,,,,,,0.000,,,
IncomeTaxesReceivable,,3177000.000,3967000.000,2446000.000,886000.000,1088000.000,1437000.000,759000.000,1595000.000,1790000.000,7000.000,0.000,0.000,0.000,0.000,,,15000.000,14000.000,11000.000,9000.000,7000.000
IndefiniteLivedIntangibleAssetsExcludingGoodwill,,,,,,,,,,0.000,0.000,,,,0.000,,,,,,,
IntangibleAssetsNetExcludingGoodwill,5400000.000,5213000.000,5025000.000,4838000.000,4650000.000,4463000.000,4275000.000,3948000.000,3776000.000,3604000.000,0.000,,,,,,,,,,,
