,2011-06-30,2011-09-30,2012-03-31,2012-09-30
CashAndCashEquivalentsPeriodIncreaseDecrease,,,0.000,
EarningsPerShareBasic,-0.020,-0.020,-0.020,-0.020
GeneralAndAdministrativeExpense,93000.000,78000.000,71000.000,82000.000
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,-106000.000,-90000.000,-81000.000,-105000.000
IncomeLossFromContinuingOperationsPerBasicShare,-0.010,-0.010,-0.010,-0.010
IncomeLossFromContinuingOperationsPerDilutedShare,-0.010,-0.010,-0.010,-0.010
IncomeLossFromDiscontinuedOperationsNetOfTax,-57000.000,-59000.000,-62000.000,-66000.000
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicShare,-0.010,-0.010,-0.010,-0.010
IncomeLossFromDiscontinuedOperationsNetOfTaxPerDilutedShare,-0.010,-0.010,-0.010,-0.010
IncomeLossFromExtraordinaryItemsNetOfTaxPerDilutedShare,-0.020,-0.020,-0.020,-0.020
IncomeTaxesPaid,,,0.000,
IncreaseDecreaseInAccountsPayableRelatedParties,,,10000.000,
IncreaseDecreaseInDueToOfficersAndStockholdersCurrent,,,13000.000,
InterestExpense,11000.000,9000.000,9000.000,10000.000
InterestPaid,,,0.000,
NetCashProvidedByUsedInFinancingActivities,,,16000.000,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,16000.000,
NetCashProvidedByUsedInOperatingActivities,,,-16000.000,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,-16000.000,
NetIncomeLoss,-163000.000,-149000.000,-143000.000,-171000.000
OperatingExpenses,95000.000,81000.000,72000.000,95000.000
OperatingIncomeLoss,-95000.000,-81000.000,-72000.000,-95000.000
ProceedsFromRelatedPartyDebt,,,3000.000,
RelatedPartyTransactionExpensesFromTransactionsWithRelatedParty,2000.000,3000.000,1000.000,13000.000
WeightedAverageNumberOfSharesOutstandingBasic,8008261.000,8008261.000,8008261.000,8008261.000
