,2011-07-31
CostOfGoodsSold,1760.000
EarningsPerShareBasic,-0.003
EarningsPerShareDiluted,-0.003
GeneralAndAdministrativeExpense,134478.000
GrossProfit,-2427.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,-222994.000
IncomeLossFromContinuingOperationsBeforeInterestExpenseInterestIncomeIncomeTaxesExtraordinaryItemsNoncontrollingInterestsNet,-196905.000
IncomeTaxExpenseBenefit,0.000
InterestExpense,26089.000
NetIncomeLoss,-222994.000
Revenues,-667.000
SalesRevenueNet,-667.000
ShareBasedGoodsAndNonemployeeServicesTransactionExpense,60000.000
WeightedAverageNumberOfDilutedSharesOutstanding,70976023.000
WeightedAverageNumberOfSharesOutstandingBasic,70976023.000
