,2011-09-30,2011-12-31,2012-03-31,2012-09-30,2012-12-31,2013-03-31,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31
AccountsAndNotesReceivableNet,,,,,,,,,,2321344.000,,,
AccountsPayableAndAccruedLiabilitiesNoncurrent,,,,,,,298272.000,257010.000,,,,,
AccountsPayableCurrent,929166.000,777429.000,1288811.000,1086869.000,1261995.000,1424904.000,1342699.000,1349035.000,1404470.000,1350157.000,1641652.000,1721832.000,1508472.000
AccountsPayableRelatedPartiesCurrent,,,,,,,43454.000,43454.000,43454.000,35954.000,35954.000,35954.000,35954.000
AccountsReceivableNetCurrent,1179646.000,604706.000,1024938.000,536028.000,436692.000,906097.000,1012764.000,1346412.000,2044498.000,222344.000,114754.000,230169.000,377841.000
AccruedLiabilitiesAndOtherLiabilities,,,,1478673.000,1435395.000,1277016.000,,,,2594616.000,2623861.000,3128087.000,2900554.000
AccruedLiabilitiesFairValueDisclosure,,,,,,,2898471.000,2477450.000,,,,,
AccruedProfessionalFeesCurrent,,,,,,,57500.000,46000.000,,,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,,,,,,-2512342.000,,,
AccumulatedOtherComprehensiveIncomeLossBeforeTax1,,,,,,,,,,-5028892.000,,,
AdditionalPaidInCapital,,,,,,,,,,,13310109.000,13300109.000,13174398.000
AdditionalPaidInCapitalCommonStock,10174028.000,10174028.000,10179021.000,10397796.000,10467696.000,10539471.000,10784508.000,10937508.000,11798044.000,12846981.000,,,
AllowanceForDoubtfulAccountsReceivable,,,,,,,,,,45534.000,,,
Assets,4271241.000,4424112.000,4684311.000,4279831.000,4199920.000,4726180.000,3806989.000,3842038.000,4621238.000,2243349.000,2056569.000,2424954.000,2113961.000
AssetsCurrent,3625476.000,3820092.000,4176381.000,3676291.000,3587786.000,3986983.000,3173573.000,3254814.000,4066008.000,1699951.000,1642005.000,2043491.000,1630754.000
BankOverdrafts,,,,,,,143034.000,37450.000,80366.000,149699.000,311171.000,307318.000,348115.000
CapitalLeaseObligationsCurrent,100943.000,76076.000,32521.000,53793.000,33648.000,178523.000,45518.000,53901.000,53901.000,53901.000,53901.000,53901.000,53901.000
CapitalLeaseObligationsNoncurrent,27731.000,19750.000,19750.000,0.000,0.000,0.000,90742.000,59901.000,50917.000,46426.000,46426.000,46426.000,46426.000
CapitalLeasesFutureMinimumPaymentsDue,,,,53793.000,33648.000,178523.000,136260.000,113802.000,,100327.000,100327.000,100327.000,100327.000
CapitalLeasesFutureMinimumPaymentsDueCurrent,,,,,33648.000,178523.000,,,,46426.000,46426.000,46426.000,46426.000
CapitalLeasesFutureMinimumPaymentsDueInFiveYears,,,,,0.000,0.000,,,,,,,
CapitalLeasesFutureMinimumPaymentsDueInFourAndFiveYears,,,,53793.000,,,,,,,,,
CapitalLeasesFutureMinimumPaymentsDueInFourYears,,,,,0.000,0.000,36241.000,6000.000,,,,,
CapitalLeasesFutureMinimumPaymentsDueInThreeYears,,,,,0.000,0.000,54501.000,53901.000,,,,,
CapitalLeasesFutureMinimumPaymentsDueInTwoYears,,,,,0.000,0.000,45518.000,53901.000,,,,,
CapitalLeasesFutureMinimumPaymentsInterestIncludedInPayments,,,,0.000,0.000,0.000,,,,,,,
CapitalLeasesFutureMinimumPaymentsPresentValueOfNetMinimumPayments,,,,53793.000,33648.000,178523.000,136260.000,113802.000,,100327.000,100327.000,100327.000,100327.000
CapitalLeasesFutureMinimumPaymentsRemainderOfFiscalYear,,,,,,,,,,53901.000,53901.000,53901.000,53901.000
CashAndCashEquivalentsAtCarryingValue,67783.000,113536.000,23928.000,52329.000,160605.000,140471.000,16684.000,86716.000,187148.000,46925.000,12408.000,60460.000,2885.000
ClassOfWarrantOrRightExercisePriceOfWarrantsOrRights1,,,,,,,,,,0.003,0.002,0.002,0.002
