,2012-03-31,2012-09-30,2012-12-31,2013-03-31
CashPeriodIncreaseDecrease,,-28228.000,,
GeneralAndAdministrativeExpense,3953.000,5963.000,4139.000,3468.000
IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,0.000,,,
IncreaseDecreaseInAccruedLiabilities,,-20852.000,,
NetCashProvidedByUsedInFinancingActivities,,-1413.000,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,-1413.000,,
NetCashProvidedByUsedInOperatingActivities,,-26815.000,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,-26815.000,,
NetIncomeLoss,-3953.000,-5963.000,-4139.000,-3468.000
OperatingExpenses,3953.000,5963.000,4139.000,3468.000
OperatingIncomeLoss,,-5963.000,,
ProceedsFromRepaymentsOfRelatedPartyDebt,,-1413.000,,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,45000000.000,50000000.000,50000000.000,50000000.000
