,2012-02-29,2012-05-31
CostOfGoodsSold,24494000.000,13066000.000
GainLossOnSaleOfPropertyPlantEquipment,-1000.000,
GeneralAndAdministrativeExpense,2247000.000,2023000.000
IncomeTaxExpenseBenefit,-4000.000,-22000.000
InterestExpense,599000.000,527000.000
NetIncomeLoss,97243000.000,11840000.000
OtherSalesRevenueNet,630000.000,318000.000
Revenues,134436000.000,37191000.000
SalesRevenueGoodsNet,70936000.000,78006000.000
SalesRevenueNet,134436000.000,37191000.000
SellingExpense,10486000.000,10075000.000
