,2011-09-30,2012-09-30,2013-09-30,2014-09-30,2015-09-30,2016-09-30
IncreaseDecreaseInAccountsReceivable,727000.000,1467000.000,1308000.000,414000.000,162000.000,-92000.000
IncreaseDecreaseInDeferredRevenue,367000.000,2585000.000,456000.000,295000.000,1237000.000,1398000.000
IncreaseDecreaseInInventories,10000.000,10000.000,-13000.000,103000.000,,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,247000.000,222000.000,328000.000,437000.000,607000.000,293000.000
IncreaseDecreaseInRestrictedCash,-89000.000,,0.000,,,
InterestExpense,,,,406000.000,,
InterestPaid,,239000.000,481000.000,169000.000,,
LeaseAndRentalExpense,,454000.000,545000.000,954000.000,1000000.000,1100000.000
LicenseCosts,2237000.000,2270000.000,2505000.000,4013000.000,3002000.000,2828000.000
LicensesRevenue,9858000.000,16800000.000,19430000.000,20627000.000,15304000.000,15219000.000
MaintenanceRevenue,,7902000.000,9700000.000,12845000.000,13529000.000,13915000.000
NetCashProvidedByUsedInFinancingActivities,388000.000,5089000.000,63000.000,48965000.000,52000.000,105000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,388000.000,5089000.000,63000.000,48965000.000,52000.000,105000.000
NetCashProvidedByUsedInInvestingActivities,-76000.000,-8819000.000,-525000.000,-526000.000,-490000.000,-966000.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-76000.000,-8819000.000,-525000.000,-526000.000,-490000.000,-966000.000
NetCashProvidedByUsedInOperatingActivities,1147000.000,3956000.000,2394000.000,-10992000.000,-11931000.000,-6269000.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,1147000.000,3956000.000,2394000.000,-10992000.000,-11931000.000,-6269000.000
NetIncomeLoss,132000.000,1034000.000,-4197000.000,-22383000.000,-49787000.000,-14632000.000
NonoperatingIncomeExpense,11000.000,-333000.000,-427000.000,-755000.000,,
OperatingIncomeLoss,67000.000,1543000.000,-3817000.000,-21665000.000,-52442000.000,-13129000.000
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPeriodIncreaseDecrease,-121000.000,,,,,
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPortionAttributableToParent,,,-162000.000,-342000.000,-355000.000,109000.000
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,,82000.000,-162000.000,-342000.000,-368000.000,109000.000
OtherNonoperatingIncomeExpense,,,,,9000.000,44000.000
PaymentsForPurchaseOfOtherAssets,37000.000,3000.000,,,,
PaymentsForPurchaseOfOtherAssets1,,,-60000.000,,,
PaymentsForRestructuring,,,,,1555000.000,231000.000
PaymentsOfDebtIssuanceCosts,,72000.000,79000.000,,,
PaymentsOfFinancingCosts,,,,5000.000,,
PaymentsToAcquirePropertyPlantAndEquipment,128000.000,146000.000,154000.000,276000.000,490000.000,966000.000
ProceedsFromDivestitureOfBusinesses,,,383000.000,,,
ProceedsFromIssuanceOfCommonStock,,,,53628000.000,,
ProceedsFromIssuanceOfLongTermDebt,,4000000.000,2000000.000,,,
ProceedsFromRepaymentsOfLinesOfCredit,,1500000.000,0.000,,,
ProceedsFromStockOptionsExercised,388000.000,261000.000,198000.000,179000.000,52000.000,105000.000
