,2012-11-30,2013-02-28,2013-08-31,2013-11-30,2014-02-28,2014-05-31,2014-08-31,2014-11-30,2015-02-28,2015-05-31,2015-08-31,2015-11-30,2016-02-29,2016-05-31,2016-08-31,2016-11-30
CashAndCashEquivalentsPeriodIncreaseDecrease,,,-17513.000,,,,32893.000,,,,253.000,,,,16664.000,
ConcentrationRiskPercentage1,,,0.900,,,,,,,,,,,,,
CostOfGoodsSold,18190.000,3206.000,65746.000,51455.000,42042.000,,,,,,,,,,,
CostOfRevenue,19359.000,3882.000,71593.000,56032.000,46407.000,,,,,,,,,,,
CostOfServicesOverhead,1169.000,676.000,5847.000,4577.000,4365.000,,,,,,,,,,,
DebtInstrumentDecreaseForgiveness,,,,,,,,,,,-140376.000,,-300000.000,,,
DebtInstrumentInterestRateDuringPeriod,,,,,,,,,,,0.150,,,,,
DepreciationDepletionAndAmortization,1000.000,1000.000,1000.000,1069.000,1208.000,,,,,,,,,,,
DiscontinuedOperationIncomeLossFromDiscontinuedOperationNetOfTaxPerBasicAndDilutedShare,,,,,,,,,,,-1610.000,,,,,
EarningsPerShareBasicAndDiluted,0.000,0.000,,0.000,0.000,,,,,,,0.000,0.010,,0.000,0.000
GrossProfit,-13337.000,-2788.000,-17783.000,-9491.000,4967.000,,,,,,,,,,,
IncomeLossFromContinuingOperations,,,,,,,-187033.000,-185880.000,-187739.000,-140404.000,,,,,,
IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,,,,,,,-0.010,-0.010,-0.010,0.010,0.000,,,,,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,,-2293.000,,,,11605.000,,,,124739.000,,,,38005.000,
IncreaseDecreaseInAccountsPayableRelatedParties,,,,,,,7500.000,,,,2500.000,,,,-3907.000,
IncreaseDecreaseInDeposits,,,15281.000,,,,,,,,,,,,,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,,,-6950.000,,,,-15.000,,,,,,,,2742.000,
IncreaseDecreaseInRestrictedCash,,,3157.000,,,,,,,,,,,,,
InterestExpense,1875.000,1875.000,3345.000,6274.000,11145.000,-17447.000,23247.000,29988.000,33382.000,43131.000,38438.000,39046.000,43680.000,46233.000,49875.000,65744.000
NetCashProvidedByUsedInContinuingOperations,,,,,,,-167943.000,,,,,,,,,
NetCashProvidedByUsedInFinancingActivities,,,100000.000,,,,200836.000,,,,15000.000,,,,80000.000,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,100000.000,,,,200836.000,,,,15000.000,,,,80000.000,
NetCashProvidedByUsedInInvestingActivities,,,-3157.000,,,,,,,,,,,,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,-3157.000,,,,,,,,,,,,,
NetCashProvidedByUsedInOperatingActivities,,,-114356.000,,,,-167943.000,,,,-14747.000,,,,-63336.000,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,-114356.000,,,,-167943.000,,,,-14747.000,,,,-63336.000,
NetIncomeLoss,-50257.000,-56057.000,-135294.000,-126843.000,-137093.000,-188785.000,-187033.000,-185880.000,-187739.000,-140404.000,-1610.000,-142234.000,186535.000,-59210.000,-100176.000,-97663.000
OperatingExpenses,35045.000,51394.000,114166.000,111078.000,130915.000,-286867.000,163786.000,172049.000,154357.000,101294.000,103548.000,103188.000,69785.000,12977.000,50301.000,31919.000
OperatingIncomeLoss,-48382.000,-54182.000,-131949.000,-120569.000,-125948.000,309174.000,-163786.000,-172049.000,-154357.000,-101294.000,-103548.000,-103188.000,-69785.000,-12977.000,-50301.000,-31919.000
OtherExpenses,1875.000,1875.000,3345.000,6274.000,11145.000,-17447.000,23247.000,13831.000,33382.000,39110.000,-101938.000,39046.000,-256320.000,46233.000,49875.000,65744.000
OtherIncome,,,,,,,,16157.000,,,,,,,,
ProceedsFromNotesPayable,,,100000.000,,,,200000.000,,,,15000.000,,,,80000.000,
Revenues,6022.000,1094.000,53810.000,46541.000,51374.000,,,,,,,,,,,
SalesRevenueNet,6022.000,1094.000,53810.000,46541.000,51374.000,,,,,,,,,,,
SellingAndMarketingExpense,,,,,73451.000,,18485.000,23849.000,40650.000,1765.000,1050.000,5000.000,7950.000,-150.000,,
SellingGeneralAndAdministrativeExpense,34045.000,50394.000,113166.000,110009.000,56256.000,-238180.000,145301.000,148200.000,113707.000,99529.000,102498.000,98188.000,61835.000,13127.000,50301.000,31919.000
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,20000000.000,20000000.000,30000000.000,30000000.000,30000000.000,-60000000.000,30000000.000,30000000.000,30000000.000,-60000000.000,30000000.000,30000000.000,30000000.000,-60000000.000,30000000.000,30000000.000
