,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AmortizationOfFinancingCosts,,,,,,,,,,,,,11000000.000,,,,12000000.000
CapitalExpendituresIncurredButNotYetPaid,3000000.000,,,,100000.000,,,,5000000.000,,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,11200000.000,,,,-13500000.000,,,,105200000.000,,,,-39000000.000,,,,31000000.000
ConsolidationLessThanWhollyOwnedSubsidiaryParentOwnershipInterestChangeDueToNetIncomeAttributableToParentAndEffectsOfChangesNet,,-27800000.000,21500000.000,,-138300000.000,28800000.000,29100000.000,-436000000.000,45600000.000,51200000.000,41500000.000,11700000.000,,,,,
ContributionOfProperty,,,,,,,,,0.000,,,,,,,,328000000.000
CostsAndExpenses,79200000.000,87000000.000,84000000.000,89100000.000,81000000.000,89600000.000,93800000.000,100600000.000,86300000.000,90000000.000,101500000.000,219200000.000,582000000.000,488000000.000,496000000.000,517000000.000,621000000.000
CostsAndExpensesRelatedParty,21800000.000,23800000.000,23800000.000,25200000.000,24000000.000,23700000.000,23700000.000,26100000.000,23900000.000,24700000.000,26500000.000,26900000.000,76000000.000,78000000.000,84000000.000,78000000.000,107000000.000
DeferredIncomeTaxExpenseBenefit,,,,,,,,,,,,,-4000000.000,,,,0.000
Depreciation,11700000.000,11900000.000,12700000.000,12600000.000,12600000.000,12400000.000,12500000.000,12700000.000,12700000.000,12700000.000,12700000.000,50900000.000,132000000.000,137000000.000,138000000.000,139000000.000,187000000.000
DerivativeInstrumentsNotDesignatedAsHedgingInstrumentsGainLossNet,,,,,,,,,,,,,,-13000000.000,-2000000.000,,13000000.000
DistributionMadeToLimitedPartnerCashDistributionsDeclared,,21500000.000,22500000.000,,25000000.000,26500000.000,27900000.000,33000000.000,36900000.000,41600000.000,46500000.000,190000000.000,200000000.000,231000000.000,249000000.000,258000000.000,279000000.000
DistributionMadeToLimitedPartnerCashDistributionsPaid,,,,,23700000.000,,,,33100000.000,,,,190000000.000,,,,242000000.000
DistributionMadeToMemberOrLimitedPartnerCashDistributionsDeclared,20500000.000,,,,,,,,,,,,,,,,
DistributionMadeToMemberOrLimitedPartnerCashDistributionsPaid,13300000.000,,,,,,,,,,,,,,,,
DividendsPreferredStock,,,,,,,,,,,,,,9000000.000,16000000.000,,16000000.000
EffectiveIncomeTaxRateContinuingOperations,,0.003,0.010,,,0.002,,,,,,,,,,,
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,,,,,,,,,,,,,0.350,,,,
EquityMethodInvestmentDividendsOrDistributions,,,,,,,,,,,,,38000000.000,,,,33000000.000
EquityMethodInvestmentSummarizedFinancialInformationIncomeLossFromContinuingOperationsBeforeExtraordinaryItems,,,,,,,,,,,,,47000000.000,,,,37000000.000
EquityMethodInvestmentSummarizedFinancialInformationNetIncomeLoss,,,,,,,,,,,,,29000000.000,,,,33000000.000
