,2017-03-31
CashAndCashEquivalentsPeriodIncreaseDecrease,-247484.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,-216630.000
Depreciation,3776.000
EarningsPerShareBasicAndDiluted,-0.020
EffectOfExchangeRateOnCashAndCashEquivalents,15742.000
GeneralAndAdministrativeExpense,61806.000
IncomeTaxExpenseBenefit,0.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,-121065.000
IncreaseDecreaseInOtherReceivables,-65892.000
NetCashProvidedByUsedInOperatingActivities,-263226.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-263226.000
NetIncomeLoss,-211830.000
OperatingExpenses,211830.000
OperatingIncomeLoss,-211830.000
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,-4800.000
OtherComprehensiveIncomeLossNetOfTax,-4800.000
ResearchAndDevelopmentExpense,104201.000
SellingAndMarketingExpense,45823.000
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,9000000.000
