,2012-09-30,2012-12-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31
AdjustmentsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,,,-16120000.000,,,,3730000.000,,,,-8518000.000,,,
AdvertisingRevenue,25051000.000,22788000.000,32711000.000,28746000.000,22769000.000,36352000.000,30116000.000,25558000.000,24633000.000,-13049000.000,17862000.000,16023000.000,15693000.000,18585000.000
AmortizationOfFinancingCosts,355000.000,367000.000,385000.000,403000.000,414000.000,462000.000,434000.000,1623000.000,487000.000,1467000.000,850000.000,866000.000,887000.000,1423000.000
AmortizationOfIntangibleAssets,,,1089000.000,,,,1098000.000,,,,4300000.000,,,
CapitalExpendituresIncurredButNotYetPaid,,,403000.000,,,,360000.000,,,,0.000,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,1460000.000,,,,12025000.000,,,,2740000.000,,,
CashDividendsPaidToParentCompanyByConsolidatedSubsidiaries,,,0.000,,,,,,,,,,,
ComprehensiveIncomeNetOfTax,-2716000.000,-57892000.000,808000.000,-2706000.000,-50310000.000,-2003000.000,-11950000.000,-30128000.000,9897000.000,4893000.000,24069000.000,-2186000.000,-2352000.000,-2613000.000
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,781000.000,-42000.000,0.000,1076000.000,-23000.000,-5000.000,-70000.000,1285000.000,-7000.000,11000.000,-6000.000,992000.000,27000.000,19000.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,-1935000.000,-57934000.000,808000.000,-1630000.000,-50333000.000,-2008000.000,-12020000.000,-28843000.000,9890000.000,4904000.000,24063000.000,-1194000.000,-2325000.000,-2594000.000
CostsAndExpenses,76833000.000,127557000.000,73826000.000,79801000.000,75192000.000,75299000.000,72566000.000,93405000.000,64154000.000,20836000.000,51063000.000,52956000.000,49275000.000,44045000.000
DeferredIncomeTaxExpenseBenefit,,,341000.000,,,,,,,,,,,
Depreciation,,,2003000.000,,,,2260000.000,,,,6727000.000,,,
DepreciationDepletionAndAmortization,2487000.000,2431000.000,3092000.000,3625000.000,3736000.000,3750000.000,3358000.000,3190000.000,4277000.000,3140000.000,6727000.000,6618000.000,6513000.000,6624000.000
EffectOfExchangeRateOnCashAndCashEquivalents,,,-33000.000,,,,102000.000,,,,214000.000,,,
EquityMethodInvestmentDividendsOrDistributions,,,,,,,,,,,1700000.000,,,
FiniteLivedIntangibleAssetsPeriodIncreaseDecrease,,,,,,,,,,,174400000.000,,,
GoodwillAndIntangibleAssetImpairment,,54523000.000,,0.000,9238000.000,,,18458000.000,0.000,,,0.000,0.000,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,-2424000.000,-58077000.000,1253000.000,-4662000.000,-14994000.000,-1590000.000,-8418000.000,-34668000.000,-1945000.000,-11900000.000,-5208000.000,-2226000.000,-4626000.000,-5926000.000
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,,,,,,,,,,,24064000.000,-1194000.000,-2288000.000,-2586000.000
IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToReportingEntity,,,,,,,,,,,0.000,0.000,0.000,0.000
IncomeTaxExpenseBenefit,-462000.000,-140000.000,488000.000,-2944000.000,35410000.000,324000.000,3620000.000,-5891000.000,-11898000.000,-1520000.000,-29272000.000,-1032000.000,-2338000.000,-3340000.000
IncreaseDecreaseInAccountsPayable,,,11593000.000,,,,4985000.000,,,,630000.000,,,
IncreaseDecreaseInDeferredRevenue,,,2760000.000,,,,463000.000,,,,703000.000,,,
IncreaseDecreaseInInterestPayableNet,,,-13971000.000,,,,-13320000.000,,,,-7276000.000,,,
IncreaseDecreaseInInventories,,,3104000.000,,,,-1801000.000,,,,-519000.000,,,
IncreaseDecreaseInOtherNoncurrentAssets,,,-56000.000,,,,-254000.000,,,,-33000.000,,,
IncreaseDecreaseInOtherNoncurrentLiabilities,,,-59000.000,,,,-238000.000,,,,478000.000,,,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,,,3857000.000,,,,1748000.000,,,,2123000.000,,,
IncreaseDecreaseInReceivables,,,7228000.000,,,,-8654000.000,,,,-10565000.000,,,
InterestExpenseDebtExcludingAmortization,15142000.000,15231000.000,14677000.000,15062000.000,14099000.000,14515000.000,13987000.000,13811000.000,11468000.000,11581000.000,9403000.000,10297000.000,9608000.000,10354000.000
LossContingencyDamagesSoughtValue,,,,,,,,,,,470000000.000,,,
MinorityInterestDecreaseFromDistributionsToNoncontrollingInterestHolders,,,,,,,,,,,,,1000000.000,
NetCashProvidedByUsedInFinancingActivities,,,15578000.000,,,,6600000.000,,,,7932000.000,,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,15578000.000,,,,6600000.000,,,,7932000.000,,,
NetCashProvidedByUsedInInvestingActivities,,,-4893000.000,,,,-3613000.000,,,,-565000.000,,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,-4893000.000,,,,-3613000.000,,,,-565000.000,,,
NetCashProvidedByUsedInOperatingActivities,,,-9192000.000,,,,8936000.000,,,,-4841000.000,,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,-9192000.000,,,,8936000.000,,,,-4841000.000,,,
