,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-30,2013-06-29,2013-09-28,2013-12-28,2014-03-29,2014-06-28,2014-09-27,2014-12-27,2015-03-28,2015-06-27,2015-09-26,2016-01-02
AccountsPayableCurrent,375310.000,672734.000,410324.000,334278.000,595710.000,387747.000,197915.000,493144.000,286464.000,435617.000,364887.000,259389.000,220708.000,600886.000,327775.000,570569.000,526439.000,659861.000,257344.000
AccountsPayableTradeCurrent,,,,,473895.000,468391.000,477832.000,521059.000,485206.000,468779.000,542079.000,541165.000,517643.000,607115.000,572844.000,567217.000,635897.000,579684.000,674317.000
AccountsReceivableNetCurrent,1110023.000,2246181.000,2044869.000,767147.000,522706.000,786681.000,1058858.000,1023008.000,1263031.000,2041516.000,1537027.000,1182484.000,1881169.000,1770016.000,1577111.000,1576516.000,1741522.000,1349060.000,1590187.000
AccruedIncomeTaxesCurrent,107543.000,123565.000,511654.000,,41329.000,,57732.000,,,,140162.000,,0.000,,165877.000,,196412.000,172516.000,575558.000
AccruedInsuranceCurrent,,,,,,,90943.000,79572.000,81948.000,76273.000,65197.000,65861.000,59504.000,59220.000,86644.000,52024.000,65222.000,56584.000,84883.000
AccruedLiabilitiesCurrent,1559910.000,1423833.000,1411883.000,1234016.000,1490826.000,1512578.000,1398306.000,1418214.000,1397844.000,1536223.000,1514010.000,1362971.000,1531688.000,2266024.000,1790432.000,1570856.000,1947957.000,1948862.000,2104776.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,,,1618029.000,,,,1785715.000,,,,1850882.000,,,,1701607.000
AdditionalPaidInCapital,35783780.000,35783780.000,35998560.000,33254293.000,33254293.000,33254293.000,33254293.000,33254293.000,33254293.000,33254293.000,33254293.000,33254293.000,33254293.000,33254293.000,33336067.000,,,,
AdditionalPaidInCapitalCommonStock,,,,,,,,,,,,,,,,33336067.000,33336067.000,33336067.000,33336067.000
AllowanceForDoubtfulAccountsReceivableCurrent,,,,,260770.000,271810.000,15000.000,313320.000,,,15000.000,,,,18500.000,,,,18500.000
Assets,20126878.000,18930291.000,20917151.000,16043952.000,17078079.000,17596516.000,17777553.000,17206448.000,17728510.000,16664077.000,17013473.000,15101919.000,14345442.000,15655318.000,14859376.000,14660356.000,15842928.000,16454248.000,17202037.000
