,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30
AllowanceForLoanAndLeaseLossesProvisionForLossGross,,,,,,,-16000000.000,
AllowanceForLoanAndLeaseLossesRecoveriesOfBadDebts,,,,,,,-18000000.000,
AllowanceForLoanAndLeaseLossesWriteOffs,,,,,,,2000000.000,
AmortizationOfIntangibleAssets,,,,77000000.000,78000000.000,,76000000.000,75000000.000
AssetManagementFees,1331000000.000,1354000000.000,1287000000.000,1399000000.000,1349000000.000,1392000000.000,1395000000.000,1467000000.000
AvailableForSaleSecuritiesGrossRealizedGains,,,,0.000,5000000.000,,0.000,
AvailableForSaleSecuritiesGrossRealizedLosses,,,,0.000,0.000,,0.000,
BrokerageCommissionsRevenue,1447000000.000,1441000000.000,1355000000.000,1240000000.000,1209000000.000,1275000000.000,1379000000.000,1410000000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,,-2942000000.000,,,,-3734000000.000,
CommunicationsAndInformationTechnology,478000000.000,432000000.000,439000000.000,390000000.000,351000000.000,408000000.000,343000000.000,398000000.000
ComprehensiveIncomeNetOfTax,-1433000000.000,92000000.000,-1576000000.000,867000000.000,-1160000000.000,1867000000.000,-197000000.000,943000000.000
CostsAndExpensesRelatedParty,,,394000000.000,538000000.000,356000000.000,510000000.000,444000000.000,434000000.000
DeferredIncomeTaxExpenseBenefit,,,-518000000.000,,,,-154000000.000,
DepreciationAmortizationAndAccretionNet,,,156000000.000,,,,130000000.000,
EffectOfExchangeRateOnCashAndCashEquivalents,,,184000000.000,,,,-252000000.000,
FloorBrokerageExchangeAndClearanceFees,303000000.000,279000000.000,282000000.000,243000000.000,213000000.000,213000000.000,304000000.000,289000000.000
GainLossOnRepurchaseOfDebtInstrument,,,,,,,0.000,
GainLossOnSaleOfBusiness,,,,,,,-80000000.000,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,-2463000000.000,-390000000.000,-1852000000.000,153000000.000,-991000000.000,432000000.000,-336000000.000,752000000.000
IncomeLossFromEquityMethodInvestments,,70000000.000,157000000.000,-29000000.000,21000000.000,136000000.000,-46000000.000,4000000.000
IncomeLossFromEquityMethodInvestmentsNetOfDividendsOrDistributions,,,157000000.000,,,,-46000000.000,
IncomeTaxExpenseBenefit,-1021000000.000,-523000000.000,-224000000.000,-702000000.000,191000000.000,-1813000000.000,-129000000.000,-215000000.000
IncreaseDecreaseInBrokerageReceivables,,,1114000000.000,,,,-4276000000.000,
IncreaseDecreaseInDeposits,,,174000000.000,,,,121000000.000,
IncreaseDecreaseInDueFromRelatedParties,,,-8135000000.000,,,,-4790000000.000,
IncreaseDecreaseInDueToRelatedParties,,,-18645000000.000,,,,1290000000.000,
IncreaseDecreaseInFairValueAdjustmentsOnAssetsAndLiabilitiesCarriedAtFairValueUnderFairValueOption,,,,,,,-34000000.000,
IncreaseDecreaseInOtherOperatingCapitalNet,,,-2475000000.000,,,,735000000.000,
IncreaseDecreaseInPayablesToBrokerDealers,,,-579000000.000,,,,771000000.000,
IncreaseDecreaseInPayablesToCustomers,,,3209000000.000,,,,-2690000000.000,
IncreaseDecreaseInPayablesUnderRepurchaseAgreements,,,40329000000.000,,,,-34062000000.000,
IncreaseDecreaseInReceivablesUnderRepurchaseAgreements,,,4484000000.000,,,,-4331000000.000,
