,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-06-30,2012-09-30,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30
AllocatedShareBasedCompensationExpense,40000000.000,,,,,,34000000.000,,,,26000000.000,,,,16000000.000,,,,20000000.000,,,,28000000.000,
AmortizationOfIntangibleAssets,16000000.000,,,,,,18000000.000,,,,22000000.000,,,,24000000.000,,,,33000000.000,,,,40000000.000,
AvailableForSaleSecuritiesGrossRealizedGainLossNet,,1000000.000,,,,,,,,,,,,,,,,,,,,,,
AvailableForSaleSecuritiesGrossUnrealizedGains,0.000,,,,,,,,,,,,,,,,,,,,,,,
AvailableForSaleSecuritiesGrossUnrealizedLoss,1000000.000,,,,,,,,,,,,,,,,,,,,,,,
BusinessAcquisitionProFormaEarningsPerShareBasic,0.590,0.510,0.240,0.490,0.600,0.440,,0.710,0.460,,0.810,0.790,0.550,0.550,0.890,0.790,0.620,0.790,0.920,0.910,0.730,0.840,1.100,
BusinessAcquisitionProFormaEarningsPerShareDiluted,0.580,0.510,0.240,0.470,0.600,0.440,,0.700,0.450,,0.800,0.780,0.540,0.540,0.880,0.780,0.610,0.780,0.920,0.900,0.730,0.820,1.090,
BusinessAcquisitionProFormaIncomeLossFromContinuingOperationsBeforeChangesInAccountingAndExtraordinaryItemsNetOfTax,319000000.000,,,,,,,,,,,,,,,,,,,,,,,
BusinessAcquisitionProFormaIncomeLossFromContinuingOperationsBeforeChangesInAccountingAndExtraordinaryItemsNetOfTaxPerShareBasic,0.570,0.510,0.240,0.450,0.610,0.440,,0.720,0.460,,0.820,0.790,0.550,0.490,0.900,0.790,0.610,0.790,0.920,0.910,0.730,0.840,,0.980
BusinessAcquisitionProFormaIncomeLossFromContinuingOperationsBeforeChangesInAccountingAndExtraordinaryItemsNetOfTaxPerShareDiluted,0.560,0.500,0.230,0.450,0.600,0.440,,0.710,0.460,,0.800,0.780,0.540,0.500,0.890,0.780,0.610,0.770,0.920,0.900,0.730,0.820,,0.960
BusinessAcquisitionProFormaNetIncomeLoss,325000000.000,,,,,,,,,,,,,,,,,,,,,,,
BusinessAcquisitionProFormaRevenue,2885000000.000,,,,,,,,,,,,,,,,,,,,,,,
BusinessAcquisitionsProFormaIncomeLossFromContinuingOperationsBeforeChangesInAccountingAndExtraordinaryItemsNetOfTax,,287000000.000,133000000.000,,340000000.000,247000000.000,,404000000.000,260000000.000,,460000000.000,440000000.000,305000000.000,272000000.000,498000000.000,433000000.000,331000000.000,414000000.000,491000000.000,480000000.000,384000000.000,437000000.000,,
BusinessAcquisitionsProFormaNetIncomeLoss,,282000000.000,131000000.000,,330000000.000,242000000.000,,391000000.000,253000000.000,,446000000.000,431000000.000,298000000.000,296000000.000,482000000.000,422000000.000,326000000.000,409000000.000,482000000.000,472000000.000,379000000.000,432000000.000,568000000.000,502000000.000
BusinessAcquisitionsProFormaRevenue,,2930000000.000,2806000000.000,,3030000000.000,2848000000.000,,3099000000.000,2935000000.000,,3277000000.000,3306000000.000,3143000000.000,3313000000.000,3215000000.000,3241000000.000,3120000000.000,3609000000.000,3343000000.000,3376000000.000,3137000000.000,3647000000.000,3515000000.000,3496000000.000
