,2011-07-31,2012-04-30,2013-01-31,2013-04-30,2013-07-31,2014-01-31,2014-04-30,2014-07-31,2014-10-31,2015-01-31,2015-04-30,2015-07-31,2015-10-31,2016-01-31,2016-04-30,2016-07-31,2016-10-31,2017-01-31,2017-04-30
OtherOperatingIncomeExpenseNet,-22335.000,-29634.000,-40301.000,-40730.000,-43322.000,-49007.000,-50799.000,-53372.000,-56824.000,-59395.000,-63150.000,-66541.000,-68575.000,-66457.000,-65699.000,-65334.000,-65918.000,-65525.000,-66501.000
PaidInKindInterest,,,,,,,,,,,,,,5084.000,,,,4093.000,
PaymentsToAcquireOtherPropertyPlantAndEquipment,,,,,,,,,,-13440.000,,,,,,,,,
PaymentsToAcquirePropertyPlantAndEquipment,,,1523.000,,,6526.000,,,,29729.000,,,,,,,,,
ProceedsFromOtherShortTermDebt,,,,,,,,,,,,,,6166.000,,,,-13074.000,
ProceedsFromPaymentsForOtherFinancingActivities,,,,,,,,,,,,,,26046.000,,,,26911.000,
ProceedsFromRelatedPartyDebt,,,,,,,,,,,,,,139408.000,,,,119153.000,
ProfitLoss,,,-175261.000,-138566.000,-156548.000,-199300.000,-184764.000,-211530.000,-232162.000,-223312.000,,,,-190515.000,-215404.000,-173640.000,-145178.000,-154113.000,-183335.000
RelatedPartyTransactionRate,,,,,,,,,,,,,,0.070,,,,0.070,
RepaymentsOfRelatedPartyDebt,,,,,,,,,,,,,,7344.000,,,,,
ResearchAndDevelopmentExpense,,12538.000,19411.000,3375.000,5367.000,10416.000,9418.000,19910.000,7956.000,23202.000,1055.000,28759.000,7186.000,35444.000,17092.000,21820.000,-17056.000,14299.000,12977.000
RevenueFromGrants,,,,,,,,0.000,,,,,,,,,,,
StockIssuedDuringPeriodSharesConversionOfConvertibleSecurities,,,,,,,,,,,,,,10000000.000,,,,,
StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,,,,,,,,,,,,,,500000.000,,,,,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,,56574850.000,56574850.000,56574850.000,56874850.000,56874850.000,56874850.000,-113749700.000,56874850.000,56874850.000,56874850.000,-113749700.000,65570502.000,66960961.000,67124850.000,-132962474.000,67124850.000,67200693.000
