,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30
AdjustmentsToAdditionalPaidInCapitalIncomeTaxDeficiencyFromShareBasedCompensation,,,,,,,,,,,,,,,,,,,,,300000.000,100000.000,-200000.000,,,
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,,1300000.000,1100000.000,,3200000.000,2500000.000,2600000.000,2400000.000,4600000.000,3700000.000,3000000.000,2300000.000,1500000.000,2900000.000,1800000.000,3800000.000,4400000.000,3700000.000,3700000.000,-400000.000,6100000.000,5000000.000,4100000.000,4000000.000,4800000.000,5700000.000
AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation,,,0.000,,13200000.000,900000.000,8100000.000,9300000.000,2900000.000,400000.000,400000.000,500000.000,2400000.000,100000.000,500000.000,-3700000.000,3600000.000,800000.000,900000.000,-5400000.000,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,16100000.000,,,,29400000.000,,,,-8900000.000,,,,-262000000.000,,,,-309600000.000,,,,-97400000.000,,,,-47500000.000,
CommonStockDividendsPerShareDeclared,,,,,0.195,0.195,0.195,0.195,0.215,0.215,0.215,0.215,0.280,0.280,0.280,0.280,0.330,0.330,0.330,0.330,0.330,0.330,0.330,0.330,0.330,0.330
ComprehensiveIncomeNetOfTax,,,,,75300000.000,119800000.000,90300000.000,91700000.000,104400000.000,15100000.000,118400000.000,113900000.000,93700000.000,129800000.000,137800000.000,140100000.000,100400000.000,111600000.000,130800000.000,139200000.000,107700000.000,119500000.000,120300000.000,129100000.000,147400000.000,132600000.000
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,,,,,300000.000,500000.000,600000.000,700000.000,400000.000,300000.000,600000.000,600000.000,300000.000,400000.000,300000.000,700000.000,400000.000,400000.000,300000.000,700000.000,300000.000,400000.000,400000.000,700000.000,300000.000,300000.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,71700000.000,99100000.000,,75600000.000,120300000.000,90900000.000,92400000.000,104800000.000,15400000.000,119000000.000,114500000.000,94000000.000,130200000.000,138100000.000,140800000.000,100800000.000,112000000.000,131100000.000,139900000.000,108000000.000,119900000.000,120700000.000,129800000.000,147700000.000,132900000.000
ConvertiblePreferredDividendsNetOfTax,,,0.000,,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,
ConvertiblePreferredStockConvertedToOtherSecurities,,,,,0.000,,,,,,,,,,,,,,,,,,,,,
DeferredIncomeTaxExpenseBenefit,35000000.000,,,,34900000.000,,,,22100000.000,,,,25600000.000,,,,26100000.000,,,,36700000.000,,,,44300000.000,
DepreciationAndAmortization,45700000.000,45500000.000,47900000.000,47100000.000,48400000.000,48700000.000,49800000.000,51900000.000,53100000.000,54700000.000,57200000.000,58300000.000,61900000.000,63900000.000,65000000.000,67300000.000,68500000.000,70800000.000,71400000.000,73900000.000,74300000.000,75700000.000,76900000.000,78100000.000,79300000.000,80400000.000
DividendsCommonStockCash,,,,,21400000.000,21500000.000,21500000.000,21500000.000,23600000.000,23800000.000,23600000.000,23800000.000,30900000.000,30900000.000,30900000.000,30900000.000,36400000.000,36500000.000,36000000.000,35900000.000,35600000.000,35600000.000,35500000.000,35200000.000,35000000.000,34900000.000
DividendsPreferredStock,,100000.000,0.000,,100000.000,,,,,,,,,,,,,,,,,,,,,
EarningsPerShareBasic,0.600,0.650,0.910,0.880,0.680,1.100,0.820,0.840,0.940,0.140,1.080,1.030,0.850,1.180,1.250,1.280,0.910,1.010,1.200,1.290,1.000,1.120,1.120,1.200,1.380,1.270
