,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,50000.000,,,,,,,,
AllocatedShareBasedCompensationExpenseNetOfTax,,,,,,,118000.000,,176000.000
AmortizationOfDebtDiscountPremium,,,,,,,,,-72000.000
AmortizationOfFinancingCosts,66000.000,,,,1159000.000,,,,1200000.000
AmountOfDilutiveSecuritiesStockOptionsAndRestrictiveStockUnits,13000.000,17000.000,14000.000,18000.000,14000.000,9000.000,44000.000,73000.000,88000.000
AssetImpairmentCharges,,,,,45000.000,,,,309000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,-25995000.000,,,,-6902000.000,,,,-6354000.000
CertainLoansAcquiredInTransferNotAccountedForAsDebtSecuritiesAccretableYieldReclassificationsToFromNonaccretableDifference,,,,,,,4400000.000,,21700000.000
CommonStockDividendsPerShareDeclared,0.160,,,,,,,,
CostsAndExpenses,,,,,3451000.000,3801000.000,3714000.000,4247000.000,4968000.000
Depreciation,1000.000,,,,5000.000,,,,9000.000
Dividends,1896000.000,,,,3826000.000,,,,4693000.000
EarningsPerShareBasic,0.280,0.360,0.500,0.540,0.500,0.420,0.420,0.310,0.460
EarningsPerShareDiluted,0.280,0.360,0.500,0.540,0.500,0.420,0.420,0.310,0.460
GainLossOnSaleOfProperties,2000.000,7000.000,100000.000,351000.000,545000.000,,,,109000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,1600000.000,3600000.000,1800000.000,3800000.000,,,,,7100000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,3815000.000,5675000.000,7933000.000,8371000.000,7960000.000,6887000.000,7905000.000,6157000.000,8699000.000
IncomeTaxExpenseBenefit,,16000.000,8000.000,,-3000.000,26000.000,18000.000,-6000.000,1000.000
IncreaseDecreaseInAccruedLiabilitiesAndOtherOperatingLiabilities,1624000.000,,,,1499000.000,,,,-566000.000
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,-410000.000,,,,1695000.000,,,,205000.000
IncreaseDecreaseInRestrictedCash,,,,,1028000.000,,,,
InterestExpense,1075000.000,2269000.000,3849000.000,4306000.000,4987000.000,6063000.000,6941000.000,7582000.000,7651000.000
InterestIncomeExpenseNet,5809000.000,8524000.000,10591000.000,11277000.000,10827000.000,10315000.000,11766000.000,12207000.000,13156000.000
InterestIncomeOperating,6884000.000,10793000.000,14440000.000,15583000.000,15814000.000,16378000.000,18707000.000,19789000.000,20807000.000
InterestPaid,897000.000,,,,3241000.000,,,,6245000.000
InvestmentIncomeInterest,,,,,15800000.000,16400000.000,18700000.000,19800000.000,20600000.000
LoanProcessingFee,260000.000,,,,,,,,
ManagementFeeExpense,,900000.000,,,,,,,
NetCashProvidedByUsedInFinancingActivities,47719000.000,,,,22360000.000,,,,-24758000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,47719000.000,,,,22360000.000,,,,-24758000.000
NetCashProvidedByUsedInInvestingActivities,-74487000.000,,,,-25129000.000,,,,19973000.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-74487000.000,,,,-25129000.000,,,,19973000.000
NetCashProvidedByUsedInOperatingActivities,773000.000,,,,-4133000.000,,,,-1569000.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,773000.000,,,,-4133000.000,,,,-1569000.000
NetIncomeLoss,3640000.000,5436000.000,7614000.000,8064000.000,7651000.000,6605000.000,7623000.000,5957000.000,8409000.000
NetIncomeLossAttributableToNoncontrollingInterest,175000.000,223000.000,311000.000,329000.000,312000.000,256000.000,264000.000,206000.000,289000.000
NetIncomeLossAttributableToParentDiluted,3815000.000,5659000.000,7925000.000,8393000.000,7963000.000,6862000.000,7887000.000,6162000.000,8698000.000
NetIncomeLossAvailableToCommonStockholdersBasic,3627000.000,5419000.000,7600000.000,8046000.000,7637000.000,6596000.000,7579000.000,5884000.000,8321000.000
OperatingExpenses,2208000.000,3081000.000,2875000.000,-7849000.000,162000.000,113000.000,157000.000,110000.000,324000.000
OtherComprehensiveIncomeLossNetOfTax,,,,,,,,,-140000.000
OtherComprehensiveIncomeLossTaxPortionAttributableToParent1,,,,,,,,,-8269000.000
OtherExpenses,160000.000,289000.000,230000.000,273000.000,353000.000,317000.000,537000.000,634000.000,663000.000
OtherIncome,214000.000,232000.000,217000.000,406000.000,540000.000,327000.000,-215000.000,-1298000.000,462000.000
PaymentsOfDividendsCommonStock,1795000.000,,,,3676000.000,,,,4536000.000
PaymentsOfDividendsMinorityInterest,101000.000,,,,150000.000,,,,157000.000
PaymentsToAcquireEquityMethodInvestments,,,,,1111000.000,,,,
PaymentsToAcquireHeldForSaleRealEstate,2662000.000,,,,,,,,
PaymentsToAcquireLoansReceivable,,,,,37205000.000,,,,5572000.000
PaymentsToPurchaseMortgageLoansHeldForSale,74108000.000,,,,,,,,
ProceedsFromIssuanceInitialPublicOffering,51529000.000,,,,,,,,
