,2011-04-30,2011-07-30,2011-10-29,2012-01-28,2012-04-28,2012-07-28,2012-10-27,2013-05-04,2013-08-03,2013-11-02,2014-02-01,2014-05-03,2014-08-02,2014-11-01,2015-01-31,2015-05-02,2015-08-01,2015-10-31,2016-01-30,2016-04-30,2016-07-30,2016-10-29,2017-01-28,2017-04-29
AllocatedShareBasedCompensationExpense,,4000000.000,5000000.000,,,,,,,,,,,,,,,,,,,,,
AllocatedShareBasedCompensationExpenseNetOfTax,,,,,,,,,,,,,,,,14000000.000,,,,6000000.000,,,,
AmortizationOfIntangibleAssets,,,,,,3000000.000,3000000.000,3000000.000,3000000.000,3000000.000,2000000.000,2000000.000,1000000.000,2000000.000,1000000.000,1000000.000,1000000.000,1000000.000,1000000.000,1000000.000,1000000.000,1000000.000,1000000.000,1000000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,3900000.000,4100000.000,,,900000.000,900000.000,,,,,,,,,,,,,,,,,
BusinessExitCosts1,,,,,,,,,2000000.000,0.000,,,,,,,,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,103000000.000,,,,8000000.000,,,177000000.000,,,,147000000.000,,,,19000000.000,,,,41000000.000,,,,
ComprehensiveIncomeNetOfTax,157000000.000,19000000.000,35000000.000,32000000.000,137000000.000,12000000.000,145000000.000,119000000.000,62000000.000,127000000.000,106000000.000,184000000.000,74000000.000,81000000.000,48000000.000,185000000.000,99000000.000,75000000.000,135000000.000,234000000.000,107000000.000,147000000.000,179000000.000,186000000.000
CostOfGoodsAndServicesSold,977000000.000,887000000.000,941000000.000,1022000000.000,1041000000.000,939000000.000,1019000000.000,1077000000.000,1001000000.000,1085000000.000,1209000000.000,1222000000.000,1116000000.000,1157000000.000,1282000000.000,1246000000.000,1142000000.000,1187000000.000,1332000000.000,1291000000.000,1193000000.000,1246000000.000,1400000000.000,1321000000.000
CostsAndExpenses,1303000000.000,1217000000.000,1289000000.000,1379000000.000,1377000000.000,1274000000.000,1369000000.000,1422000000.000,1348000000.000,1462000000.000,1610000000.000,1614000000.000,1497000000.000,1544000000.000,1687000000.000,1626000000.000,1510000000.000,1677000000.000,1762000000.000,1689000000.000,1582000000.000,1659000000.000,1832000000.000,
DepreciationAndAmortization,27000000.000,28000000.000,27000000.000,28000000.000,29000000.000,29000000.000,30000000.000,31000000.000,31000000.000,35000000.000,36000000.000,36000000.000,36000000.000,34000000.000,33000000.000,35000000.000,36000000.000,38000000.000,39000000.000,39000000.000,39000000.000,40000000.000,40000000.000,41000000.000
EarningsPerShareBasic,0.610,0.240,0.430,0.530,0.840,0.390,0.700,0.920,0.440,0.700,0.830,1.120,0.630,0.840,1.020,1.310,0.850,0.570,1.160,1.400,0.940,1.180,1.430,1.370
EarningsPerShareDiluted,0.600,0.240,0.430,0.530,0.830,0.390,0.690,0.900,0.440,0.700,0.810,1.100,0.630,0.820,1.010,1.290,0.840,0.570,1.140,1.390,0.940,1.170,1.410,1.360
EffectOfExchangeRateOnCashAndCashEquivalents,29000000.000,,,,,,,-6000000.000,,,,3000000.000,,,,-7000000.000,,,,6000000.000,,,,
EmployeeServiceShareBasedCompensationCashReceivedFromExerciseOfStockOptions,,5000000.000,,,14000000.000,6000000.000,15000000.000,6000000.000,9000000.000,4000000.000,8000000.000,10000000.000,3000000.000,4000000.000,0.000,23000000.000,15000000.000,25000000.000,,,,,,
EmployeeServiceShareBasedCompensationTaxBenefitFromCompensationExpense,,2000000.000,,,2000000.000,1000000.000,2000000.000,1000000.000,3000000.000,2000000.000,2000000.000,2000000.000,2000000.000,1000000.000,2000000.000,2000000.000,1000000.000,3000000.000,2000000.000,1000000.000,2000000.000,2000000.000,1000000.000,1000000.000
EmployeeServiceShareBasedCompensationTaxBenefitRealizedFromExerciseOfStockOptions,,,,,4000000.000,1000000.000,3000000.000,2000000.000,2000000.000,1000000.000,2000000.000,4000000.000,1000000.000,2000000.000,1000000.000,14000000.000,11000000.000,12000000.000,,,,,,
ExcessTaxBenefitFromShareBasedCompensationFinancingActivities,1000000.000,,,,5000000.000,,,4000000.000,,,,7000000.000,,,,14000000.000,,,,6000000.000,,,,
ExcessTaxBenefitFromShareBasedCompensationOperatingActivities,,,,,5000000.000,,,4000000.000,,,,7000000.000,,,,14000000.000,,,,6000000.000,,,,
FiniteLivedIntangibleAssetsAcquired,,,,,,,,1000000.000,,,,,,,,,,,,,,,,
FiniteLivedIntangibleAssetsAmortizationExpense,,5000000.000,4000000.000,,4000000.000,,,,,,,,,,,,,,,,,,,
ForeignCurrencyTransactionGainLossRealized,,,,,,,,,,,,1000000.000,,,,,,,,,,,,
FutureAmortizationExpenseRemainderOfFiscalYear,,,,,10000000.000,,,,,,,,,,,,,,,,,,,
FutureAmortizationExpenseYearFive,,,,,2000000.000,,,,,,,,,,,,,,,,,,,
FutureAmortizationExpenseYearFour,,,,,2000000.000,,,,,,,,,,,,,,,,,,,
FutureAmortizationExpenseYearOne,,,,,9000000.000,,,,,,,,,,,,,,,,,,,
FutureAmortizationExpenseYearThree,,,,,3000000.000,,,,,,,,,,,,,,,,,,,
FutureAmortizationExpenseYearTwo,,,,,4000000.000,,,,,,,,,,,,,,,,,,,
GainLossOnContractTermination,,,,,,,,-2000000.000,,,,0.000,,,,,,,,,,,,
GrossProfit,,,,,,,,,,,,,,,,,,,,,,,,680000000.000
ImpairmentOfIntangibleAssetsExcludingGoodwill,,,,,,,,,,,,1000000.000,2000000.000,0.000,1000000.000,0.000,,,,,,,,
ImpairmentOfLongLivedAssetsHeldForUse,,,,,,,,,,,,,,,,,,,,,,6000000.000,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,149000000.000,58000000.000,105000000.000,123000000.000,201000000.000,93000000.000,155000000.000,216000000.000,106000000.000,160000000.000,181000000.000,254000000.000,144000000.000,187000000.000,224000000.000,290000000.000,185000000.000,117000000.000,245000000.000,298000000.000,198000000.000,227000000.000,281000000.000,269000000.000
IncomeTaxExpenseBenefit,55000000.000,21000000.000,39000000.000,42000000.000,73000000.000,34000000.000,49000000.000,78000000.000,40000000.000,56000000.000,60000000.000,92000000.000,52000000.000,67000000.000,78000000.000,106000000.000,66000000.000,37000000.000,87000000.000,107000000.000,71000000.000,70000000.000,92000000.000,89000000.000
IncomeTaxesPaid,56000000.000,,,,80000000.000,,,15000000.000,,,,83000000.000,,,,126000000.000,,,,115000000.000,,,,122000000.000
IncreaseDecreaseInAccountsPayable,117000000.000,,,,116000000.000,,,55000000.000,,,,89000000.000,,,,2000000.000,,,,-54000000.000,,,,-41000000.000
IncreaseDecreaseInAccruedLiabilitiesAndOtherOperatingLiabilities,,,,,,,,,,,,3000000.000,,,,-10000000.000,,,,-14000000.000,,,,-26000000.000
IncreaseDecreaseInInventories,80000000.000,,,,74000000.000,,,8000000.000,,,,40000000.000,,,,-17000000.000,,,,-39000000.000,,,,-31000000.000
IncreaseDecreaseInLeaseAcquisitionCosts,,,,,,,,,,,,,,,,,,,,1000000.000,,,,1000000.000
IncreaseDecreaseInOtherAccruedLiabilities,-13000000.000,,,,-29000000.000,,,-46000000.000,,,,,,,,,,,,,,,,
IncreaseDecreaseInOtherOperatingCapitalNet,-6000000.000,,,,38000000.000,,,-77000000.000,,,,-24000000.000,,,,7000000.000,,,,-37000000.000,,,,6000000.000
IncrementalCommonSharesAttributableToShareBasedPaymentArrangements,,1500000.000,1300000.000,,2500000.000,2500000.000,2900000.000,2300000.000,1900000.000,1800000.000,,2200000.000,1900000.000,2100000.000,,2000000.000,1700000.000,1600000.000,,1300000.000,1100000.000,1100000.000,-2400000.000,1200000.000
IndefiniteLivedIntangibleAssetsForeignCurrencyTranslationGainLoss,,,,,,,,,,,,,,,,,,,,1000000.000,,,,
InterestExpense,2000000.000,1000000.000,1000000.000,2000000.000,1000000.000,1000000.000,1000000.000,1000000.000,1000000.000,2000000.000,1000000.000,1000000.000,1000000.000,1000000.000,2000000.000,1000000.000,1000000.000,1000000.000,1000000.000,,1000000.000,1000000.000,,
InterestIncomeExpenseNet,,,,,,,,,,,,,,,,,,,,,-1000000.000,-1000000.000,,
InterestPaid,,,,,,,,,,,,0.000,,,,0.000,,,,,,,,
LossContingencyLossInPeriod,,,,,,,,,,,,,,,,,,100000000.000,,,,,,
NetCashProvidedByUsedInFinancingActivities,-51000000.000,,,,-36000000.000,,,-20000000.000,,,,-86000000.000,,,,-127000000.000,,,,-112000000.000,,,,-79000000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,-51000000.000,,,,-36000000.000,,,-20000000.000,,,,-86000000.000,,,,-127000000.000,,,,-112000000.000,,,,-79000000.000
NetCashProvidedByUsedInInvestingActivities,-29000000.000,,,,-89000000.000,,,-48000000.000,,,,-42000000.000,,,,-60000000.000,,,,-65000000.000,,,,-75000000.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-29000000.000,,,,-89000000.000,,,-48000000.000,,,,-42000000.000,,,,-60000000.000,,,,-65000000.000,,,,-75000000.000
NetCashProvidedByUsedInOperatingActivities,154000000.000,,,,133000000.000,,,251000000.000,,,,272000000.000,,,,213000000.000,,,,212000000.000,,,,159000000.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,154000000.000,,,,133000000.000,,,251000000.000,,,,272000000.000,,,,213000000.000,,,,212000000.000,,,,159000000.000
NetIncomeLoss,94000000.000,37000000.000,66000000.000,81000000.000,128000000.000,59000000.000,106000000.000,138000000.000,66000000.000,104000000.000,121000000.000,162000000.000,92000000.000,120000000.000,146000000.000,184000000.000,119000000.000,80000000.000,158000000.000,191000000.000,127000000.000,157000000.000,189000000.000,180000000.000
NumberOfReportableSegments,,,,,,,,,,,,2.000,,,,,,,,,,,,
