,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsReceivableNet,12970000000.000,12595000000.000,12736000000.000,15721000000.000,16168000000.000,17287000000.000,15279000000.000,17473000000.000,17841000000.000,16920000000.000,14458000000.000,17482000000.000,18002000000.000,17048000000.000,14413000000.000,18401000000.000,18663000000.000,18222000000.000,17493000000.000,18542000000.000,16306000000.000,15990000000.000,18108000000.000,19738000000.000
AccumulatedOtherComprehensiveIncomeLossCumulativeChangesInNetGainLossFromCashFlowHedgesEffectNetOfTax,,-1000000.000,-1000000.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,
AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,56000000.000,-94000000.000,-58000000.000,64000000.000,-116000000.000,48000000.000,8000000.000,26000000.000,-367000000.000,-318000000.000,-478000000.000,-503000000.000,-459000000.000,-588000000.000,-787000000.000,-912000000.000,-941000000.000,-1129000000.000,-1156000000.000,-1103000000.000,-1188000000.000,-1187000000.000,-1263000000.000,-955000000.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,56000000.000,-95000000.000,-59000000.000,64000000.000,-116000000.000,48000000.000,8000000.000,26000000.000,-367000000.000,-318000000.000,-478000000.000,-503000000.000,-459000000.000,-588000000.000,-787000000.000,-912000000.000,-941000000.000,-1129000000.000,-1156000000.000,-1103000000.000,-1188000000.000,-1187000000.000,,-955000000.000
AdditionalPaidInCapital,162000000.000,162000000.000,162000000.000,161000000.000,161000000.000,161000000.000,161000000.000,161000000.000,161000000.000,161000000.000,161000000.000,161000000.000,161000000.000,161000000.000,161000000.000,161000000.000,161000000.000,161000000.000,161000000.000,161000000.000,161000000.000,161000000.000,161000000.000,161000000.000
AllowanceForDoubtfulAccountsReceivable,106000000.000,72000000.000,71000000.000,89000000.000,86000000.000,99000000.000,83000000.000,97000000.000,91000000.000,85000000.000,76000000.000,102000000.000,104000000.000,98000000.000,94000000.000,115000000.000,106000000.000,109000000.000,114000000.000,118000000.000,99000000.000,106000000.000,110000000.000,128000000.000
Assets,29544000000.000,30048000000.000,31141000000.000,31734000000.000,32451000000.000,32813000000.000,33795000000.000,33047000000.000,31897000000.000,30819000000.000,29926000000.000,32766000000.000,34463000000.000,35111000000.000,32840000000.000,32215000000.000,31981000000.000,29988000000.000,33285000000.000,30936000000.000,31684000000.000,27938000000.000,31936000000.000,34295000000.000
AssetsFairValueDisclosure,,,,,,,0.000,,,,,,,,,,,,,,,,,0.000
AssetsFairValueDisclosureRecurring,,,,,523000000.000,507000000.000,,,,,,,,,,,,,,,,,,
CashAndCashEquivalentsAtCarryingValue,,,,,,,,,,85000000.000,86000000.000,79000000.000,83000000.000,80000000.000,74000000.000,100000000.000,122000000.000,135000000.000,173000000.000,220000000.000,234000000.000,685000000.000,1211000000.000,1245000000.000
CashAndDueFromBanks,,,,,187000000.000,178000000.000,275000000.000,179000000.000,50000000.000,,,,,,,,,,,,,,,
CashCashEquivalentsAndFederalFundsSold,79000000.000,52000000.000,480000000.000,238000000.000,,,,,,,,,,,,,,,,,,,,
CommonStockParOrStatedValuePerShare,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100
CommonStockSharesAuthorized,3000000.000,3.000,3000000.000,3.000,3000000.000,3000000.000,3000000.000,3000000.000,3000000.000,3000000.000,3000000.000,3000000.000,3000000.000,3000000.000,3000000.000,3000000.000,3000000.000,3000000.000,3000000.000,3000000.000,3000000.000,3000000.000,3000000.000,3000000.000
CommonStockSharesIssued,1500000.000,1.500,1500000.000,1500000.000,1500000.000,1500000.000,1500000.000,1500000.000,1500000.000,1500000.000,1500000.000,1500000.000,1500000.000,1500000.000,1500000.000,1500000.000,1500000.000,1500000.000,1500000.000,1500000.000,1500000.000,1500000.000,1500000.000,1500000.000
CommonStockSharesOutstanding,1500000.000,1.500,1500000.000,1500000.000,1500000.000,1500000.000,1500000.000,1500000.000,1500000.000,1500000.000,1500000.000,1500000.000,1500000.000,1500000.000,1500000.000,1500000.000,1500000.000,1500000.000,1500000.000,1500000.000,1500000.000,1500000.000,1500000.000,1500000.000
CommonStockValue,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
DebtInstrumentUnamortizedDiscountPremiumNet,,,,,,,-2000000.000,,,,1000000.000,,,,8000000.000,,,,10000000.000,,,,-12000000.000,
DeferredTaxAssetsGross,,,,,,,43000000.000,,,,32000000.000,,,,52000000.000,,,,41000000.000,,,,33000000.000,
DeferredTaxAssetsLiabilitiesNet,,,,,,,40000000.000,,,,31000000.000,,,,48000000.000,,,,40000000.000,,,,25000000.000,
