,2011-09-30,2012-03-31,2012-09-30,2013-03-31,2013-06-30,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31
CashAndCashEquivalentsPeriodIncreaseDecrease,,,,,,-28522.000,,,,-392.000,,,,,,,
CashPeriodIncreaseDecrease,,1847.000,,10854.000,,,,,,,,,,,,,
ComprehensiveIncomeNetOfTax,,,,,,-200301.000,-23951.000,-131119.000,,-93969.000,-119382.000,-101506.000,2076653.000,,,,
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,,,,,,-34560.000,,,,,,,,,,,
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,,,,,,,,,-93969.000,-119382.000,-101506.000,,,,,
CostOfRevenue,,,,5548.000,,2256.000,5642.000,,,6300.000,,,,,,,
Depreciation,,,,,,6436.000,,,,,,,,,,,
EarningsPerShareBasicAndDiluted,-0.000,-0.000,-0.000,-0.000,-0.000,-0.010,-0.000,-0.000,0.000,-0.001,-0.000,-0.000,0.031,-0.000,-0.000,-0.000,-0.230
EffectOfExchangeRateOnCashAndCashEquivalents,,,,,,-30.000,,,,,,,,,,,
EquityMethodInvestmentRealizedGainLossOnDisposal,,,,,,,126848.000,,,,,,,,,,
GeneralAndAdministrativeExpense,4665.000,141862.000,189065.000,110067.000,125457.000,191988.000,145918.000,125498.000,149143.000,88975.000,113842.000,95961.000,45142.000,10246.000,9109.000,13276.000,125493.000
GrossProfit,,,0.000,556.000,,5.000,609.000,,,495.000,,,,,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,-4965.000,,,,,,,,,,,,,,,,
IncreaseDecreaseInAccountsPayable,,-1.000,,,,,,,,,,,,,,,
IncreaseDecreaseInAccountsReceivable,,,,,,2262.000,,,,,,,,,,,
IncreaseDecreaseInAccruedLiabilitiesAndOtherOperatingLiabilities,,79404.000,,,,,,,,,,,,,,,
IncreaseDecreaseInDueToRelatedParties,,,,,,,,,,,,,,7582.000,,,
IncreaseDecreaseInOtherAccountsPayableAndAccruedLiabilities,,,,98414.000,,83622.000,,,,73577.000,,,,2664.000,,,
IncreaseDecreaseInOtherCurrentAssets,,,,,,-7046.000,,,,,,,,,,,
InterestExpense,,,,,,9941.000,5482.000,5543.000,5543.000,5422.000,5422.000,5423.000,0.000,,,,
NetCashProvidedByUsedInFinancingActivities,,64389.000,,22045.000,,81730.000,,,,20000.000,,,,,,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,64389.000,,22045.000,,81730.000,,,,20000.000,,,,,,,
NetCashProvidedByUsedInInvestingActivities,,,,,,-3171.000,,,,,,,,,,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,,,,-3171.000,,,,,,,,,,,
NetCashProvidedByUsedInOperatingActivities,,-62542.000,,-11191.000,,-107051.000,,,,-20392.000,,,,,,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,-62542.000,,-11191.000,,-107051.000,,,,-20392.000,,,,,,,
NetIncomeLoss,,-141945.000,-188039.000,-109605.000,-125425.000,-166458.000,-23951.000,-131119.000,-154745.000,-93969.000,-119382.000,-101506.000,2076653.000,,,,
NetIncomeLossAttributableToNoncontrollingInterest,,,,,,-35435.000,,,,,,,,,,,
NoncashOrPartNoncashAcquisitionNoncashFinancialOrEquityInstrumentConsiderationOptionsIssued1,,,62590880.000,62590880.000,,,,,,,,,,,,,
NonoperatingIncomeExpense,,,,,,,,-5621.000,,-5489.000,-5540.000,-5545.000,0.000,,,,
