,2014-07-31,2014-10-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
CashAndCashEquivalentsPeriodIncreaseDecrease,,,-19620.000,,,,-6709.000,,,,11447.000
CostOfGoodsSold,1789.000,,30918.000,48161.000,9657.000,35367.000,16632.000,16511.000,18317.000,10684.000,7607.000
EarningsPerShareBasicAndDiluted,-0.000,-0.000,0.001,-0.001,-0.001,0.001,-0.000,-0.001,-0.000,-0.001,-0.000
GainsLossesOnExtinguishmentOfDebt,,,,,,,,,3800.000,,
GeneralAndAdministrativeExpense,18070.000,42480.000,2645.000,25690.000,50218.000,48916.000,20562.000,42168.000,851.000,-59651.000,760.000
GrossProfit,8211.000,21000.000,34082.000,-5161.000,21593.000,-4964.000,8217.000,3630.000,9186.000,6286.000,1764.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,,,,,,,,-9700.000,,
IncreaseDecreaseInAccountsPayable,,,-10058.000,,,,15425.000,,,,-1421.000
IncreaseDecreaseInAccountsReceivable,,,41000.000,,,,9790.000,,,,-2390.000
IncreaseDecreaseInInterestPayableNet,,,600.000,,,,600.000,,,,4266.000
InterestExpense,,,600.000,600.000,,,600.000,600.000,,,4266.000
NetCashProvidedByUsedInFinancingActivities,,,,,,,,,,,30000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,,,,,,,,,30000.000
NetCashProvidedByUsedInOperatingActivities,,,-19620.000,,,,-6709.000,,,,-18553.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,-19620.000,,,,-6709.000,,,,-18553.000
NetIncomeLoss,-9859.000,-21480.000,30837.000,-31451.000,-28625.000,-52680.000,-12944.000,-39139.000,-5900.000,-49803.000,-23788.000
OperatingExpenses,18070.000,42480.000,3245.000,26290.000,50218.000,47716.000,21162.000,42768.000,18886.000,43619.000,21286.000
OperatingIncomeLoss,,,,,,,,,,,-19522.000
OtherNonoperatingIncomeExpense,,,,,,,,,3800.000,,-4266.000
ProfessionalFees,,,,,,,,,18035.000,,20526.000
Revenues,,,65000.000,43000.000,31250.000,30403.000,24849.000,20141.000,27503.000,16970.000,9371.000
SalesRevenueGoodsNet,10000.000,21000.000,65000.000,43000.000,31250.000,30403.000,24849.000,20141.000,27503.000,16970.000,9371.000
SalesRevenueNet,,,65000.000,43000.000,31250.000,30403.000,24849.000,20141.000,27503.000,16970.000,9371.000
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,33000000.000,33000000.000,48000000.000,48000000.000,48000000.000,-96000000.000,48000000.000,48000000.000,48000000.000,-96000000.000,48000000.000
