,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AdjustmentToAdditionalPaidInCapitalIncomeTaxEffectFromShareBasedCompensationNet,,,1000000.000,,30000000.000,3000000.000,4000000.000,1000000.000,13000000.000,13000000.000,14000000.000,4000000.000,16000000.000,5000000.000,9000000.000,0.000,5000000.000,0.000,1000000.000,6000000.000,,,,,
AdjustmentsRelatedToTaxWithholdingForShareBasedCompensation,,,,,,,,,,,,,,,,,,0.000,1000000.000,,,,,,
AdjustmentsToAdditionalPaidInCapitalOther,,,,,,,,,,,,,-1000000.000,,-1000000.000,,0.000,,0.000,,,,,,
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,14000000.000,14000000.000,13000000.000,18000000.000,18000000.000,14000000.000,15000000.000,18000000.000,20000000.000,14000000.000,14000000.000,19000000.000,20000000.000,7000000.000,12000000.000,11000000.000,11000000.000,9000000.000,7000000.000,12000000.000,11000000.000,,,,11000000.000
AdvertisingRevenue,392000000.000,494000000.000,442000000.000,524000000.000,453000000.000,534000000.000,468000000.000,582000000.000,508000000.000,749000000.000,665000000.000,817000000.000,689000000.000,844000000.000,725000000.000,831000000.000,687000000.000,814000000.000,699000000.000,804000000.000,687000000.000,813000000.000,670000000.000,800000000.000,687000000.000
AllocatedShareBasedCompensationExpense,17000000.000,32000000.000,21000000.000,29000000.000,41000000.000,31000000.000,40000000.000,42000000.000,60000000.000,24000000.000,45000000.000,61000000.000,19000000.000,14000000.000,33000000.000,12000000.000,2000000.000,23000000.000,-9000000.000,19000000.000,24000000.000,3000000.000,22000000.000,20000000.000,21000000.000
BasicEarningsPerShareProForma,,,,,,,,,,,,,,0.550,,,,,,,,,,,
BusinessAcquisitionsProFormaIncomeLossFromContinuingOperationsBeforeChangesInAccountingAndExtraordinaryItemsNetOfTax,,,,,,,,,,,269000000.000,,,,,,,,,,,,,,
BusinessAcquisitionsProFormaNetIncomeLoss,,,,,,,,,,,,,,368000000.000,298000000.000,,249000000.000,289000000.000,,,,,,,
BusinessAcquisitionsProFormaRevenue,,,,,,,,,,,1375000000.000,,,1702000000.000,1590000000.000,,1550000000.000,1654000000.000,,,,,,,
BusinessCombinationContingentConsiderationArrangementsChangeInAmountOfContingentConsiderationAsset1,,,,,,,,,,,,,,,,,,,,,13000000.000,,,,0.000
BusinessCombinationContingentConsiderationArrangementsChangeInAmountOfContingentConsiderationLiability1,,,,,,,,,,,,,,,,,,,,,0.000,,,,
