,2011-12-31,2012-12-31
AdjustmentForAmortization,87366.000,116491.000
AdvertisingExpense,,20133.000
AmortizationOfIntangibleAssets,84712.000,71714.000
CapitalizedComputerSoftwareAmortization,,116491.000
CapitalizedComputerSoftwarePeriodIncreaseDecrease,-40636.000,0.000
CashAndCashEquivalentsPeriodIncreaseDecrease,496230.000,-749545.000
CommonStockDividendsPerShareCashPaid,-1334452.000,0.020
CostOfServices,3778885.000,3960341.000
CurrentIncomeTaxExpenseBenefit,,1078084.000
DeferredIncomeTaxExpenseBenefit,,-45274.000
DefinedContributionPlanEmployerDiscretionaryContributionAmount,,35818.000
Depreciation,146036.000,114618.000
DividendsCommonStock,,-1235405.000
EarningsPerShareBasicAndDiluted,0.026,0.030
GainLossOnDispositionOfAssets,1003.000,195.000
GrossProfit,5809650.000,6145707.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,2596132.000,3033652.000
IncomeTaxExpenseBenefit,884752.000,1032810.000
IncomeTaxesPaid,1020000.000,1090000.000
IncreaseDecreaseInAccountsPayable,32416.000,45979.000
IncreaseDecreaseInAccountsReceivable,-41219.000,-106465.000
IncreaseDecreaseInAccruedIncomeTaxesPayable,-33619.000,0.000
IncreaseDecreaseInDeferredIncomeTaxes,-99718.000,-45274.000
IncreaseDecreaseInDeferredRevenue,75018.000,143654.000
IncreaseDecreaseInOtherAccruedLiabilities,25023.000,-36778.000
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,-8637.000,27588.000
IncreaseDecreaseInPrepaidExpense,-16416.000,-38071.000
LeaseAndRentalExpense,,341872.000
NetCashProvidedByUsedInFinancingActivities,,-2919053.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,-2919053.000
NetCashProvidedByUsedInInvestingActivities,-130753.000,-113069.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-130753.000,-113069.000
NetCashProvidedByUsedInOperatingActivities,1961435.000,2282577.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,1961435.000,2282577.000
NetIncomeLoss,1711380.000,2000842.000
NoncashOrPartNoncashAcquisitionFixedAssetsAcquired1,,140571.000
OperatingIncomeLoss,2593602.000,3031419.000
OtherIncome,2530.000,2233.000
OtherNoncashExpense,0.000,
PaymentsOfDividends,-1334452.000,-1235405.000
PaymentsToAcquirePropertyPlantAndEquipment,90117.000,-113069.000
RelatedPartyTransactionAmountsOfTransaction,,339745.000
Revenues,9588535.000,10106048.000
SalesRevenueNet,9586005.000,10103815.000
SellingGeneralAndAdministrativeExpense,3216048.000,3114288.000
StockRepurchasedDuringPeriodShares,,-1683648.000
TreasuryStockValueAcquiredCostMethod,,-1683648.000
