,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AllocatedShareBasedCompensationExpense,,,,,,,3000000.000,,,,,,,,11000000.000,15000000.000,14000000.000,17000000.000,12000000.000,13000000.000,14000000.000,18000000.000,12000000.000
AmortizationOfFinancingCostsAndDiscounts,,,4000000.000,,,,3000000.000,,,,4000000.000,,,,4000000.000,,,,4000000.000,,,,4000000.000
AmortizationOfIntangibleAssets,,,,26000000.000,27000000.000,,25000000.000,28000000.000,27000000.000,29000000.000,29000000.000,28000000.000,29000000.000,30000000.000,26000000.000,31000000.000,33000000.000,27000000.000,26000000.000,27000000.000,31000000.000,29000000.000,26000000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,,,,,2300000.000,3100000.000,,4900000.000,3800000.000,3700000.000,-9100000.000,5400000.000,,3600000.000,,6000000.000,5300000.000,5200000.000,-12000000.000,7300000.000
CapitalLeaseObligationsIncurred,,,,,,,,,,,,,,,2000000.000,,,,4000000.000,,,,5000000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,,5000000.000,,,,-10000000.000,,,,-117000000.000,,,,-129000000.000,,,,-132000000.000,,,,-69000000.000
CommonStockDividendsPerShareCashPaid,,,,,,,,,,,,,,,,,,,,,0.090,,0.090
ComprehensiveIncomeNetOfTax,,,-190000000.000,-24000000.000,-32000000.000,-296000000.000,-78000000.000,84000000.000,112000000.000,332000000.000,-45000000.000,69000000.000,97000000.000,6000000.000,-34000000.000,99000000.000,107000000.000,11000000.000,-42000000.000,90000000.000,105000000.000,56000000.000,-27000000.000
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,,,0.000,1000000.000,1000000.000,1000000.000,1000000.000,2000000.000,1000000.000,1000000.000,0.000,1000000.000,2000000.000,1000000.000,0.000,1000000.000,2000000.000,1000000.000,0.000,2000000.000,1000000.000,1000000.000,0.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,,-190000000.000,-23000000.000,-31000000.000,-295000000.000,-77000000.000,86000000.000,113000000.000,333000000.000,-45000000.000,70000000.000,99000000.000,7000000.000,-34000000.000,100000000.000,109000000.000,12000000.000,-42000000.000,92000000.000,106000000.000,57000000.000,-27000000.000
ConstructionInProgressExpendituresIncurredButNotYetPaid,,,,,,,5000000.000,,,,,,,,,,,,,,,,
DeferredIncomeTaxExpenseBenefit,,,6000000.000,,,,5000000.000,,,,-38000000.000,,,,-28000000.000,,,,-27000000.000,,,,-10000000.000
DefinedBenefitPlanExpectedReturnOnPlanAssets,,,,2000000.000,2000000.000,,2000000.000,2000000.000,2000000.000,,,,,,,,,,,,,,
DefinedBenefitPlanNetPeriodicBenefitCost,,,,1000000.000,1000000.000,,,,,,,,,,,,,,,,,,
DepreciationAndAmortization,47000000.000,46000000.000,45000000.000,44000000.000,42000000.000,42000000.000,42000000.000,44000000.000,44000000.000,46000000.000,46000000.000,46000000.000,48000000.000,50000000.000,46000000.000,52000000.000,55000000.000,48000000.000,48000000.000,48000000.000,53000000.000,53000000.000,50000000.000
EarlyRepaymentOfSubordinatedDebt,,,,,,,,,,,44000000.000,,,,0.000,,,,,,,,
EarningsPerShareBasic,-0.110,-0.140,-0.960,-0.120,-4.240,-9.090,-0.520,0.580,0.750,2.200,-0.320,0.470,0.680,0.150,-0.220,0.660,0.750,0.070,-0.290,0.630,0.740,0.390,-0.200
EarningsPerShareDiluted,-0.110,-0.140,-0.960,-0.120,-4.240,-9.090,-0.520,0.570,0.740,2.200,-0.320,0.460,0.680,0.150,-0.220,0.660,0.740,0.060,-0.290,0.630,0.730,0.390,-0.200
EffectOfExchangeRateOnCashAndCashEquivalents,,,1000000.000,,,,-1000000.000,,,,0.000,,,,-1000000.000,,,,0.000,,,,1000000.000
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisLiabilityGainLossIncludedInEarnings,,,,,,,,,,,,,,,,,,,0.000,,,,-1000000.000
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisLiabilityIssues,,,,,,,,,,,,,,,,,,,0.000,,,,0.000
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisLiabilitySettlements,,,,,,,,,,,,,,,,,,,3000000.000,,,,4000000.000
FranchiseRevenue,70000000.000,73000000.000,54000000.000,76000000.000,76000000.000,65000000.000,57000000.000,91000000.000,94000000.000,80000000.000,63000000.000,92000000.000,96000000.000,82000000.000,67000000.000,99000000.000,103000000.000,84000000.000,69000000.000,104000000.000,107000000.000,92000000.000,75000000.000
GainsLossesOnExtinguishmentOfDebt,,,-6000000.000,0.000,0.000,-18000000.000,-3000000.000,-43000000.000,-22000000.000,0.000,-10000000.000,-17000000.000,0.000,-20000000.000,0.000,0.000,0.000,-48000000.000,,,,,-4000000.000
GeneralAndAdministrativeExpense,56000000.000,62000000.000,77000000.000,79000000.000,74000000.000,97000000.000,67000000.000,93000000.000,88000000.000,79000000.000,70000000.000,65000000.000,79000000.000,79000000.000,78000000.000,92000000.000,85000000.000,82000000.000,86000000.000,70000000.000,78000000.000,87000000.000,96000000.000
GoodwillAcquiredDuringPeriod,,,,,,,2000000.000,,,,24000000.000,,,,0.000,,,,11000000.000,,,,1000000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,-24000000.000,-28000000.000,-195000000.000,-31000000.000,-36000000.000,-301000000.000,-76000000.000,82000000.000,115000000.000,54000000.000,-77000000.000,116000000.000,167000000.000,19000000.000,-58000000.000,157000000.000,182000000.000,1000000.000,-66000000.000,153000000.000,176000000.000,86000000.000,-34000000.000
IncomeLossFromEquityMethodInvestments,4000000.000,11000000.000,10000000.000,15000000.000,21000000.000,16000000.000,9000000.000,13000000.000,4000000.000,0.000,-3000000.000,4000000.000,6000000.000,2000000.000,2000000.000,7000000.000,4000000.000,3000000.000,0.000,5000000.000,5000000.000,2000000.000,-3000000.000
IncomeTaxExpenseBenefit,1000000.000,10000000.000,7000000.000,8000000.000,18000000.000,6000000.000,7000000.000,9000000.000,9000000.000,-267000000.000,-34000000.000,51000000.000,71000000.000,-1000000.000,-24000000.000,66000000.000,74000000.000,-6000000.000,-24000000.000,64000000.000,74000000.000,30000000.000,-9000000.000
IncomeTaxesPaidNet,,,0.000,,,,3000000.000,,,,2000000.000,,,,1000000.000,,,,2000000.000,,,,2000000.000
IncreaseDecreaseDueFromAffiliates,,,,,,,0.000,,,,,,,,,,,,,,,,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,,103000000.000,,,,-39000000.000,,,,-79000000.000,,,,-40000000.000,,,,-71000000.000,,,,-44000000.000
IncreaseDecreaseInAccountsReceivable,,,2000000.000,,,,-3000000.000,,,,10000000.000,,,,12000000.000,,,,-3000000.000,,,,-4000000.000
IncreaseDecreaseInDeferredIncomeTaxes,,,,,,,6000000.000,,,,,,,,,,,,,,,,
IncreaseDecreaseInDueToAffiliates,,,,,,,0.000,,,,,,,,,,,,,,,,
IncreaseDecreaseInDueToRelatedParties,,,-4000000.000,,,,1000000.000,,,,0.000,,,,-5000000.000,,,,1000000.000,,,,0.000
IncreaseDecreaseInOtherOperatingAssets,,,4000000.000,,,,3000000.000,,,,5000000.000,,,,4000000.000,,,,10000000.000,,,,24000000.000
IncreaseDecreaseInOtherOperatingCapitalNet,,,-14000000.000,,,,,,,,,,,,-1000000.000,,,,3000000.000,,,,4000000.000
IncreaseDecreaseInRestrictedCash,,,4000000.000,,,,2000000.000,,,,-4000000.000,,,,-2000000.000,,,,-2000000.000,,,,-2000000.000
IncrementalCommonSharesAttributableToShareBasedPaymentArrangements,,,,,,,,1281586.000,1187613.000,,,900000.000,1000000.000,,,1500000.000,1500000.000,,,1200000.000,1100000.000,,
