,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,-4600000.000,,,,,,,,,,,,,,,,,,,,,,,,
AircraftMaintenanceMaterialsAndRepairs,,,49900000.000,,50100000.000,54500000.000,55700000.000,61700000.000,66000000.000,67000000.000,54000000.000,60000000.000,51000000.000,57000000.000,58000000.000,63000000.000,63000000.000,52000000.000,67000000.000,71000000.000,68000000.000,65000000.000,64000000.000,73000000.000,87000000.000
AircraftRental,,,28800000.000,,28000000.000,29000000.000,29200000.000,29800000.000,30000000.000,30000000.000,29000000.000,30000000.000,28000000.000,29000000.000,27000000.000,26000000.000,26000000.000,26000000.000,26000000.000,27000000.000,29000000.000,26000000.000,25000000.000,34000000.000,65000000.000
AvailableForSaleSecuritiesGrossRealizedGains,,,,,1600000.000,2000000.000,2200000.000,3200000.000,2000000.000,1000000.000,0.000,1000000.000,1000000.000,1000000.000,1000000.000,1000000.000,1000000.000,1000000.000,0.000,0.000,0.000,2000000.000,0.000,1000000.000,1000000.000
AvailableForSaleSecuritiesGrossRealizedGainsLossesSaleProceeds,,,,,188100000.000,242300000.000,271100000.000,346500000.000,239000000.000,226000000.000,247000000.000,377000000.000,227000000.000,171000000.000,341000000.000,353000000.000,259000000.000,417000000.000,142000000.000,357000000.000,140000000.000,217000000.000,280000000.000,325000000.000,285000000.000
AvailableForSaleSecuritiesGrossRealizedLosses,,,,,300000.000,500000.000,400000.000,-3200000.000,1000000.000,0.000,0.000,1000000.000,1000000.000,0.000,0.000,1000000.000,1000000.000,1000000.000,0.000,1000000.000,0.000,1000000.000,0.000,0.000,1000000.000
AvailableForSaleSecuritiesGrossUnrealizedGains,,,,,,,,,,,,,6000000.000,,,,,,,,,,,,3000000.000
AvailableForSaleSecuritiesGrossUnrealizedLoss,,,,,,,,,,,,,3000000.000,,,,,,,,,,,,5000000.000
BusinessCombinationAcquisitionRelatedCosts,,,,,,,,,,,,,,,,,,,,,,14000000.000,22000000.000,,40000000.000
CargoAndFreightRevenue,24900000.000,29100000.000,29900000.000,24800000.000,24400000.000,30600000.000,29600000.000,26400000.000,26000000.000,30000000.000,32000000.000,25000000.000,24000000.000,32000000.000,32000000.000,26000000.000,23000000.000,30000000.000,30000000.000,25000000.000,24000000.000,27000000.000,31000000.000,26000000.000,24000000.000
