,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30
AccountsNotesAndLoansReceivableNetCurrent,391000000.000,425000000.000,460000000.000,484000000.000,477000000.000,471000000.000,476000000.000,562000000.000,600000000.000,521000000.000,472000000.000,523000000.000,570000000.000,544000000.000,613000000.000
AccountsPayableRelatedPartiesCurrent,92000000.000,129000000.000,86000000.000,57000000.000,79000000.000,140000000.000,76000000.000,117000000.000,94000000.000,118000000.000,88000000.000,93000000.000,77000000.000,139000000.000,89000000.000
AccountsPayableTradeCurrent,373000000.000,398000000.000,453000000.000,554000000.000,523000000.000,602000000.000,668000000.000,851000000.000,862000000.000,856000000.000,887000000.000,828000000.000,1062000000.000,945000000.000,893000000.000
AccountsReceivableRelatedPartiesCurrent,10000000.000,11000000.000,6000000.000,9000000.000,1000000.000,4000000.000,0.000,,,,,,,,
AccrualForEnvironmentalLossContingencies,,,19000000.000,18000000.000,18000000.000,17000000.000,18000000.000,17000000.000,20000000.000,20000000.000,18000000.000,20000000.000,20000000.000,19000000.000,17000000.000
AccruedLiabilitiesCurrent,,,229000000.000,166000000.000,157000000.000,217000000.000,208000000.000,203000000.000,229000000.000,278000000.000,309000000.000,370000000.000,252000000.000,226000000.000,248000000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,5842000000.000,5946000000.000,6061000000.000,6128000000.000,6249000000.000,6386000000.000,6504000000.000,6775000000.000,6891000000.000,7020000000.000,7147000000.000,7286000000.000,7592000000.000,7752000000.000,7905000000.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-5000000.000,-3000000.000,-5000000.000,-2000000.000,-8000000.000,37000000.000,12000000.000,-2000000.000,-2000000.000,-1000000.000,0.000,-1000000.000,58000000.000,96000000.000,43000000.000
AdditionalCollateralAggregateFairValue,,,,,2000000.000,,,,,,,,,,
AssetRetirementObligation,,,,569000000.000,,,,576000000.000,,,,554000000.000,,,
AssetRetirementObligationCurrent,,,,66000000.000,72000000.000,60000000.000,67000000.000,68000000.000,80000000.000,73000000.000,56000000.000,63000000.000,63000000.000,68000000.000,34000000.000
