,2011-11-30,2012-02-29,2012-05-31,2012-11-30,2013-02-28
CashAndCashEquivalentsPeriodIncreaseDecrease,-2339.000,,,,
ComprehensiveIncomeNetOfTax,-23422.000,-30538.000,-25904.000,-13485.000,-19723.000
CostOfGoodsAndServicesSold,170395.000,168524.000,187698.000,,
Depreciation,439.000,,,,
DepreciationAndAmortization,,458.000,428.000,,
EarningsPerShareBasicAndDiluted,-0.000,-0.000,-0.000,-0.000,-0.000
EffectOfExchangeRateOnCashAndCashEquivalents,-318.000,,,,
GrossProfit,22892.000,48701.000,23457.000,,
IncomeLossFromContinuingOperations,-23173.000,-32584.000,24429.000,-13485.000,-19723.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,-23173.000,-23381.000,-24429.000,-13485.000,-19723.000
IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,-0.000,-0.000,-0.000,-0.000,-0.000
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicAndDilutedShare,,,-0.000,,
IncomeTaxExpenseBenefit,,-9203.000,,,
IncreaseDecreaseInAccountsAndOtherReceivables,7194.000,,,,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,-11958.000,,,-3148.000,
IncreaseDecreaseInCustomerDeposits,4070.000,,,,
IncreaseDecreaseInInterestPayableNet,336.000,,,2083.000,
InterestExpense,-4412.000,-4178.000,4464.000,2083.000,909.000
InterestExpenseOther,,,,,195.000
NetCashProvidedByUsedInFinancingActivities,21000.000,,,14550.000,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,21000.000,,,14550.000,
NetCashProvidedByUsedInOperatingActivities,-23021.000,,,-14550.000,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-23021.000,,,-14550.000,
NetIncomeLoss,-23173.000,-32584.000,-24429.000,-13485.000,-19723.000
OperatingCostsAndExpenses,41653.000,67904.000,43422.000,11402.000,18814.000
OperatingIncomeLoss,-18761.000,-19203.000,-19965.000,-11402.000,-18814.000
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationGainLossArisingDuringPeriodNetOfTax,-249.000,2046.000,-1475.000,,
OtherGeneralAndAdministrativeExpense,31588.000,47421.000,33059.000,290.000,4410.000
ProceedsFromNotesPayable,,,,14550.000,
ProceedsFromShortTermDebt,21000.000,,,,
ProfessionalFees,9626.000,20025.000,9935.000,11112.000,14404.000
ProfitLoss,-23173.000,-32584.000,-24429.000,-13485.000,-19723.000
SalesRevenueServicesGross,193287.000,217225.000,211155.000,,
WeightedAverageNumberOfDilutedSharesOutstanding,36000000.000,36000000.000,36000000.000,10479998.000,43498500.000
