,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,,,572000.000,,,,464000.000,,,,963000.000,,,,816000.000
AmortizationOfFinancingCosts,,,117000.000,116000.000,117000.000,117000.000,115000.000,116000.000,180000.000,170000.000,188000.000,190000.000,191000.000,234000.000,266000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,,,,547749.000,,,,,,,,1941844.000
AssetImpairmentCharges,,,,,,,,,,,,,,,30730000.000
CargoAndFreightRevenue,9914090.000,10897511.000,6294000.000,7603000.000,6291000.000,7116000.000,5986000.000,6379000.000,9102000.000,14506000.000,13091000.000,10703000.000,10039000.000,11687000.000,6911000.000
CommonStockDividendsPerShareCashPaid,,,0.130,,,,0.010,0.010,,,0.030,,,,
CommonStockDividendsPerShareDeclared,0.060,0.100,0.130,0.050,0.050,0.010,0.010,0.010,0.010,0.020,0.030,0.010,0.010,0.010,
CostsAndExpenses,9112147.000,9983400.000,9662000.000,10189000.000,10031000.000,10389000.000,10061000.000,9967000.000,10225000.000,12629000.000,15092000.000,14911000.000,14096000.000,15758000.000,47317000.000
DebtInstrumentInterestRateDuringPeriod,,,,,,,,,,,0.033,0.033,0.034,-0.067,0.033
DebtInstrumentInterestRateEffectivePercentageRateRangeMaximum,,,,,,,,,,,0.036,0.036,0.036,-0.072,0.036
DebtInstrumentInterestRateEffectivePercentageRateRangeMinimum,,,,,,,,,,,0.032,0.032,0.032,-0.069,0.027
DepreciationDepletionAndAmortization,3683766.000,3724024.000,3683000.000,3683000.000,3724000.000,3724000.000,3643000.000,3682000.000,3847000.000,4392000.000,5103000.000,5258000.000,5243000.000,5411000.000,5631000.000
DirectOperatingCosts,3779926.000,4047375.000,3922000.000,4270000.000,4281000.000,4257000.000,3864000.000,4248000.000,4219000.000,5259000.000,6551000.000,6332000.000,5647000.000,6342000.000,6587000.000
DividendsCash,,,2951000.000,,,,230000.000,,,,1726000.000,,,,
EarningsPerShareBasic,-0.020,-0.010,-0.200,-0.160,-0.220,-0.200,-0.230,-0.190,-0.080,0.140,-0.060,-0.100,-0.100,-0.100,-0.750
EarningsPerShareDiluted,-0.020,-0.010,-0.200,-0.160,-0.220,-0.200,-0.230,-0.190,-0.080,0.140,-0.060,-0.100,-0.100,-0.100,-0.750
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,-325054.000,-186200.000,-4449000.000,-3646000.000,-4818000.000,-4329000.000,-5083000.000,-4612000.000,-2262000.000,599000.000,-3521000.000,-5649000.000,-5440000.000,-5600000.000,-42347000.000
IncomeTaxExpenseBenefit,27873.000,9040.000,7000.000,15000.000,4000.000,2000.000,,13000.000,8000.000,,12000.000,25000.000,14000.000,6000.000,23000.000
IncomeTaxesPaid,,,,,,,0.000,,,,0.000,,,,0.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,,-42000.000,,,,-30000.000,,,,2270000.000,,,,2595000.000
IncreaseDecreaseInAccountsReceivable,,,-826000.000,,,,929000.000,,,,-378000.000,,,,-1431000.000
IncreaseDecreaseInDeferredRevenue,,,-5000.000,,,,-80000.000,,,,-68000.000,,,,170000.000
IncreaseDecreaseInDueToAffiliatesCurrent,,,-43000.000,,,,-7000.000,,,,-81000.000,,,,1088000.000
IncreaseDecreaseInRestrictedCash,,,,,,,,,,,,,,,-19645000.000
InterestCostsCapitalized,,,,,,,,,,,,177000.000,227000.000,,
InterestExpense,1111865.000,1105102.000,1075000.000,1062000.000,1064000.000,1051000.000,1016000.000,1023000.000,1132000.000,1284000.000,1510000.000,1436000.000,1393000.000,1553000.000,1959000.000
InterestIncomeOther,,,,,,,,,5000.000,,,,,,
InterestPaidNet,,,,,,,872000.000,,,,1328000.000,,,,986000.000
InvestmentIncomeInterest,1208.000,996.000,2000.000,1000.000,1000.000,1000.000,1000.000,2000.000,,,10000.000,5000.000,3000.000,10000.000,8000.000
NetCashProvidedByUsedInContinuingOperations,,,-3127000.000,,,,-2326000.000,,,,-18732000.000,,,,5122000.000
NetCashProvidedByUsedInFinancingActivities,,,-2951000.000,,,,-230000.000,,,,-2981000.000,,,,9468000.000
