,2012-03-31,2012-06-30,2012-09-30,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccrualForEnvironmentalLossContingenciesPayments,,11000000.000,51000000.000,8000000.000,9000000.000,14000000.000,,10000000.000,14000000.000,10000000.000,,10000000.000,,9000000.000,,,,,,
AmortizationOfIntangibleAssets,,,,76000000.000,,,,77000000.000,,,,31000000.000,,,,10000000.000,9000000.000,10000000.000,10000000.000,9000000.000
CapitalExpendituresIncurredButNotYetPaid,118000000.000,,,104000000.000,,,,119000000.000,,,,166000000.000,,,,108000000.000,,,,101000000.000
CapitalLeaseObligationsIncurred,0.000,,,,,,,,,,,,,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,316000000.000,,,591000000.000,,,,330000000.000,,,,631000000.000,,,,-723000000.000,,,,1348000000.000
ComprehensiveIncomeNetOfTax,693000000.000,800000000.000,939000000.000,799000000.000,888000000.000,992000000.000,1604000000.000,727000000.000,916000000.000,1035000000.000,944000000.000,1044000000.000,963000000.000,1156000000.000,1135000000.000,782000000.000,773000000.000,1019000000.000,1066000000.000,836000000.000
DeferredIncomeTaxExpenseBenefit,137000000.000,,,145000000.000,,,,61000000.000,,,,143000000.000,,,,191000000.000,,,,118000000.000
DefinedBenefitPlanAmortizationOfNetGainsLosses,,,,5000000.000,,,,,,,,,,,,,,,,
DefinedBenefitPlanContributionsByEmployer,,,,25000000.000,,,,,,,,,,,,,,,,
DepreciationDepletionAndAmortization,463000000.000,470000000.000,475000000.000,483000000.000,489000000.000,493000000.000,508000000.000,515000000.000,523000000.000,531000000.000,554000000.000,496000000.000,489000000.000,503000000.000,513000000.000,520000000.000,530000000.000,534000000.000,544000000.000,573000000.000
FuelCosts,1095000000.000,1102000000.000,1089000000.000,1122000000.000,1076000000.000,1145000000.000,1160000000.000,1159000000.000,1156000000.000,1123000000.000,1040000000.000,713000000.000,697000000.000,670000000.000,576000000.000,395000000.000,431000000.000,533000000.000,575000000.000,605000000.000
GoodwillAcquiredDuringPeriod,,,,,,,,,,,,,,12000000.000,,,,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,1280000000.000,1508000000.000,1289000000.000,1397000000.000,1556000000.000,1686000000.000,1169000000.000,1472000000.000,1654000000.000,1874000000.000,1672000000.000,1536000000.000,1839000000.000,1728000000.000,1258000000.000,1238000000.000,1633000000.000,1564000000.000,1345000000.000
IncomeTaxExpenseBenefit,414000000.000,478000000.000,571000000.000,491000000.000,513000000.000,567000000.000,564000000.000,445000000.000,556000000.000,619000000.000,680000000.000,627000000.000,573000000.000,683000000.000,644000000.000,474000000.000,466000000.000,613000000.000,571000000.000,507000000.000
