,2012-03-31,2013-03-31,2014-03-31
CashAndCashEquivalentsPeriodIncreaseDecrease,-2812065.000,-22842.000,-35438.000
DebtConversionConvertedInstrumentAmount1,2645120.000,0.000,
GeneralAndAdministrativeExpense,175580.000,19843.000,21637.000
IncomeLossFromEquityMethodInvestments,82451.000,0.000,339265.000
IncomeTaxReconciliationEquityInEarningsLossesOfUnconsolidatedSubsidiary,,96093.000,0.000
IncomeTaxReconciliationNondeductibleExpenseDepreciation,,45822.000,40642.000
IncomeTaxReconciliationNondeductibleExpenseOther,,239204.000,3169096.000
IncomeTaxReconciliationOtherAdjustments,,22693.000,949244.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,0.000,,
IncreaseDecreaseInDueToAffiliates,48754.000,30565.000,-321090.000
InterestIncomeOperating,11552.000,207.000,221.000
LimitedLiabilityCompanyLLCOrLimitedPartnershipLPManagingMemberOrGeneralPartnerOwnershipInterest,,0.010,0.010
LimitedLiabilityCompanyLLCOrLimitedPartnershipLPMembersOrLimitedPartnersOwnershipInterest,,0.990,0.990
NetCashProvidedByUsedInFinancingActivities,-2682000.000,0.000,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,-2682000.000,0.000,
NetCashProvidedByUsedInInvestingActivities,82451.000,0.000,339265.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,82451.000,0.000,339265.000
NetCashProvidedByUsedInOperatingActivities,-212516.000,-22842.000,-374703.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-212516.000,-22842.000,-374703.000
NetIncomeLoss,-178819.000,-53407.000,285652.000
NetIncomeLossAllocatedToGeneralPartners,-2102367.000,-534.000,2857.000
NetIncomeLossAllocatedToLimitedPartners,1923548.000,-52873.000,282795.000
NetIncomeLossPerOutstandingLimitedPartnershipUnit,0.200,,
NetIncomeLossPerOutstandingLimitedPartnershipUnitBasicNetOfTax,,,0.030
OtherIncome,93.000,52.000,93.000
PartnersCapitalAccountContributions,2645120.000,0.000,
PartnersCapitalAccountDistributions,-2682000.000,0.000,
ProceedsFromSaleOfEquityMethodInvestments,82451.000,0.000,339265.000
ProfessionalFees,60476.000,19453.000,20015.000
RelatedPartyTransactionExpensesFromTransactionsWithRelatedParty,,3.000,0.000
RelatedPartyTransactionSellingGeneralAndAdministrativeExpensesFromTransactionsWithRelatedParty,,14088.000,11284.000
Revenues,11645.000,259.000,314.000
SalesRevenueNet,11552.000,207.000,221.000
WeightedAverageNumberOfLimitedPartnershipAndGeneralPartnershipUnitOutstandingBasicAndDiluted,,9772766.000,9766367.000
