,2011-09-30,2012-03-31,2012-09-30,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AssetManagementCosts,352435.000,349256.000,369203.000,378260.000,339637.000,292415.000,252726.000,231519.000,197302.000,170434.000,148071.000,113148.000,89141.000,80105.000,76225.000,78272.000,82517.000,85615.000,86759.000,94943.000
FloorBrokerageExchangeAndClearanceFees,461303.000,457405.000,487139.000,496306.000,445215.000,380768.000,328072.000,295160.000,250465.000,216660.000,186780.000,142541.000,109009.000,98144.000,87669.000,96217.000,101351.000,105102.000,106519.000,117119.000
ForeignCurrencyTransactionGainLossBeforeTax,2807.000,-1361.000,15241.000,138124.000,109259.000,13526.000,7538.000,12745.000,1883.000,-11693.000,8232.000,1287.000,-14717.000,-12203.000,12275.000,-11118.000,-2122.000,721.000,9201.000,-2383.000
ForeignCurrencyTransactionGainLossRealized,,,,122833.000,279605.000,-3164.000,27004.000,12804.000,1572.000,-9041.000,5544.000,1428.000,-14479.000,-12527.000,12227.000,-10019.000,-3376.000,1232.000,9708.000,-3302.000
ForeignCurrencyTransactionGainLossUnrealized,,,,15291.000,-170346.000,16690.000,-19466.000,-59.000,311.000,-2652.000,2688.000,-141.000,-238.000,324.000,48.000,-1099.000,1254.000,-511.000,-507.000,919.000
GainLossOnSaleOfCommodityContracts,8523299.000,-6256979.000,4115874.000,-7907125.000,-1533095.000,1285966.000,3313781.000,481654.000,-4070010.000,400111.000,-3459294.000,252151.000,2995959.000,1388698.000,1044541.000,2221400.000,935848.000,660877.000,2052829.000,2742953.000
GainLossOnSaleOfInvestments,,-6700512.000,,-8268091.000,,,,202504.000,,,,114066.000,,,,2117274.000,,,,2635671.000
IncomeTaxExaminationPenaltiesAndInterestExpense,,,0.000,0.000,,,,0.000,,,,0.000,,,,0.000,,,,0.000
InterestExpense,,1162.000,4208.000,8022.000,16068.000,6575.000,285.000,173.000,283.000,99.000,271.000,33.000,16164.000,13755.000,-8910.000,7708.000,14750.000,11348.000,6522.000,4518.000
InvestmentIncomeInterest,48024.000,35433.000,36454.000,37834.000,33285.000,27741.000,23538.000,17518.000,15396.000,12342.000,11017.000,9441.000,7430.000,5802.000,5295.000,9251.000,11273.000,11155.000,14494.000,25259.000
NetIncomeLoss,6222708.000,-7141734.000,-2748567.000,-8621848.000,-3069474.000,-324661.000,4582937.000,-1539445.000,-4513621.000,-500619.000,-3933445.000,-79229.000,2493595.000,1280178.000,353449.000,1468841.000,444805.000,466667.000,1045450.000,1340763.000
NetRealizedOrUnrealizedGainLossOnTradingSecurities,-2088.000,20327.000,17893.000,12469.000,1388.000,14849.000,-3300.000,4271.000,-1415.000,3959.000,-5248.000,8193.000,1672.000,1844.000,172.000,3534.000,3154.000,3199.000,6378.000,12580.000
NoninterestExpenseOfferingCost,3200.000,3200.000,3200.000,3200.000,3200.000,3200.000,-447.000,1234.000,,,,,,,,,,,,
