,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2017-03-31,2017-06-30
RegulatedOperatingRevenueGas,65900000.000,25200000.000,21200000.000,46900000.000,64200000.000,22700000.000,20300000.000,53400000.000,70800000.000,22100000.000,18900000.000,58600000.000,92600000.000,25800000.000,100300000.000,27600000.000,21700000.000,53000000.000,73100000.000,28900000.000,74800000.000,32000000.000
RepaymentsOfLongTermDebt,,,,,100000.000,,,,100000.000,,,,100000.000,,200000.000,,,,200000.000,,200000.000,
RepaymentsOfShortTermDebt,,,,,10300000.000,,,,16800000.000,,,,1000000.000,,,,,,,,,
RestrictedStockExpense,,,,,,,,,,,,,1100000.000,,1300000.000,,,,1600000.000,,1700000.000,
StockIssuedDuringPeriodSharesNewIssues,,,,,,,,,,,,,9868.000,,10114.000,,,,8630.000,,7581.000,
StockIssuedDuringPeriodSharesRestrictedStockAwardGross,,,,,,,,,,,,,35500.000,,,,,,,,,
StockIssuedDuringPeriodValueNewIssues,,,,,,,,,,,,,300000.000,,300000.000,,,,300000.000,,300000.000,
StockIssuedDuringPeriodValueRestrictedStockAwardGross,,,,,,,,,,,,,1100000.000,,,,,,,,,
StockIssuedDuringPeriodValueShareBasedCompensation,,,,,,,,,,,,,700000.000,,1000000.000,,,,1100000.000,,1100000.000,
UtilitiesOperatingExpense,102000000.000,65300000.000,68000000.000,80300000.000,100200000.000,64500000.000,66300000.000,85600000.000,102700000.000,61800000.000,67000000.000,81900000.000,130700000.000,66200000.000,143800000.000,68600000.000,67400000.000,83900000.000,102400000.000,65000000.000,99900000.000,70300000.000
UtilitiesOperatingExpenseDepreciationAndAmortization,7900000.000,7700000.000,6900000.000,6800000.000,8300000.000,8700000.000,8900000.000,9200000.000,9400000.000,9200000.000,9600000.000,9500000.000,10200000.000,10200000.000,11400000.000,11300000.000,11400000.000,11600000.000,11800000.000,11700000.000,12500000.000,11900000.000
UtilitiesOperatingExpenseGasAndPetroleumPurchased,40500000.000,15000000.000,12500000.000,21100000.000,36500000.000,9400000.000,8600000.000,27400000.000,39700000.000,8100000.000,6000000.000,31400000.000,56100000.000,9500000.000,61500000.000,9500000.000,5500000.000,24200000.000,37200000.000,9100000.000,36800000.000,11500000.000
UtilitiesOperatingExpenseMaintenanceAndOperations,12200000.000,12500000.000,13600000.000,13200000.000,13400000.000,14900000.000,14400000.000,14300000.000,15300000.000,15400000.000,15700000.000,14600000.000,17100000.000,15300000.000,16900000.000,16300000.000,16800000.000,17100000.000,17400000.000,15700000.000,17600000.000,17600000.000
UtilitiesOperatingExpensePurchasedPower,31200000.000,25800000.000,31000000.000,26200000.000,31100000.000,25700000.000,28300000.000,23300000.000,26300000.000,23400000.000,29200000.000,35600000.000,42700000.000,27200000.000,49100000.000,27900000.000,29200000.000,26300000.000,31000000.000,23700000.000,27500000.000,24100000.000
UtilitiesOperatingExpenseTaxes,,,,,,,,,,,,,4600000.000,4000000.000,4900000.000,3600000.000,4500000.000,4700000.000,5000000.000,4800000.000,5500000.000,5200000.000
WeightedAverageNumberOfDilutedSharesOutstanding,10861000.000,10877000.000,10887000.000,-21742000.000,10921000.000,12331000.000,13709000.000,-24289000.000,13750000.000,13768000.000,13780000.000,-27522755.000,,,,,,,,,,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,,,,,,,,,,,,13800000.000,13800000.000,13900000.000,13900000.000,13900000.000,-27800000.000,14000000.000,14000000.000,14000000.000,14100000.000
WeightedAverageNumberOfSharesOutstandingBasic,10860000.000,10877000.000,10887000.000,-21744000.000,10917000.000,12331000.000,13707000.000,-24286000.000,13748000.000,13768000.000,13777000.000,-27520145.000,,,,,,,,,,
