,2011-01-31,2011-04-30,2011-07-31,2011-10-31,2012-01-31,2012-04-30,2012-05-31,2012-10-31,2013-01-31,2013-04-30,2013-07-31,2013-10-31,2014-01-31,2014-04-30,2014-07-31,2014-10-31,2015-01-31,2015-04-30,2015-07-31,2015-10-31,2016-01-31,2016-04-30,2016-07-31,2016-10-31,2017-01-31,2017-04-30
AccountsPayableCurrent,3223962000.000,3211201000.000,2985230000.000,3295867000.000,3042809000.000,2952182000.000,,3111391000.000,3657251000.000,3192227000.000,3298206000.000,3614749000.000,3959410000.000,3762087000.000,3466013000.000,3530956000.000,3119618000.000,2987890000.000,3228445000.000,3480101000.000,3427580000.000,3157646000.000,3240578000.000,3495096000.000,3844532000.000,4924292000.000
AccountsReceivableNetCurrent,2896671000.000,2916549000.000,2833724000.000,2928041000.000,2871243000.000,2656030000.000,,2781490000.000,3215920000.000,2749087000.000,2777486000.000,3104581000.000,3215729000.000,3061180000.000,2996350000.000,3064553000.000,2811963000.000,2573955000.000,2694650000.000,2926554000.000,2995114000.000,2580799000.000,2706079000.000,2866028000.000,3047927000.000,4538603000.000
AccruedLiabilitiesCurrent,562638000.000,539169000.000,503413000.000,520751000.000,551280000.000,483060000.000,,469171000.000,620167000.000,533184000.000,529971000.000,587255000.000,614697000.000,594832000.000,542270000.000,555944000.000,538758000.000,495640000.000,501181000.000,470271000.000,487003000.000,455231000.000,415177000.000,432661000.000,493199000.000,690826000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,336739000.000,,,,352710000.000,,,,335775000.000,,,,308077000.000,,,,290168000.000,,,,267815000.000,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,358884000.000,489778000.000,446029000.000,371643000.000,283755000.000,311401000.000,,280143000.000,330107000.000,282498000.000,280542000.000,331950000.000,324571000.000,371432000.000,323636000.000,210844000.000,50762000.000,59242000.000,33349000.000,28534000.000,-33325000.000,62667000.000,-14323000.000,-70094000.000,-74542000.000,-40879000.000
AcquiredFiniteLivedIntangibleAssetAmount,,,,,,,,104000000.000,,,,,,,,,,,,,,,,,,
AdditionalPaidInCapital,768757000.000,762873000.000,763025000.000,765525000.000,769826000.000,750878000.000,,670346000.000,680715000.000,671669000.000,,,675597000.000,666922000.000,,,679973000.000,,,,682227000.000,,,,686042000.000,
AdditionalPaidInCapitalCommonStock,,,,,,,,,,,671692000.000,673059000.000,,,670340000.000,674044000.000,,672369000.000,675691000.000,678970000.000,,676886000.000,679976000.000,683211000.000,,803721000.000
AllowanceForDoubtfulAccountsReceivableCurrent,56811000.000,60912000.000,63184000.000,59037000.000,52713000.000,51895000.000,,54294000.000,58284000.000,55601000.000,58123000.000,60372000.000,58754000.000,59701000.000,57132000.000,55378000.000,50143000.000,47678000.000,46982000.000,47968000.000,45875000.000,45851000.000,43550000.000,41400000.000,38767000.000,
Assets,6488292000.000,6597487000.000,6197066000.000,6410633000.000,5785418000.000,5644183000.000,,5922317000.000,6830960000.000,6110101000.000,6234071000.000,6704585000.000,7169666000.000,7015003000.000,6659444000.000,6665241000.000,6138246000.000,5905976000.000,6145569000.000,6365067000.000,6358288000.000,6190896000.000,6203458000.000,6462664000.000,7931866000.000,10556608000.000
