,2012-03-31,2012-09-30,2013-06-30,2013-09-30
CashAcquiredFromAcquisition,0.000,,,
CashPeriodIncreaseDecrease,28478.000,,,
CostOfGoodsSold,1.000,0.000,,
CostOfRevenue,,,79093.000,48408.000
DebtConversionOriginalDebtAmount1,5500.000,,,
EarningsPerShareBasic,0.000,-0.000,,
EarningsPerShareBasicAndDiluted,,,-0.010,-0.040
GeneralAndAdministrativeExpense,70511.000,110592.000,393828.000,1144225.000
GrossProfit,1.000,0.000,115070.000,183115.000
IncomeTaxesPaid,0.000,,,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,1448.000,,,
IncreaseDecreaseInDerivativeLiabilities,,,,-42548.000
IncreaseDecreaseInInventories,299.000,,,
InterestExpenseDebt,2920.000,4593.000,,
InterestExpenseOther,,,29410.000,38088.000
InterestIncomeOther,,,52.000,319.000
InterestPaid,0.000,,,
NetCashProvidedByUsedInFinancingActivities,100759.000,,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,100759.000,,,
NetCashProvidedByUsedInInvestingActivities,0.000,,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,0.000,,,
NetCashProvidedByUsedInOperatingActivities,-72281.000,,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-72281.000,,,
NetIncomeLoss,-73430.000,-115185.000,-308116.000,-1212986.000
NoncashOrPartNoncashAcquisitionOtherLiabilitiesAssumed1,0.000,,,
NoncashOrPartNoncashAcquisitionPayablesAssumed1,0.000,,,
NonoperatingIncomeExpense,-2920.000,-4593.000,-29358.000,-251876.000
OperatingIncomeLoss,-70510.000,-110592.000,-278758.000,-961110.000
ProceedsFromIssuanceOfCommonStock,0.000,,,
RepaymentsOfRelatedPartyDebt,46759.000,,,
Revenues,2.000,0.000,,
SalesRevenueGoodsNet,,,194163.000,231523.000
SalesRevenueNet,2.000,0.000,,
StockIssued1,0.000,,,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,,32360117.000,32761825.000
WeightedAverageNumberOfSharesOutstandingBasic,26123760.000,26123760.000,,
