,2012-03-30,2013-03-30
AdministrativeFeesAmountPaid,163948.000,
AmortizationOfDebtDiscountPremium,1228.000,
CashAndCashEquivalentsPeriodIncreaseDecrease,-125452.000,2256835.000
ComprehensiveIncomeNetOfTax,114271.000,1464749.000
EquityMethodInvestmentRealizedGainLossOnDisposal,358750.000,1705243.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,-228035.000,-249568.000
IncomeLossFromEquityMethodInvestments,185441.000,-10295.000
IncreaseDecreaseDueFromAffiliates,37500.000,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,-42623.000
IncreaseDecreaseInAccountsPayableAndOtherOperatingLiabilities,4342.000,
IncreaseDecreaseInAccruedInterestReceivableNet,-123.000,
IncreaseDecreaseInDeferredRevenue,50000.000,
IncreaseDecreaseInDueToAffiliates,-68293.000,-57147.000
InterestIncomeOperating,14944.000,15826.000
LossOnSaleOfInvestments,4914.000,
ManagementFeeAmountPaid,150000.000,
NetCashProvidedByUsedInInvestingActivities,385710.000,2595878.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,385710.000,2595878.000
NetCashProvidedByUsedInOperatingActivities,-511162.000,-339043.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-511162.000,-339043.000
NetIncomeLoss,130715.000,1455675.000
NetIncomeLossAllocatedToGeneralPartners,1307.000,14557.000
NetIncomeLossAllocatedToLimitedPartners,129408.000,1441118.000
NetIncomeLossPerOutstandingLimitedPartnershipAndGeneralPartnershipUnitBasicAndDiluted,3.130,34.910
NoninterestIncomeOtherOperatingIncome,40000.000,
OperatingExpenses,468420.000,255099.000
OtherComprehensiveIncomeOtherNetOfTax,,9074.000
PaymentsForOtherOperatingActivities,91540.000,20498.000
PaymentsToAcquireAvailableForSaleSecuritiesEquity,16540.000,13393.000
ProceedsFromDistributionsReceivedFromRealEstatePartnerships,2500.000,87500.000
ProceedsFromInterestReceived,21209.000,15826.000
ProceedsFromSaleOfAvailableForSaleSecuritiesDebt,91000.000,
ProfessionalFees,63924.000,63174.000
Revenues,54944.000,15826.000
SalesRevenueNet,54944.000,15826.000
SuppliesAndPostageExpense,87483.000,24102.000
