,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2015-03-31,2016-03-31
CashAndCashEquivalentsPeriodIncreaseDecrease,0.000,,,,0.000,,,,,-5100.000,0.000
CostOfGoodsAndServicesSold,,,,,,,,,,2357.000,
CostOfGoodsSold,,,,,,,,,,,0.000
CostOfUtilities,,,,,,,,,,,1600.000
EarningsPerShareBasicAndDiluted,-0.000,0.000,-0.000,0.000,-0.000,-0.000,0.000,0.000,-0.000,-0.000,
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,,,,,0.150,,,,0.340,0.340,0.340
EffectiveIncomeTaxRateReconciliationDeductions,,,,,0.000,,,,0.000,0.000,0.000
EffectiveIncomeTaxRateReconciliationDeductionsOther,,,,,-0.150,,,,-0.340,-0.340,-0.340
GeneralAndAdministrativeExpense,500.000,,500.000,,500.000,500.000,500.000,2000.000,,,
GrossProfit,,,,,,,,,,-2357.000,0.000
IncomeLossFromContinuingOperations,-500.000,,,,,,,,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,,,,,,,,,,,-4600.000
IncomeTaxesPaid,0.000,,,,,,,,,,
IncreaseDecreaseInAccountsPayable,,,,,,,,,,3324.000,4600.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,500.000,,,,500.000,,,,,,
IncreaseDecreaseInNotesPayableRelatedPartiesCurrent,0.000,,,,,,,,,,
IncreaseDecreaseInOtherLoans,0.000,,,,,,,,,,
InterestPaid,0.000,,,,,,,,,,
LeaseAndRentalExpense,,,,,,,,,,,3000.000
NetCashProvidedByUsedInFinancingActivities,0.000,,,,0.000,,,,0.000,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,0.000,,,,0.000,,,,0.000,,
NetCashProvidedByUsedInOperatingActivities,0.000,,,,,,,,0.000,-5100.000,0.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,0.000,,,,,,,,0.000,-5100.000,0.000
NetIncomeLoss,-500.000,,-500.000,,-500.000,-500.000,-500.000,-2000.000,,-8424.000,-4600.000
OperatingExpenses,500.000,,500.000,,500.000,500.000,500.000,2000.000,,6582.000,4600.000
OperatingIncomeLoss,,,,,,,,,,-8939.000,
ProceedsFromIssuanceOfCommonStock,0.000,,,,,,,,,,
ProceedsFromRepaymentsOfBankOverdrafts,0.000,,,,,,,,,,
ProfitLoss,,,,,,,,,91000.000,,
SellingGeneralAndAdministrativeExpense,,,,,,,,,,6582.000,
SuppliesExpense,,,,,,,,,,,0.000
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,,,,,,,,,190100000.000,
WeightedAverageNumberOfSharesOutstandingBasic,190100000.000,190100000.000,190100000.000,-380200000.000,190100000.000,190100000.000,190100000.000,-380200000.000,190100000.000,,
