,2011-03-31,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AllocatedShareBasedCompensationExpense,,,,,,,,,,,,,,1755000.000,,1846000.000,,,,1471000.000,1930000.000,2217000.000,3167000.000,1797000.000
AllowanceForDoubtfulAccountsReceivableWriteOffs,,,,,,,,,8130000.000,10101000.000,,8056000.000,7226000.000,7777000.000,-4156000.000,4399000.000,4177000.000,4975000.000,7529000.000,7068000.000,7028000.000,8407000.000,6633000.000,7281000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,3115000.000,3496000.000,,,,,,,,,,,,,,0.000,0.000,,,,0.000,,
AssetImpairmentCharges,,2500000.000,,,,,,157000.000,3966000.000,11585000.000,6979000.000,67000.000,7403000.000,14461000.000,-5033000.000,6019000.000,1685000.000,,,237000.000,,,,
AvailableForSaleSecuritiesGrossRealizedGains,,,,6000.000,,,,,,,,,,,,,,,,,,,,
AvailableForSaleSecuritiesGrossRealizedLosses,,,,35000.000,,,,,,,,,,,,,,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,-50221000.000,,,-51204000.000,,,,-16791000.000,,,,-54556000.000,,,,-24588000.000,,,,-19383000.000,,,,-36239000.000
ComprehensiveIncomeNetOfTax,,58563000.000,-1133000.000,57504000.000,-110078000.000,-32609000.000,-57262000.000,-16945000.000,-28575000.000,-80554000.000,-33907000.000,-58171000.000,-46671000.000,-48076000.000,-25595000.000,-24686000.000,-20766000.000,-45154000.000,142464000.000,3527000.000,11873000.000,-269000.000,-33221000.000,5241000.000
CostsAndExpenses,430126000.000,414513000.000,415520000.000,387506000.000,477063000.000,381004000.000,427446000.000,358584000.000,358373000.000,319962000.000,235125000.000,290977000.000,262628000.000,272320000.000,-11851000.000,206903000.000,184112000.000,172868000.000,375558000.000,191907000.000,165336000.000,168331000.000,211162000.000,152328000.000
CostsAndExpensesRelatedParty,,,,,,,,,,,,,,,,,,,,342000.000,345000.000,340000.000,348000.000,325000.000
DeferredCompensationArrangementWithIndividualCompensationExpense,,,,,,,,,,,,2300000.000,100000.000,800000.000,,,,,,,,,,
DepreciationAndAmortization,20366000.000,20507000.000,22446000.000,20106000.000,20020000.000,20429000.000,20103000.000,19125000.000,18884000.000,17023000.000,13608000.000,15052000.000,13956000.000,13070000.000,-6059000.000,6785000.000,7113000.000,5962000.000,5078000.000,6569000.000,5202000.000,5215000.000,5761000.000,3910000.000
DepreciationDepletionAndAmortization,20366000.000,,,20106000.000,,,,19295000.000,,,,15431000.000,,,,6712000.000,,,,6569000.000,,,,3910000.000
DiscontinuedOperationGainLossFromDisposalOfDiscontinuedOperationBeforeIncomeTax,,,,,,,,,,,,,300000.000,,,,,,,,,,,
DiscontinuedOperationIncomeLossFromDiscontinuedOperationBeforeIncomeTax,,-642000.000,-975000.000,-611000.000,-782000.000,-3107000.000,-7700000.000,-1126000.000,-2425000.000,-7936000.000,137497000.000,-10698000.000,-10964000.000,-2065000.000,-78196000.000,-102000.000,-11252000.000,-33715000.000,42941000.000,-126000.000,-1255000.000,-295000.000,-4910000.000,-663000.000
DiscontinuedOperationIncomeLossFromDiscontinuedOperationNetOfTaxPerDilutedShare,,,,,,,,,,,,,,-0.030,,,,,,,,,,
DiscontinuedOperationTaxEffectOfDiscontinuedOperation,,-235000.000,-334000.000,-6254000.000,5585000.000,-792000.000,-2849000.000,-414000.000,-923000.000,-35696000.000,125638000.000,0.000,0.000,0.000,,0.000,0.000,0.000,-997000.000,-47000.000,-470000.000,-109000.000,-2064000.000,-243000.000
