,2011-06-30,2011-12-31,2012-03-31,2012-09-30,2012-12-31,2013-03-31,2013-06-30
AccountsPayable,,73007.000,,,,,
AccountsPayableCurrentAndNoncurrent,,,,65013.000,87049.000,106945.000,87754.000
AccountsPayableOther,,177888.000,,,,,
AccountsPayableOtherCurrentAndNoncurrent,,,,119654.000,70619.000,62609.000,69389.000
AccountsPayableRelatedParties,,89082.000,,,,,
AccountsPayableRelatedPartiesCurrentAndNoncurrent,,,,54345.000,47119.000,44418.000,39864.000
AccountsReceivableGross,,208440.000,,,,,
Assets,,91522929.000,,55044742.000,48539320.000,46320628.000,40127071.000
AssetsNet,,,,51189586.000,46806512.000,43474996.000,38706493.000
Cash,,,,30894694.000,28094611.000,24767300.000,21389520.000
CashAndCashEquivalentsAtCarryingValue,,64356685.000,,30894427.000,28091840.000,24766960.000,21389092.000
CashFDICInsuredAmount,,,,-9991734.000,-8700352.000,250000.000,250000.000
CashUninsuredAmount,,,,20402960.000,18894259.000,23767300.000,20389520.000
CommissionsPayableToBrokerDealersAndClearingOrganizations,,16990.000,,9032.000,4832.000,4469.000,3054.000
DerivativeAssets,,,,,1335464.000,1345064.000,1067055.000
DerivativeCollateralObligationToReturnCash,,,,,0.000,0.000,0.000
DerivativeCollateralRightToReclaimCash,,,,,0.000,0.000,0.000
DerivativeFairValueOfDerivativeAsset,,,,,1335464.000,1345064.000,1067055.000
DerivativeFairValueOfDerivativeAssetAmountOffsetAgainstCollateral,,,,,0.000,0.000,0.000
DerivativeFairValueOfDerivativeLiability,,,,,1008676.000,1204309.000,560697.000
DerivativeFairValueOfDerivativeLiabilityAmountOffsetAgainstCollateral,,,,,0.000,0.000,0.000
DerivativeLiabilities,,,,,1008676.000,1204309.000,560697.000
GeneralPartnersCapitalAccountUnitsIssued,,,,,93425.000,,
InvestmentOwnedAtFairValue,,,,21139583.000,18961635.000,20058318.000,17520638.000
Investments,,26957804.000,,22999934.000,20297099.000,21403382.000,18587693.000
Liabilities,,7809767.000,,3855156.000,1732808.000,2845632.000,1420578.000
NonInvestmentAssetsLessNonInvestmentLiabilitiesPercentOfNetAssets,,,,,0.588,0.535,0.534
OtherOwnershipInterestsUnitsOutstanding,,,,,425477.000,,
OtherOwnershipInterestsValue,,,,,0.000,,
OtherReceivables,,,,150381.000,150381.000,150286.000,150286.000
PartnersCapital,,,,51189586.000,46806512.000,43474996.000,38706493.000
