,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
OtherLiabilitiesNoncurrent,149683000.000,150877000.000,150328000.000,151872000.000,151335000.000,153175000.000,118252000.000,110608000.000,92837000.000,94635000.000,102253000.000,92085000.000,105322000.000,110830000.000,116705000.000,118024000.000,113022000.000,115242000.000,171563000.000,160849000.000,157950000.000,144908000.000,147662000.000,137475000.000,158846000.000
OtherSundryLiabilitiesCurrent,,,,104382000.000,,,,131331000.000,,,,135987000.000,,,,120142000.000,,,,161524000.000,,,,137486000.000,
PensionAndOtherPostretirementAndPostemploymentBenefitPlansLiabilitiesCurrent,,,,12852000.000,,,,2949000.000,,,,11891000.000,,,,11902000.000,,,,10620000.000,,,,10630000.000,
PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent,222905000.000,223602000.000,223794000.000,315633000.000,315104000.000,314453000.000,315391000.000,337927000.000,297093000.000,297306000.000,297553000.000,238225000.000,238307000.000,238531000.000,218312000.000,354333000.000,353748000.000,353914000.000,354507000.000,242383000.000,243690000.000,244223000.000,244288000.000,243407000.000,250493000.000
PropertyPlantAndEquipmentGross,1372848000.000,1398853000.000,1383563000.000,1432094000.000,1463268000.000,1446488000.000,1495298000.000,1532317000.000,1524274000.000,1545740000.000,1579546000.000,1757983000.000,1805336000.000,1814663000.000,1796021000.000,1766746000.000,1713269000.000,1778469000.000,1779422000.000,1812283000.000,1839244000.000,1850356000.000,1876926000.000,1913333000.000,1975760000.000
PropertyPlantAndEquipmentNet,551082000.000,564693000.000,563691000.000,608065000.000,611441000.000,604022000.000,619917000.000,654641000.000,644910000.000,651011000.000,656662000.000,687215000.000,696234000.000,698842000.000,700948000.000,720268000.000,692008000.000,714809000.000,708902000.000,732794000.000,733939000.000,737353000.000,745241000.000,775716000.000,791920000.000
ReceivablesNetCurrent,,,,,521606000.000,516598000.000,534758000.000,,527564000.000,541607000.000,553884000.000,,574678000.000,583220000.000,562617000.000,,525260000.000,566414000.000,569608000.000,,609587000.000,621164000.000,587074000.000,,637521000.000
RestructuringReserve,,1071000.000,1581000.000,10774000.000,9462000.000,6189000.000,4364000.000,3149000.000,1372000.000,3120000.000,2460000.000,2116000.000,2116000.000,,,759000.000,,,,7882000.000,,,,3277000.000,
RestructuringReserveCurrent,2781000.000,1071000.000,1064000.000,10198000.000,8960000.000,5982000.000,4171000.000,3149000.000,1372000.000,3120000.000,2460000.000,2116000.000,2116000.000,2022000.000,1503000.000,,,,,,,,,,
RetainedEarningsAccumulatedDeficit,2582057000.000,2636419000.000,2693584000.000,2692893000.000,2748828000.000,2812293000.000,2800927000.000,2841166000.000,2904131000.000,2978709000.000,3045829000.000,3075657000.000,3150688000.000,3229301000.000,3298761000.000,3350734000.000,3441033000.000,3508347000.000,3569911000.000,3604254000.000,3678219000.000,3750364000.000,3789271000.000,3818535000.000,3850955000.000
SaleLeasebackTransactionDeferredGainNet,50160000.000,49403000.000,48611000.000,47855000.000,47098000.000,46341000.000,45584000.000,44674000.000,43725000.000,42930000.000,42135000.000,41339000.000,40610000.000,47957000.000,47359000.000,39000000.000,,,,43260000.000,,,,39816000.000,
SalesAndExciseTaxPayableCurrent,,,,21744000.000,,,,30129000.000,,,,23448000.000,,,,15125000.000,,,,10241000.000,,,,15567000.000,
SalesRevenueGoodsNetPercentage,,,0.070,0.070,0.070,0.060,0.070,0.070,0.080,0.080,,,,,,,,,,,,,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardNumberOfSharesAuthorized,,,,,,,,,,,,,,,,,1500000.000,,,,,,,,
SharesOutstanding,,,,34840632.000,34744342.000,34302117000.000,34202870000.000,34134966.000,34188108.000,34020660.000,34167115.000,34377594.000,34539996.000,34584366.000,34648407.000,35080600.000,35096573.000,35132557.000,35502176.000,35835899.000,36080431.000,36217260.000,36381435.000,36645153.000,36910154.000
ShortTermDebtWeightedAverageInterestRate,,,,0.008,,,,0.015,,,,0.004,,,,0.041,,,,0.027,,,,0.052,
StockRepurchaseProgramRemainingAuthorizedRepurchaseAmount1,,,,,,,,,,,,,,,,,,,,236700000.000,,,,109300000.000,
StockRepurchaseProgramRemainingNumberOfSharesAuthorizedToBeRepurchased,,,,,,,,,,,,2300000.000,,,,1100000.000,,,,2000000.000,,,,900000.000,
StockholdersEquity,1098562000.000,1184615000.000,1195375000.000,1104412000.000,1197499000.000,1223280000.000,1247224000.000,1248808000.000,1306606000.000,1369686000.000,1435957000.000,1463072000.000,1516516000.000,1598298000.000,1639519000.000,1518561000.000,1567317000.000,1623000000.000,1591872000.000,1590318000.000,1630364000.000,1673872000.000,1693776000.000,1626244000.000,1626077000.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,1102846000.000,1188714000.000,1198464000.000,1107407000.000,1201056000.000,1226511000.000,1250810000.000,1252555000.000,1310852000.000,1374430000.000,1439530000.000,1467051000.000,1520938000.000,1601944000.000,1643654000.000,1522689000.000,1572097000.000,1626674000.000,1596149000.000,1594990000.000,1635560000.000,1677932000.000,1698198000.000,1631134000.000,1631517000.000
TaxCreditCarryforwardAmount,,,,36000000.000,,,,36000000.000,,,,,,,,,,,,,,,,,
TaxCreditCarryforwardDeferredTaxAsset,,,,7000000.000,,,,9000000.000,,,,10000000.000,,,,8000000.000,,,,,,,,,
TaxesPayableCurrentAndNoncurrent,,,,,,,,,25300000.000,4000000.000,,,,,,,,,,,,,,,
TreasuryStockShares,35404362.000,34927484.000,34871958.000,,,,,,,,,,,,,,,,,,,,,,
TreasuryStockValue,1377499000.000,1359665000.000,1357496000.000,1356273000.000,1352444000.000,1335189000.000,1333469000.000,1330707000.000,1339060000.000,1338656000.000,1346979000.000,1365805000.000,1383341000.000,1393531000.000,1410992000.000,1446221000.000,1450490000.000,1476620000.000,1517659000.000,1555769000.000,1598968000.000,1623007000.000,1644869000.000,1679147000.000,1713294000.000
UnrecognizedTaxBenefits,,,,67615000.000,,,,41153000.000,,,,21553000.000,,,,23055000.000,,,,24198000.000,,,,26428000.000,
UnrecognizedTaxBenefitsIncomeTaxPenaltiesAndInterestAccrued,,12000000.000,13000000.000,12800000.000,,,,7400000.000,,,,2300000.000,,,,1700000.000,,,,800000.000,,,,800000.000,
UnrecognizedTaxBenefitsResultingInNetOperatingLossCarryforward,,,,175000000.000,,,,273000000.000,,,,,,,,,,,,,,,,,
UnrecognizedTaxBenefitsThatWouldImpactEffectiveTaxRate,,68000000.000,66000000.000,,,,,,,,,,,,,,,,,,,,,,
ValuationAllowanceAmount,,,,115000000.000,,,,174000000.000,,,,,,,,,,,,,,,,,
ValuationAllowancesAndReservesBalance,,,,294564000.000,,,,,,,,,,,,,,,,,,,,,
