,2012-02-29,2012-05-31,2012-08-31,2012-11-30,2013-02-28,2013-05-31,2013-08-31
CashPeriodIncreaseDecrease,5.000,,,,,,
EarningsPerShareBasic,-0.000,-0.000,-0.000,0.000,-0.000,-0.000,
EarningsPerShareBasicAndDiluted,,,,,,,-0.000
IncreaseDecreaseInAccountsPayable,5587.000,,,,53.000,,
IncreaseDecreaseInAccountsReceivable,12467.000,,,,12472.000,,
IncreaseDecreaseInNotesReceivableCurrent,-4695.000,,,,6880.000,,
InterestAndFeeIncomeLoansAndLeases,-2287.000,,,,-2402.000,,
InterestAndOtherIncome,18633.000,20245.000,22532.000,,,,
InterestExpense,-16898.000,-16864.000,-17249.000,-17494.000,-17404.000,-17590.000,-16789.000
InterestIncomeExpenseNet,2287.000,2287.000,2287.000,2287.000,2402.000,2402.000,2402.000
MarketingExpense,,,,,,,30273.000
NetCashProvidedByUsedInFinancingActivities,16976.000,,,,-22436.000,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,16976.000,,,,-22436.000,,
NetCashProvidedByUsedInOperatingActivities,-16971.000,,,,22436.000,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-16971.000,,,,22436.000,,
NetIncomeLoss,-44941.000,-14889.000,-46176.000,-286958.000,-11971.000,-135655.000,-82245.000
OperatingExpenses,14462.000,14449.000,15336.000,182628.000,16231.000,120467.000,79127.000
OperatingIncomeLoss,-44941.000,-14449.000,-15336.000,-152149.000,-16231.000,-120467.000,-79127.000
OtherNonoperatingIncomeExpense,-30479.000,-440.000,-30840.000,-104330.000,4260.000,-15188.000,-3118.000
ProceedsFromNotesPayable,16976.000,,,,-22436.000,,
ProfessionalFees,2000.000,2000.000,2000.000,5000.000,2000.000,2000.000,2000.000
SellingGeneralAndAdministrativeExpense,12462.000,12449.000,13336.000,177628.000,14231.000,118467.000,46854.000
TemporaryEquityForeignCurrencyTranslationAdjustments,-15868.000,14137.000,-15878.000,-2695.000,19262.000,,11269.000
WeightedAverageNumberOfSharesOutstandingBasic,82073890.000,82073890.000,82073890.000,-164147780.000,82073890.000,82073890.000,82073890.000
