,2012-03-31,2013-03-31,2014-03-31,2015-03-31,2016-03-31,2017-03-31
AdvertisingExpense,,0.000,850.000,0.000,0.000,0.000
CashAndCashEquivalentsPeriodIncreaseDecrease,-62.000,-38000.000,-37000.000,295000.000,-44000.000,-50000.000
CurrentIncomeTaxExpenseBenefit,,,-17478.000,-29703.000,-18059.000,-20231.000
DeferredIncomeTaxExpenseBenefit,,,17478.000,29703.000,,
EarningsPerShareBasicAndDiluted,-0.040,-0.020,-0.020,-0.025,-0.013,-0.014
EffectiveIncomeTaxRateContinuingOperations,,,0.000,0.000,0.000,0.000
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,,,0.340,0.340,0.340,0.340
EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,,,-0.390,-0.390,-0.390,-0.390
EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,,,0.050,0.050,0.050,0.050
GeneralAndAdministrativeExpense,53.000,30000.000,30000.000,45000.000,14000.000,18000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,-60.000,-37000.000,,,,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,-2.000,-1000.000,6000.000,-14000.000,2000.000,
IncreaseDecreaseInOtherNoncurrentAssets,,,,1000.000,,
IncreaseDecreaseInPrepaidExpense,,,,,-2000.000,-1000.000
InvestmentIncomeInterest,3.000,1000.000,,,,
LeaseAndRentalExpense,,6000.000,6000.000,2500.000,,
LegalFees,10.000,8000.000,13000.000,27000.000,,
NetCashProvidedByUsedInFinancingActivities,,,,380000.000,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,,380000.000,,
NetCashProvidedByUsedInOperatingActivities,-62.000,-38000.000,-37000.000,-85000.000,-44000.000,-50000.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-62.000,-38000.000,-37000.000,-85000.000,-44000.000,-50000.000
NetIncomeLoss,-60.000,-37000.000,-43000.000,-72000.000,-44000.000,-49000.000
NonoperatingIncomeExpense,3.000,1000.000,,,,
OperatingExpenses,63.000,38000.000,43000.000,72000.000,44000.000,49000.000
ProceedsFromIssuanceOfCommonStock,,,,380000.000,,
ProfessionalAndContractServicesExpense,,,,,30000.000,31000.000
ValuationAllowanceDeferredTaxAssetChangeInAmount,,-461153.000,10193.000,-71463.000,18059.000,20231.000
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,,1561022.000,2930063.000,3461022.000,3461022.000
WeightedAverageNumberOfSharesOutstandingBasic,,1561022.000,1561022.000,2930063.000,3461022.000,3461022.000
