,2011-07-03,2011-10-02,2012-01-01,2012-04-01,2012-07-01,2012-09-30,2012-12-30,2013-03-31,2013-06-30,2013-09-29,2013-12-29,2014-03-30,2014-06-29
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,,2200000.000,2200000.000,2200000.000,-4400000.000,2200000.000,2100000.000,2100000.000,-4300000.000,2100000.000
CapitalExpendituresIncurredButNotYetPaid,,,,,156000.000,,,,903000.000,,,,67000.000
CapitalLeaseObligationsIncurred,154000.000,,,,,,,,,,,,318000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,3269000.000,,,,2916000.000,,,,380000.000,,,,-252000.000
CostOfGoodsSold,59000000.000,62281000.000,70917000.000,62312000.000,60481000.000,66233000.000,70642000.000,64049000.000,60060000.000,64232000.000,67501000.000,60776000.000,58781000.000
DepreciationAndAmortization,2568000.000,2329000.000,2468000.000,2085000.000,2069000.000,2041000.000,2105000.000,2240000.000,2166000.000,2167000.000,2035000.000,1729000.000,1827000.000
DepreciationDepletionAndAmortization,2568000.000,,,,2069000.000,,,,2166000.000,,,,
EarningsPerShareBasic,,0.040,,,0.010,0.050,,,-0.200,-0.210,0.100,,
EarningsPerShareBasicAndDiluted,-0.060,,-0.070,,,,-0.130,,,,,,-0.130
EarningsPerShareDiluted,,0.040,,,0.010,0.050,,,-0.200,-0.210,0.100,,
GainLossOnSaleOfPropertyPlantEquipment,,,,,11000.000,,,,,,,,-20000.000
GrossProfit,23824000.000,25699000.000,26306000.000,19544000.000,23368000.000,25219000.000,26925000.000,23728000.000,21465000.000,22493000.000,27769000.000,19210000.000,21879000.000
IncomeLossAttributableToParent,-824000.000,599000.000,-1036000.000,-3809000.000,103000.000,762000.000,-1885000.000,-2313000.000,,,,,
IncomeTaxExpenseBenefit,2000.000,,,,,2000.000,,,,2000.000,,,
IncreaseDecreaseInAccountsPayable,5660000.000,,,,11109000.000,,,,4688000.000,,,,6431000.000
IncreaseDecreaseInAccountsReceivable,1378000.000,,,,1997000.000,,,,518000.000,,,,40000.000
IncreaseDecreaseInAccruedLiabilities,-1953000.000,,,,-586000.000,,,,1523000.000,,,,
IncreaseDecreaseInAccruedSalaries,1122000.000,,,,1146000.000,,,,816000.000,,,,994000.000
IncreaseDecreaseInDeferredLiabilities,,,,,716000.000,,,,1478000.000,,,,
IncreaseDecreaseInDeferredRentReceivables,-700000.000,,,,,,,,,,,,
IncreaseDecreaseInInventories,5239000.000,,,,8612000.000,,,,4891000.000,,,,4969000.000
IncreaseDecreaseInOtherAccruedLiabilities,,,,,,,,,,,,,-1393000.000
IncreaseDecreaseInOtherDeferredLiability,,,,,,,,,,,,,-547000.000
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,-242000.000,,,,-109000.000,,,,2023000.000,,,,930000.000
IncrementalCommonSharesAttributableToShareBasedPaymentArrangements,,,,,9000.000,13000.000,,,,,,,
InterestExpense,465000.000,431000.000,464000.000,430000.000,458000.000,492000.000,608000.000,566000.000,541000.000,545000.000,565000.000,519000.000,452000.000
InterestPaid,436000.000,,,,433000.000,,,,541000.000,,,,452000.000
NetCashProvidedByUsedInFinancingActivities,3647000.000,,,,1169000.000,,,,5378000.000,,,,583000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,3647000.000,,,,1169000.000,,,,5378000.000,,,,583000.000
NetCashProvidedByUsedInInvestingActivities,-149000.000,,,,-929000.000,,,,-2490000.000,,,,-430000.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-149000.000,,,,-929000.000,,,,-2490000.000,,,,-430000.000
NetCashProvidedByUsedInOperatingActivities,-229000.000,,,,2676000.000,,,,-2508000.000,,,,-405000.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-229000.000,,,,2676000.000,,,,-2508000.000,,,,-405000.000
NetIncomeLoss,-826000.000,599000.000,-1036000.000,-3809000.000,103000.000,760000.000,-1885000.000,-2313000.000,-2846000.000,-3040000.000,1452000.000,-5705000.000,-1844000.000
OperatingIncomeLoss,-359000.000,1030000.000,-572000.000,-3379000.000,561000.000,1254000.000,-1277000.000,-1747000.000,-2305000.000,-2493000.000,2017000.000,-5186000.000,-1392000.000
PaymentsToAcquirePropertyPlantAndEquipment,149000.000,,,,940000.000,,,,2490000.000,,,,431000.000
ProceedsFromLinesOfCredit,89740000.000,,,,87653000.000,,,,92262000.000,,,,85449000.000
ProceedsFromSaleOfPropertyPlantAndEquipment,,,,,11000.000,,,,,,,,1000.000
RepaymentsOfLinesOfCredit,86093000.000,,,,86484000.000,,,,86884000.000,,,,84866000.000
ResultsOfOperationsIncomeBeforeIncomeTaxes,,,,,,,,,,-3038000.000,1452000.000,,
Revenues,82824000.000,87980000.000,97223000.000,81856000.000,83849000.000,91452000.000,97567000.000,87777000.000,81525000.000,86725000.000,95270000.000,79986000.000,80660000.000
SalesRevenueNet,82824000.000,87980000.000,97223000.000,81856000.000,83849000.000,91452000.000,97567000.000,87777000.000,81525000.000,86725000.000,95270000.000,79986000.000,80660000.000
SellingGeneralAndAdministrativeExpense,21615000.000,22340000.000,24410000.000,20838000.000,20738000.000,21924000.000,26097000.000,23235000.000,21604000.000,22819000.000,23717000.000,22667000.000,21444000.000
ShareBasedCompensation,275000.000,,,,62000.000,,,,55000.000,,,,46000.000
WeightedAverageNumberOfDilutedSharesOutstanding,14190000.000,14223000.000,14190.000,,14199000.000,14203000.000,,,14190000.000,14190000.000,14190000.000,,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,,,,,,14190000.000,,,,,,14190000.000
WeightedAverageNumberOfSharesOutstandingBasic,,14190000.000,,,14190000.000,14190000.000,,,14190000.000,14190000.000,14190000.000,,
